dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
E-CommereShippingData,TabICL_GPU,7332,3667,0.35678444323414105,0.49872874135485135,0.028751302510499954,0.018370503559708595,0.6863921284675598,0.057219319976866245
Fitness_Club,TabICL_GPU,1000,500,0.3128647093662402,0.4772067234682893,0.02150031365454197,0.025032995268702507,0.777999997138977,0.009362352080643177
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09786556158560257,0.17637236448342775,0.002535746432840824,0.003178451443091035,0.9374200105667114,1.0205463860183954
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2685597860318368,0.42344738355434464,0.010168345645070076,0.012846644036471844,0.8067647814750671,0.062119171023368835
Is-this-a-good-customer,TabICL_GPU,1148,575,0.1898257496202512,0.32321851137201874,0.026539362967014313,0.025936322286725044,0.8834782838821411,0.011260672938078642
Marketing_Campaign,TabICL_GPU,1493,747,0.14454468281899888,0.2315842166990871,0.016812272369861603,0.040387626737356186,0.8902275562286377,0.022941396106034517
NATICUSdroid,TabICL_GPU,4994,2497,0.07944538121702609,0.13861809438802672,0.0057382527738809586,0.0141674829646945,0.9471365809440613,0.11736669484525919
bank-marketing,TabICL_GPU,30140,15071,0.17205901759253187,0.2998033379722869,0.005144085735082626,0.0066318027675151825,0.8941676020622253,0.17889463296160102
blood-transfusion-service-center,TabICL_GPU,498,250,0.3152797364239182,0.5020221445091704,0.053087279200553894,0.09680797159671783,0.8119999766349792,0.004373129922896624
churn,TabICL_GPU,3333,1667,0.06713962754935156,0.13564333948155682,0.011655452661216259,0.013614051975309849,0.9604079127311707,0.02500320808030665
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10589728286919416,0.2039763594205103,0.015259316191077232,0.007286109030246735,0.9404398202896118,0.046578927896916866
credit-g,TabICL_GPU,666,334,0.3401844272393762,0.5110093618806681,0.05696841701865196,0.058589089661836624,0.7514970302581787,0.0066506820730865
credit_card_clients_default,TabICL_GPU,20000,10000,0.26371330451841923,0.42146792608075356,0.014436691999435425,0.012955676764249802,0.8223999738693237,0.10664790589362383
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.057095279400013,0.09130486529122779,0.0018386971205472946,0.0015818021493032575,0.959740400314331,4.716808651108295
diabetes,TabICL_GPU,512,256,0.3181618008003988,0.4795341947233455,0.03488898649811745,0.04722162336111069,0.76171875,0.006306303897872567
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06901732985030531,0.1255391614067148,0.013174524530768394,0.027923228219151497,0.9587500095367432,0.039618503069505095
heloc,TabICL_GPU,6972,3487,0.3654503812206556,0.5455717624104065,0.012702710926532745,0.016114812344312668,0.7312876582145691,0.04056532704271376
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30827051699552094,0.473187263531823,0.012732148170471191,0.025189783424139023,0.7757804989814758,0.060547359054908156
jm1,TabICL_GPU,7256,3629,0.2565735995772514,0.4090484190852027,0.016384705901145935,0.008911645971238613,0.8228161931037903,0.04650089191272855
kddcup09_appetency,TabICL_GPU,33333,16667,0.03371712152678453,0.07738568925611422,0.0031244270503520966,0.0005934867658652365,0.9821803569793701,0.35180449206382036
online_shoppers_intention,TabICL_GPU,8220,4110,0.14115737134034456,0.22609357972081473,0.008859200403094292,0.012987654656171799,0.8982968330383301,0.19748392584733665
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04248953136063988,0.08155640727592849,0.007855851203203201,0.011465338058769703,0.9746192693710327,0.08758428483270109
qsar-biodeg,TabICL_GPU,702,352,0.17886047543873965,0.30054812911561746,0.03347444534301758,0.04860218986868858,0.8778409361839294,0.010868394048884511
seismic-bumps,TabICL_GPU,1722,862,0.11067983224424527,0.2047549819046963,0.012555023655295372,0.014543495140969753,0.9338747262954712,0.018033535918220878
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04425639451958367,0.08207051212338323,0.007795345038175583,0.0088257547467947,0.9722833037376404,0.09569989400915802
Amazon_employee_access,LimiX_GPU,21846,10923,0.08272536694852654,0.15941573772473375,0.0052373334765434265,0.003664785297587514,0.9480912089347839,0.19771965104155242
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19814348919297955,0.3243938182068749,0.01272587850689888,0.016544245183467865,0.8689262270927429,0.055012417025864124
Bioresponse,LimiX_GPU,2500,1251,0.27744170326696477,0.4294299823162187,0.024266034364700317,0.03713112324476242,0.8001598715782166,0.018943768925964832
E-CommereShippingData,LimiX_GPU,7332,3667,0.3550875854868974,0.4963475917393838,0.05629848688840866,0.0156683512032032,0.6885737776756287,0.04696779488585889
Fitness_Club,LimiX_GPU,1000,500,0.31591961812133873,0.4816168647034933,0.02210589498281479,0.04108085483312607,0.7680000066757202,0.009364730911329389
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26800255143145746,0.4225682133971983,0.00696210190653801,0.012135772965848446,0.8080175518989563,0.06296784500591457
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19016037879863126,0.32449228804966934,0.02113283798098564,0.019859720021486282,0.886956512928009,0.012125933077186346
Marketing_Campaign,LimiX_GPU,1493,747,0.13520002343672763,0.21906721553433314,0.017370447516441345,0.02682429365813732,0.9022757411003113,0.024127797922119498
NATICUSdroid,LimiX_GPU,4994,2497,0.08570310515217833,0.1472808614356336,0.008036309853196144,0.015002411790192127,0.9435322284698486,0.1155636350158602
bank-marketing,LimiX_GPU,30140,15071,0.17174927438069618,0.29953931535768263,0.008998574689030647,0.008692823350429535,0.8944993615150452,0.17843905417248607
blood-transfusion-service-center,LimiX_GPU,498,250,0.3070237902772078,0.48937536338873006,0.04920242726802826,0.08445525169372559,0.7960000038146973,0.004096236079931259
churn,LimiX_GPU,3333,1667,0.0663648974930374,0.13569758944250956,0.016635969281196594,0.015087662264704704,0.9586082696914673,0.027423762949183583
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10554315653593788,0.1986687104635232,0.008669965900480747,0.009708299301564693,0.9404398202896118,0.061599798034876585
credit-g,LimiX_GPU,666,334,0.31585673833155287,0.4877530115066352,0.0476909875869751,0.07816357165575027,0.796407163143158,0.006209949962794781
credit_card_clients_default,LimiX_GPU,20000,10000,0.2635444126941399,0.4211177913024382,0.0063866786658763885,0.00862355250865221,0.8226000070571899,0.12194840982556343
diabetes,LimiX_GPU,512,256,0.31373320455938813,0.4753417260048833,0.025892555713653564,0.0675414428114891,0.77734375,0.006577354855835438
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07334798265603894,0.12914062057007356,0.013155724853277206,0.016795214265584946,0.949999988079071,0.03910162905231118
heloc,LimiX_GPU,6972,3487,0.36321660787727594,0.5428538394321021,0.01894921436905861,0.021353857591748238,0.7324347496032715,0.04184324899688363
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3526353275263081,0.5307571750079364,0.021379992365837097,0.023032531142234802,0.7388836145401001,0.05571721796877682
jm1,LimiX_GPU,7256,3629,0.2666780077491595,0.42179913644540407,0.01407523825764656,0.01231351774185896,0.8137227892875671,0.04184360383078456
online_shoppers_intention,LimiX_GPU,8220,4110,0.14298035058410116,0.22912288067793038,0.006806179415434599,0.01319093257188797,0.899756669998169,0.20405055000446737
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05235094807551895,0.09311236065642711,0.005058813840150833,0.007494468241930008,0.9639593958854675,0.10238380497321486
qsar-biodeg,LimiX_GPU,702,352,0.17855010106381586,0.3040244793766622,0.03545866906642914,0.04786583408713341,0.8664772510528564,0.012018284993246198
seismic-bumps,LimiX_GPU,1722,862,0.1090922866900202,0.20607013356168732,0.013957981020212173,0.01743294857442379,0.9350348114967346,0.018405494978651404
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04461076128589806,0.08162261179258426,0.0076615456491708755,0.009415952488780022,0.9714034199714661,0.10671862703748047
APSFailure,TabM_GPU,50666,25334,0.008940383775657548,0.016921049548760805,0.0012800067197531462,0.001956351799890399,0.9941185712814331,2.4429407129064202
Amazon_employee_access,TabM_GPU,21846,10923,0.089345777114699,0.1675482702016374,0.005384715739637613,0.005761613603681326,0.9425066113471985,0.16160511900670826
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19720924561659567,0.32315391992360837,0.010039187967777252,0.01938771829009056,0.8683263063430786,0.047452832804992795
Bioresponse,TabM_GPU,2500,1251,0.28757943205363234,0.44758301262917755,0.019016146659851074,0.0432676300406456,0.7905675172805786,0.017739692935720086
Diabetes130US,TabM_GPU,47678,23840,0.15463348231079,0.281904101399534,0.009326398372650146,0.004533609375357628,0.9119966626167297,0.29971738811582327
E-CommereShippingData,TabM_GPU,7332,3667,0.35778723681148394,0.500238841895687,0.02898477017879486,0.029429398477077484,0.67030268907547,0.06513430108316243
Fitness_Club,TabM_GPU,1000,500,0.3178718562969992,0.4839667330337307,0.02274596504867077,0.0312192440032959,0.7559999823570251,0.009155387990176678
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09693696758260055,0.1753011375878578,0.0019317995756864548,0.0025275354273617268,0.9386799931526184,1.1235308980103582
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27030217832238357,0.42555434132502373,0.012385770678520203,0.018929043784737587,0.8025367856025696,0.06121489801444113
Is-this-a-good-customer,TabM_GPU,1148,575,0.1945493947967086,0.33256461071881327,0.029785875231027603,0.043980445712804794,0.8852173686027527,0.012181966099888086
Marketing_Campaign,TabM_GPU,1493,747,0.14391340691310517,0.23123700262482502,0.017943507060408592,0.040611620992422104,0.8955823183059692,0.025619470048695803
NATICUSdroid,TabM_GPU,4994,2497,0.08452623376072695,0.14377051808319424,0.008782469667494297,0.01705736480653286,0.9419302940368652,0.11423449916765094
bank-marketing,TabM_GPU,30140,15071,0.1721087672918323,0.30006277474705717,0.006370916962623596,0.006415374577045441,0.8936367630958557,0.17631051992066205
blood-transfusion-service-center,TabM_GPU,498,250,0.3031350762859945,0.48045957182321397,0.057092975825071335,0.08494488149881363,0.8080000281333923,0.004854223923757672
churn,TabM_GPU,3333,1667,0.06615716718224873,0.14010353990091035,0.017825666815042496,0.021289365366101265,0.9628074169158936,0.03115892200730741
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10639162104947017,0.20397925136043965,0.00957530364394188,0.008447183296084404,0.9404398202896118,0.049372289096936584
credit-g,TabM_GPU,666,334,0.33741403111939516,0.5129920439172332,0.05218575522303581,0.05711112171411514,0.742514967918396,0.006235918961465359
credit_card_clients_default,TabM_GPU,20000,10000,0.26398530458967423,0.4216605588181003,0.010737583041191101,0.012562602758407593,0.8233000040054321,0.104663667967543
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.052547890697335474,0.08313929968370347,0.0010223900899291039,0.003264694707468152,0.9624890089035034,4.066802859073505
diabetes,TabM_GPU,512,256,0.34324001852739444,0.514335690660187,0.04765567183494568,0.08205173164606094,0.765625,0.005809434922412038
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.10986405553580283,0.1829286478563739,0.015496894717216492,0.0195340383797884,0.9262499809265137,0.030267263995483518
heloc,TabM_GPU,6972,3487,0.366015459961749,0.5459002021444533,0.01566849648952484,0.019300393760204315,0.7252652645111084,0.038249952951446176
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3007194122131653,0.46378025446737775,0.025255337357521057,0.02845066972076893,0.7835856080055237,0.058787191985175014
jm1,TabM_GPU,7256,3629,0.2712128403554312,0.4305048681201219,0.013079334050416946,0.009541705250740051,0.8120694160461426,0.03933402011170983
kddcup09_appetency,TabM_GPU,33333,16667,0.0335201676823296,0.07651849304675166,0.0023295609280467033,0.0011128127807751298,0.9821803569793701,0.572721014963463
online_shoppers_intention,TabM_GPU,8220,4110,0.14223211179052422,0.22821233283286232,0.006539363879710436,0.012373832985758781,0.9014598727226257,0.195167071884498
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.04162962571016709,0.08003427773079853,0.012942777946591377,0.018050843849778175,0.972588837146759,0.10597267304547131
qsar-biodeg,TabM_GPU,702,352,0.18537655435098802,0.31216342507228495,0.031515609472990036,0.04154984652996063,0.8806818127632141,0.01092344499193132
seismic-bumps,TabM_GPU,1722,862,0.11233929926045329,0.20783501071891736,0.018287476152181625,0.012167831882834435,0.9338747262954712,0.01881200890056789
