dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10579764320223113,0.20148640676007393,0.008662482723593712,0.008210746571421623,0.9404398202896118,0.004446616163477302
credit-g,RealTabPFN-v2.5,666,334,0.33037299811856075,0.499000854179281,0.034541770815849304,0.06197533383965492,0.7544910311698914,0.0026307180523872375
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26233622814998436,0.41935071907723576,0.004858194850385189,0.009148769080638885,0.8227999806404114,0.009244335116818547
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05391944697171246,0.0871238887426381,0.0013774298131465912,0.003185819135978818,0.9625121355056763,0.03247980400919914
diabetes,RealTabPFN-v2.5,512,256,0.3096774417048641,0.47235154864211226,0.022484373301267624,0.07404903322458267,0.77734375,0.0025076339952647686
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06487828051236479,0.21688912056074638,0.009303940460085869,0.014351018704473972,0.9574999809265137,0.0025139038916677237
heloc,RealTabPFN-v2.5,6972,3487,0.3642226526589899,0.6161038300712223,0.013634070754051208,0.021200591698288918,0.7338686585426331,0.004684175830334425
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3071191385142965,0.4911666184736105,0.011334182694554329,0.02743876725435257,0.7816934585571289,0.005119016859680414
jm1,RealTabPFN-v2.5,7256,3629,0.26060947553706165,0.5038773593364625,0.00802183523774147,0.01649383269250393,0.818682849407196,0.0044300740119069815
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.0333438846903795,0.0753201595998465,0.0016556018963456154,0.0005481091211549938,0.9821803569793701,0.011681003030389547
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.1393808482800824,0.24344732199704958,0.006179269403219223,0.011650659143924713,0.9021897912025452,0.005192850949242711
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.022330680462411212,0.17126254596402704,0.0058610886335372925,0.00858757272362709,0.9868020415306091,0.003406821982935071
qsar-biodeg,RealTabPFN-v2.5,702,352,0.18461956421008108,1.0131457128760315,0.035223960876464844,0.05061519145965576,0.8778409361839294,0.002724221907556057
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10887613729464796,0.20185838843055845,0.007335054688155651,0.00877717137336731,0.9338747262954712,0.002739676972851157
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04310802818600203,0.07764357126013519,0.0026382410433143377,0.00546845281496644,0.9714034199714661,0.0035565318539738655
APSFailure,TabICL_GPU,50666,25334,0.008761525274768475,0.02273634138966234,0.0006907193455845118,0.0012007078621536493,0.9944343566894531,0.016276540933176875
Amazon_employee_access,TabICL_GPU,21846,10923,0.08052597691713394,0.17058469061227688,0.0019266195595264435,0.0038693358656018972,0.9477249979972839,0.00868360884487629
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.20016790755783584,0.3276242830022379,0.007154269143939018,0.013835490681231022,0.8659268021583557,0.004848965909332037
Diabetes130US,TabICL_GPU,47678,23840,0.15602101271031887,0.2993208468498378,0.0034881755709648132,0.002378954319283366,0.911912739276886,0.016595337074249983
E-CommereShippingData,TabICL_GPU,7332,3667,0.35632120072550205,0.520358746131014,0.016769982874393463,0.01297044288367033,0.6863921284675598,0.004422164987772703
Fitness_Club,TabICL_GPU,1000,500,0.31565411054198883,0.6479307569070558,0.02373998984694481,0.05874742940068245,0.7799999713897705,0.002479074988514185
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09779089581115019,0.17614757332896078,0.0011185556650161743,0.0020662664901465178,0.9373999834060669,0.03957901685498655
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.2684026572876864,0.42306123320955974,0.007989749312400818,0.010772123001515865,0.8078609704971313,0.0071753079537302256
Is-this-a-good-customer,TabICL_GPU,1148,575,0.1928297906330228,0.4751735097026092,0.016193319112062454,0.031525883823633194,0.8799999952316284,0.003245120169594884
