dataset,model,cal_size,test_size,Isotonic_brier,Isotonic_logloss,Isotonic_kuiper,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.05484997426181455,0.08793148764594064,0.0016736113466322422,0.0031238629017025232,0.9611262679100037,0.06531095481477678
diabetes,ModernNCA_GPU,512,256,0.33225383700490596,0.5044477465903847,0.039776239544153214,0.07539346814155579,0.76171875,0.006232823943719268
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08768517611139164,0.25829198482327576,0.012890508398413658,0.022623641416430473,0.9449999928474426,0.006914771860465407
heloc,ModernNCA_GPU,6972,3487,0.36357326877054047,0.5434526233491116,0.014428563416004181,0.01883307285606861,0.7310008406639099,0.010991028044372797
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3155393128324331,0.484292028601247,0.029790394008159637,0.04662381112575531,0.7753074765205383,0.01166376587934792
jm1,ModernNCA_GPU,7256,3629,0.26371845113581605,0.41921453563398603,0.013385317288339138,0.016021326184272766,0.8137227892875671,0.01143954717554152
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.033773987669527876,0.07769362468739976,0.001826456282287836,0.0005316933966241777,0.9821803569793701,0.03167170798406005
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14062677292613107,0.2476969825708467,0.009016388095915318,0.010802089236676693,0.8987834453582764,0.012003681855276227
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.041206769969197365,0.08083155594308972,0.008974578231573105,0.012193537317216396,0.9756345152854919,0.008446407038718462
qsar-biodeg,ModernNCA_GPU,702,352,0.19030080590701462,0.31721403764335815,0.02805761992931366,0.05293094366788864,0.8778409361839294,0.005878967931494117
seismic-bumps,ModernNCA_GPU,1722,862,0.11192136261055675,0.2097228158350235,0.015494149178266525,0.014187758788466454,0.9338747262954712,0.006700364872813225
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04466768171157394,0.08215421560357104,0.005442347377538681,0.008309806697070599,0.9714034199714661,0.008890314027667046
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19733076746113506,0.34753939032162523,0.010045230388641357,0.02149735763669014,0.8695260882377625,0.01083322404883802
E-CommereShippingData,Mitra_GPU,7332,3667,0.3549704173055848,0.5185989248496332,0.013401329517364502,0.020007245242595673,0.6896646022796631,0.01056663691997528
Fitness_Club,Mitra_GPU,1000,500,0.30814748708100476,0.6390703781992741,0.02169877104461193,0.02625143900513649,0.7820000052452087,0.0064907248597592115
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19359523402187176,0.32826432178589715,0.03203398361802101,0.03218189999461174,0.8765217661857605,0.006303731119260192
Marketing_Campaign,Mitra_GPU,1493,747,0.1396271706559609,0.22427793645144162,0.023118112236261368,0.027389908209443092,0.8929049372673035,0.0065250089392066
NATICUSdroid,Mitra_GPU,4994,2497,0.08572677255089839,0.24193379725427994,0.008019303902983665,0.008841895498335361,0.9407289028167725,0.009060655953362584
blood-transfusion-service-center,Mitra_GPU,498,250,0.30622738929736887,0.4969301418356421,0.04626060277223587,0.1131734624505043,0.8119999766349792,0.005647468846291304
churn,Mitra_GPU,3333,1667,0.04143527341764257,0.09512508143074991,0.013044633902609348,0.010794821195304394,0.976604700088501,0.007856992073357105
coil2000_insurance_policies,Mitra_GPU,6548,3274,0.10628739579485323,0.20268669839475112,0.004527478478848934,0.00489745382219553,0.9404398202896118,0.010331179015338421
credit-g,Mitra_GPU,666,334,0.33606269492437435,0.5319930600761215,0.04604070261120796,0.062004461884498596,0.7604790329933167,0.005771277938038111
diabetes,Mitra_GPU,512,256,0.3233603274617538,0.48325159539635876,0.04253441095352173,0.06421259045600891,0.76171875,0.005704396869987249
hazelnut-spread-contaminant-detection,Mitra_GPU,1600,800,0.08556272022728822,0.24602838170497038,0.01408662274479866,0.02105645462870598,0.9437500238418579,0.006680760998278856
heloc,Mitra_GPU,6972,3487,0.3637386888781775,0.5677270858542853,0.01408989354968071,0.019393563270568848,0.7353025674819946,0.010706406086683273
in_vehicle_coupon_recommendation,Mitra_GPU,8456,4228,0.3217469027904983,0.5123925218947727,0.03199291229248047,0.032328035682439804,0.767029345035553,0.011462166905403137
jm1,Mitra_GPU,7256,3629,0.2666337056445285,0.5145500432378737,0.007680363953113556,0.014134678058326244,0.8173050284385681,0.011271852068603039
online_shoppers_intention,Mitra_GPU,8220,4110,0.1410367428430657,0.2255510007370897,0.0071411519311368465,0.014952778816223145,0.8987834453582764,0.011995607987046242
polish_companies_bankruptcy,Mitra_GPU,3940,1970,0.04149463065868962,0.07793876153632961,0.010805998928844929,0.01859671249985695,0.9746192693710327,0.008446827996522188
qsar-biodeg,Mitra_GPU,702,352,0.18722370678058448,0.5544851259727417,0.032082006335258484,0.04700159654021263,0.8778409361839294,0.005848554894328117
seismic-bumps,Mitra_GPU,1722,862,0.10932290982945274,0.20273872433058227,0.014893196523189545,0.011407407000660896,0.9338747262954712,0.006649209884926677
taiwanese_bankruptcy_prediction,Mitra_GPU,4546,2273,0.04362340095050373,0.08085629419690817,0.004194445908069611,0.0053982543759047985,0.9718433618545532,0.008845422882586718
APSFailure,TabDPT_GPU,50666,25334,0.01125860990704838,0.023122583943618137,0.0014219298027455807,0.0012470149667933583,0.9918686151504517,0.04471273301169276
Amazon_employee_access,TabDPT_GPU,21846,10923,0.08094241069495509,0.19383157214076996,0.0032193362712860107,0.003955801483243704,0.9481827616691589,0.021268286975100636
Bank_Customer_Churn,TabDPT_GPU,6666,3334,0.19922420262630414,0.3512318637731017,0.015181505121290684,0.00952780432999134,0.8638272285461426,0.010912681929767132
Bioresponse,TabDPT_GPU,2500,1251,0.2805072307652377,0.43804949453379366,0.027088094502687454,0.03670428693294525,0.8049560189247131,0.0074536188039928675
Diabetes130US,TabDPT_GPU,47678,23840,0.15548126572142681,0.284431878434541,0.008900651708245277,0.0038129386957734823,0.9121224880218506,0.04388497117906809
E-CommereShippingData,TabDPT_GPU,7332,3667,0.35624883956437187,0.4987081819285409,0.03471113741397858,0.010750957764685154,0.6891191601753235,0.011017180979251862
Fitness_Club,TabDPT_GPU,1000,500,0.31545319909628816,0.479230834006731,0.02379022166132927,0.042226098477840424,0.7639999985694885,0.006201938958838582
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.09799320637236025,0.17702759471298055,0.0021746642887592316,0.0017563600558787584,0.9374600052833557,0.0872162648010999
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2683667192389624,0.42334864567571406,0.010979250073432922,0.011243629269301891,0.8067647814750671,0.015900363912805915
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.19245513937042838,0.3251614137641929,0.026531625539064407,0.023877795785665512,0.8817391395568848,0.006826854078099132
Marketing_Campaign,TabDPT_GPU,1493,747,0.14137485521004106,0.22497212669444877,0.012406889349222183,0.025019338354468346,0.898259699344635,0.006561757065355778
NATICUSdroid,TabDPT_GPU,4994,2497,0.08016185275692343,0.30137276428851595,0.006170100532472134,0.011813129298388958,0.9463356137275696,0.008951520081609488
bank-marketing,TabDPT_GPU,30140,15071,0.17232804144451414,0.3120468251672025,0.0038620689883828163,0.005907351616770029,0.8934377431869507,0.028831721981987357
blood-transfusion-service-center,TabDPT_GPU,498,250,0.30836939177397915,0.505304510645231,0.04380510002374649,0.08686399459838867,0.7960000038146973,0.005770336836576462
churn,TabDPT_GPU,3333,1667,0.06822268076264607,0.2367324535719115,0.01271011121571064,0.010212401859462261,0.9598080515861511,0.00798646011389792
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10741674053039486,0.20757079884715585,0.012010615319013596,0.010672951117157936,0.9404398202896118,0.010746079962700605
credit-g,TabDPT_GPU,666,334,0.3513735033285658,0.5223794258692044,0.03407193720340729,0.06706391274929047,0.7215569019317627,0.005956995068117976
credit_card_clients_default,TabDPT_GPU,20000,10000,0.2646313288648618,0.4223201371252802,0.006817124783992767,0.010133132338523865,0.8210999965667725,0.021164014004170895
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.054368452728681634,0.08811026761110856,0.0017071743495762348,0.0019570081494748592,0.9614958167076111,0.06822563288733363
diabetes,TabDPT_GPU,512,256,0.3093978125655532,0.792209963370253,0.0359378308057785,0.040911681950092316,0.765625,0.006036325823515654
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06892459950648433,0.639110343160254,0.009119376540184021,0.01723461039364338,0.956250011920929,0.006585561903193593
heloc,TabDPT_GPU,6972,3487,0.36761700505915984,0.6449299625809625,0.014104895293712616,0.021453311666846275,0.7312876582145691,0.011200983077287674
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.3344677562619575,0.602127635305976,0.026036124676465988,0.022113336250185966,0.752601683139801,0.011822998989373446
jm1,TabDPT_GPU,7256,3629,0.2547326396538599,0.5411344318178922,0.015356581658124924,0.01158472802489996,0.8241940140724182,0.011255162069573998
kddcup09_appetency,TabDPT_GPU,33333,16667,0.034238042116081294,0.0806631955082607,0.0018672849982976913,0.0008101790444925427,0.9821803569793701,0.031387286027893424
online_shoppers_intention,TabDPT_GPU,8220,4110,0.1426232888418755,0.23060945845152103,0.00829404778778553,0.011401202529668808,0.8975669145584106,0.012041636044159532
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.029403198123884096,0.1432368137871663,0.0033362843096256256,0.005409363191574812,0.9812182784080505,0.008437979966402054
qsar-biodeg,TabDPT_GPU,702,352,0.17652171625982452,0.7665695201378419,0.026407390832901,0.04878171160817146,0.8721590638160706,0.006066285073757172
seismic-bumps,TabDPT_GPU,1722,862,0.1093120688762876,0.2979340575738775,0.012416930869221687,0.008734067901968956,0.9338747262954712,0.006674241041764617
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04330186825605255,0.11482372026718589,0.006506182253360748,0.004776560701429844,0.9718433618545532,0.008884625043720007
