dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
qsar-biodeg,TabICL_GPU,702,352,0.18207180638450382,0.30493769761085,0.029221398755908012,0.02276584506034851,0.8778409361839294,0.0032034232281148434
seismic-bumps,TabICL_GPU,1722,862,0.1120290007142237,0.20649168069601262,0.019382793456315994,0.011198707856237888,0.9338747262954712,0.004845776129513979
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.052608750761295446,0.09190618655432367,0.01971331425011158,0.0031070136465132236,0.967883825302124,0.00832014693878591
Amazon_employee_access,LimiX_GPU,21846,10923,0.08936945729427655,0.16704372328527292,0.016153577715158463,0.0040130880661308765,0.9421404600143433,0.029665852896869183
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.20081359973913618,0.32853724120156785,0.023496665060520172,0.013275462202727795,0.8653269410133362,0.010512277018278837
Bioresponse,LimiX_GPU,2500,1251,0.2773301448113458,0.42928831242497356,0.02751995623111725,0.027522314339876175,0.7969624400138855,0.005069690989330411
E-CommereShippingData,LimiX_GPU,7332,3667,0.3593898610723037,0.5071607305464707,0.022330619394779205,0.0026582530699670315,0.6883010864257812,0.011611387133598328
Fitness_Club,LimiX_GPU,1000,500,0.3225979711941555,0.49005551810637665,0.026942647993564606,0.03977314755320549,0.7699999809265137,0.0034017141442745924
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.2706083075746033,0.42549810154486206,0.027762725949287415,0.01266651414334774,0.7925148606300354,0.017904184060171247
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18799706842709926,0.32160747080239394,0.016590729355812073,0.010000242851674557,0.8852173686027527,0.003989974036812782
Marketing_Campaign,LimiX_GPU,1493,747,0.1401878405647996,0.22526590525400705,0.02494138665497303,0.022104447707533836,0.904953122138977,0.003957308130338788
NATICUSdroid,LimiX_GPU,4994,2497,0.09075228277149637,0.1524190168005225,0.021911155432462692,0.013203107751905918,0.936724066734314,0.007723333081230521
bank-marketing,LimiX_GPU,30140,15071,0.17766778413779052,0.30598289803838363,0.017231322824954987,0.006791003048419952,0.8830203413963318,0.04098738683387637
blood-transfusion-service-center,LimiX_GPU,498,250,0.30461574550105125,0.4862707211605547,0.047704678028821945,0.09162487834692001,0.7960000038146973,0.0030098219867795706
churn,LimiX_GPU,3333,1667,0.07731972723248148,0.15648669305790572,0.015981819480657578,0.012813928537070751,0.9556089043617249,0.0063021990936249495
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10521127639951654,0.1982397681633759,0.013121234253048897,0.0021735047921538353,0.9404398202896118,0.010939599946141243
credit-g,LimiX_GPU,666,334,0.31377116711170255,0.4809122464387955,0.03604929894208908,0.06409747153520584,0.796407163143158,0.0030121959280222654
credit_card_clients_default,LimiX_GPU,20000,10000,0.265472275470716,0.42345356619376195,0.017593687400221825,0.004144277889281511,0.8222000002861023,0.02891336800530553
diabetes,LimiX_GPU,512,256,0.3076741353801097,0.46656085821180615,0.041198618710041046,0.052248887717723846,0.75390625,0.0029174669180065393
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.08404727100888547,0.146658030370714,0.025427550077438354,0.016067147254943848,0.9487500190734863,0.004067305009812117
heloc,LimiX_GPU,6972,3487,0.3643045863940431,0.5446373817048149,0.024515539407730103,0.020922444760799408,0.7292801737785339,0.010261611081659794
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3527917120160096,0.5310323140504498,0.031367227435112,0.021292176097631454,0.746688723564148,0.012083339039236307
jm1,LimiX_GPU,7256,3629,0.2687319981443466,0.4230856467737672,0.020230155438184738,0.018327396363019943,0.8065582513809204,0.011742775095626712
online_shoppers_intention,LimiX_GPU,8220,4110,0.14857315569956817,0.23750378042965697,0.025746943429112434,0.007476055528968573,0.8948904871940613,0.012583374045789242
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.06621615140906734,0.10949724542127365,0.02005917578935623,0.0039030532352626324,0.9512690305709839,0.007207208080217242
qsar-biodeg,LimiX_GPU,702,352,0.17640435228452037,0.3112406807930706,0.027697639539837837,0.04198308289051056,0.8892045617103577,0.0031527960672974586
seismic-bumps,LimiX_GPU,1722,862,0.11096409009997169,0.2057384352011773,0.020436707884073257,0.01690550521016121,0.9338747262954712,0.004125990904867649
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.05255681898385234,0.09221540990967801,0.017350243404507637,0.004591686651110649,0.967883825302124,0.008157390868291259
APSFailure,TabM_GPU,50666,25334,0.03031977167943167,0.050081237978940624,0.011498101986944675,0.0015537552535533905,0.9818820357322693,0.06698883301578462
Amazon_employee_access,TabM_GPU,21846,10923,0.0931146104702851,0.17276207300730453,0.022072158753871918,0.004379529971629381,0.9421404600143433,0.03059158381074667
Bank_Customer_Churn,TabM_GPU,6666,3334,0.20079502630787058,0.32866281343621345,0.024996429681777954,0.011185797862708569,0.8641271591186523,0.011680193012580276
Bioresponse,TabM_GPU,2500,1251,0.2889260975995512,0.449862715246157,0.026408009231090546,0.04364142194390297,0.7961630821228027,0.0060256661381572485
Diabetes130US,TabM_GPU,47678,23840,0.1549553510988107,0.2823615287695644,0.014321221970021725,0.004506044089794159,0.9119966626167297,0.07040998502634466
E-CommereShippingData,TabM_GPU,7332,3667,0.3631016415649653,0.5124227594783348,0.030120082199573517,0.03478746861219406,0.6708481311798096,0.012035964988172054
Fitness_Club,TabM_GPU,1000,500,0.32257105412739906,0.4898244546720989,0.0346975103020668,0.031088853254914284,0.7699999809265137,0.0035365780349820852
GiveMeSomeCredit,TabM_GPU,100000,50000,0.101965547377181,0.18092959463258354,0.01921076513826847,0.001117935637012124,0.9331600069999695,0.1361527901608497
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27329798736686384,0.42914532083095236,0.028933726251125336,0.0262759942561388,0.7901659607887268,0.018077067099511623
Is-this-a-good-customer,TabM_GPU,1148,575,0.19145073832587928,0.3287758359916442,0.024036340415477753,0.021699845790863037,0.8852173686027527,0.0039006320293992758
Marketing_Campaign,TabM_GPU,1493,747,0.1426867912606124,0.22664638016037272,0.023859072476625443,0.023243466392159462,0.898259699344635,0.0040946349035948515
NATICUSdroid,TabM_GPU,4994,2497,0.09205449034362598,0.15395019972409377,0.030411384999752045,0.013091327622532845,0.9359230995178223,0.007858145982027054
bank-marketing,TabM_GPU,30140,15071,0.17719080843195187,0.30529302556988275,0.01684090495109558,0.005570487584918737,0.8830203413963318,0.04041085299104452
blood-transfusion-service-center,TabM_GPU,498,250,0.31184307036000486,0.49624076978964476,0.05101253092288971,0.10980250686407089,0.7960000038146973,0.0028771928045898676
churn,TabM_GPU,3333,1667,0.07472698536620542,0.15860242696480437,0.02211722545325756,0.022867143154144287,0.9598080515861511,0.006414372939616442
coil2000_insurance_policies,TabM_GPU,6548,3274,0.1060084039567271,0.20291043348718435,0.014528900384902954,0.006364782806485891,0.9404398202896118,0.010419324040412903
credit-g,TabM_GPU,666,334,0.3299908262165883,0.5009203230321615,0.0493343323469162,0.0415804460644722,0.7694610953330994,0.003078624838963151
credit_card_clients_default,TabM_GPU,20000,10000,0.265505691395915,0.4231496700286254,0.014717977494001389,0.0078237010166049,0.8223000168800354,0.02721173595637083
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.06028304906073672,0.09475784083784344,0.022525258362293243,0.0010285513708367944,0.951194167137146,0.10568335303105414
diabetes,TabM_GPU,512,256,0.3303846751567391,0.4964359767845139,0.04069280996918678,0.03929661586880684,0.7578125,0.0030440688133239746
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.1147805046071527,0.18924603546006352,0.027192911133170128,0.00710041681304574,0.925000011920929,0.004197722999379039
heloc,TabM_GPU,6972,3487,0.3670053853129491,0.5474391518586449,0.025112882256507874,0.01694774255156517,0.7341554164886475,0.009858340956270695
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.3017546752511722,0.4651977675226547,0.03304918110370636,0.02343972958624363,0.7857142686843872,0.012044213013723493
jm1,TabM_GPU,7256,3629,0.2724016223906317,0.4321372109799384,0.018901638686656952,0.01589295081794262,0.8065582513809204,0.01211433787830174
kddcup09_appetency,TabM_GPU,33333,16667,0.03392383885564379,0.07745740411252607,0.005851069465279579,0.0005165066104382277,0.9821803569793701,0.04647275200113654
online_shoppers_intention,TabM_GPU,8220,4110,0.14755462739720226,0.23674559724798613,0.02597467042505741,0.007506323512643576,0.8965936899185181,0.012338635046035051
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.06786645541401352,0.11050774549563533,0.01944752410054207,0.006693994626402855,0.9451776742935181,0.007075830129906535
qsar-biodeg,TabM_GPU,702,352,0.18544839253367246,0.31840058070362376,0.03338254615664482,0.04812127724289894,0.875,0.0033305699471384287
seismic-bumps,TabM_GPU,1722,862,0.11282712334686427,0.20827851134606226,0.015113700181245804,0.011424130760133266,0.9338747262954712,0.004682586062699556
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.052767120092780215,0.09275763751020127,0.019543014466762543,0.0038223331794142723,0.967883825302124,0.008320112014189363
APSFailure,RealMLP_GPU,50666,25334,0.03034314996166566,0.05029518413491199,0.012761833146214485,0.0016433109994977713,0.9818820357322693,0.0671623160596937
Amazon_employee_access,RealMLP_GPU,21846,10923,0.08700162835130756,0.16030301488455787,0.020676814019680023,0.010097126476466656,0.9421404600143433,0.028314420953392982
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19858071974310523,0.3262932948481236,0.02560604363679886,0.010913565754890442,0.8644270896911621,0.010943163884803653
Bioresponse,RealMLP_GPU,2500,1251,0.28578851336191036,0.4461606186786116,0.02739693969488144,0.046654365956783295,0.79536372423172,0.005548938876017928
Diabetes130US,RealMLP_GPU,47678,23840,0.15417575127277744,0.28042683440902855,0.013025596737861633,0.0060519566759467125,0.9119966626167297,0.06905550393275917
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3606870239940446,0.5093965627024694,0.029543355107307434,0.041989393532276154,0.6828470230102539,0.011093151988461614
Fitness_Club,RealMLP_GPU,1000,500,0.32019519575371735,0.48987970397899255,0.03330518305301666,0.04893656075000763,0.7760000228881836,0.003465265966951847
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.10199905795680105,0.18111922583358944,0.022329624742269516,0.0011880304664373398,0.9331600069999695,0.13095647608861327
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.27292272902416753,0.42824878623682777,0.025410868227481842,0.013410738669335842,0.79314124584198,0.01822052407078445
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18587835487576582,0.3165382996182531,0.022648964077234268,0.019916893914341927,0.8852173686027527,0.003991106990724802
Marketing_Campaign,RealMLP_GPU,1493,747,0.1493080492945302,0.23920545567664503,0.03153413161635399,0.01477478351444006,0.898259699344635,0.004310736898332834
NATICUSdroid,RealMLP_GPU,4994,2497,0.09269965552033343,0.15480804256276548,0.024309560656547546,0.012119725346565247,0.9343211650848389,0.008630807045847178
bank-marketing,RealMLP_GPU,30140,15071,0.17780857477864934,0.3061212343120256,0.01856357231736183,0.005561886355280876,0.8830203413963318,0.0415751188993454
blood-transfusion-service-center,RealMLP_GPU,498,250,0.3039868784852474,0.4892844930626476,0.04311519116163254,0.061488114297389984,0.800000011920929,0.0031523520592600107
churn,RealMLP_GPU,3333,1667,0.07562710235842184,0.16057367225422436,0.02818083018064499,0.03765479847788811,0.9592081308364868,0.0066165931057184935
coil2000_insurance_policies,RealMLP_GPU,6548,3274,0.10630404450637405,0.2023543740003186,0.01549146044999361,0.0029654924292117357,0.9404398202896118,0.01100589893758297
credit-g,RealMLP_GPU,666,334,0.3263492684086019,0.49892959947320703,0.05757104977965355,0.04824453592300415,0.7694610953330994,0.0032473430037498474
credit_card_clients_default,RealMLP_GPU,20000,10000,0.2654396030696272,0.4237274185707646,0.01547287032008171,0.008158710785210133,0.8216999769210815,0.02829377306625247
customer_satisfaction_in_airline,RealMLP_GPU,86586,43294,0.06080113159303058,0.09707825116885516,0.023849662393331528,0.0032425366807729006,0.9509631991386414,0.10904477094300091
diabetes,RealMLP_GPU,512,256,0.304993700649293,0.4634012386717421,0.02875109575688839,0.05500207096338272,0.77734375,0.002958199940621853
hazelnut-spread-contaminant-detection,RealMLP_GPU,1600,800,0.08778789806252016,0.1595890014941025,0.025604140013456345,0.016688663512468338,0.949999988079071,0.004086452070623636
heloc,RealMLP_GPU,6972,3487,0.36339532420043397,0.5432530956837831,0.01798265054821968,0.017417699098587036,0.7332950830459595,0.010195185896009207
in_vehicle_coupon_recommendation,RealMLP_GPU,8456,4228,0.3077709834634234,0.47149152671002476,0.04014559090137482,0.041985876858234406,0.785004734992981,0.013079397846013308
jm1,RealMLP_GPU,7256,3629,0.2690267530022154,0.4255754107069289,0.018432430922985077,0.023514099419116974,0.8065582513809204,0.012769115157425404
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03381596017752936,0.07651797125653481,0.006508860737085342,0.0009270721930079162,0.9821803569793701,0.047506401082500815
online_shoppers_intention,RealMLP_GPU,8220,4110,0.1501334782397855,0.24093334517347406,0.027490001171827316,0.007267134729772806,0.8941605687141418,0.012287116842344403
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.0694887776430162,0.11931140057543235,0.018690766766667366,0.004412074573338032,0.9472081065177917,0.006982660153880715
qsar-biodeg,RealMLP_GPU,702,352,0.1845650521008518,0.31620976502324605,0.03779095038771629,0.038510505110025406,0.8835227489471436,0.00304625416174531
seismic-bumps,RealMLP_GPU,1722,862,0.11131581291507746,0.20783354756476624,0.013657845556735992,0.019400950521230698,0.9338747262954712,0.0044320072047412395
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.052187950559547155,0.09145277792781305,0.019546708092093468,0.0036681441124528646,0.967883825302124,0.007997320964932442
APSFailure,BetaTabPFN_GPU,50666,25334,0.030139828198872093,0.049707864282467804,0.014240685850381851,0.0010745219187811017,0.9818820357322693,0.07213101489469409
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.09264713220210519,0.17295862609942328,0.014531414955854416,0.00971221923828125,0.9421404600143433,0.03173418901860714
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.1986238506313018,0.3265802713298229,0.022857388481497765,0.014243228361010551,0.8680263757705688,0.012148974929004908
Bioresponse,BetaTabPFN_GPU,2500,1251,0.31446100512374253,0.47895905150978385,0.03243425488471985,0.03726721927523613,0.7641886472702026,0.005663067800924182
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15552005353049844,0.283925607550119,0.014172378927469254,0.0054609584622085094,0.9119966626167297,0.0673405269626528
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35774804559515394,0.5057214882735885,0.02294808067381382,0.00929196085780859,0.6913008093833923,0.012346165953204036
Fitness_Club,BetaTabPFN_GPU,1000,500,0.3152311189137831,0.4811016302832248,0.027494005858898163,0.027976643294095993,0.7699999809265137,0.0034600438084453344
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.102121563863155,0.18174122084330083,0.018846219405531883,0.001293444773182273,0.9331600069999695,0.1330544480588287
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2745254818581867,0.4306590201250775,0.027366241440176964,0.014814356341958046,0.7911055684089661,0.01786725386045873
