dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
credit_card_clients_default,TabICLv2,20000,10000,0.2617505441219974,0.4183744919388131,0.005096896551549435,0.013297195546329021,0.8228999972343445,0.11859736195765436
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.053006224066449524,,0.0015404615551233292,0.003810747992247343,0.9622118473052979,0.5234390199184418
diabetes,TabICLv2,512,256,0.3026620973411565,0.4598489090222324,0.02478596568107605,0.07780563086271286,0.75390625,0.0038932710886001587
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050876618212513394,,0.007185349240899086,0.020098356530070305,0.9637500047683716,0.010305084055289626
heloc,TabICLv2,6972,3487,0.3627056184657306,0.5422443480516604,0.01200617104768753,0.01769283227622509,0.7315744161605835,0.041613063076511025
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.31165113728077626,0.47749816989806587,0.010162070393562317,0.023221777752041817,0.7800378203392029,0.04964438104070723
jm1,TabICLv2,7256,3629,0.26147641968300345,0.4134109547901881,0.01924554817378521,0.017972251400351524,0.8200606107711792,0.043857014970853925
kddcup09_appetency,TabICLv2,33333,16667,0.03351997435028672,,0.001796645112335682,0.0016299935523420572,0.9821803569793701,0.19534250488504767
online_shoppers_intention,TabICLv2,8220,4110,0.1405915864275745,,0.006721721962094307,0.011939849704504013,0.9009732604026794,0.049229069147259
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030835999225610318,,0.007927801460027695,0.0118781216442585,0.9807106852531433,0.02368735196068883
qsar-biodeg,TabICLv2,702,352,0.17272470182401864,0.2990857504011131,0.0341322235763073,0.059630054980516434,0.8863636255264282,0.004982219077646732
seismic-bumps,TabICLv2,1722,862,0.10820958699155385,0.20091630137132765,0.010960385203361511,0.011628534644842148,0.9338747262954712,0.01089616003446281
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04225483854065288,,0.005325106903910637,0.008112145587801933,0.9709634780883789,0.027367602102458477
APSFailure,RealTabPFN-v2.5,50666,25334,0.008805123164714415,,0.0017638097051531076,0.003076139371842146,0.9945527911186218,0.2968865029979497
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08384638630686558,,0.0037779067642986774,0.007994444109499454,0.9480912089347839,0.12763018580153584
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.1948279642560059,,0.009188121184706688,0.02259979583323002,0.870125949382782,0.039710520999506116
Bioresponse,RealTabPFN-v2.5,2500,1251,0.27121048936176884,0.42376989063622683,0.0232430100440979,0.04649623483419418,0.8065547347068787,0.01528345188125968
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15404843645209085,0.2817588834626289,0.004681028425693512,0.005486445501446724,0.911912739276886,0.2810204029083252
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.3556942552083423,,0.015930086374282837,0.021657802164554596,0.6888464689254761,0.04377102293074131
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3143572098470115,0.47772306327211533,0.021060075610876083,0.056595467031002045,0.7760000228881836,0.006740818032994866
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09703984869732848,0.17541100915667882,0.002818044275045395,0.004296471364796162,0.9384199976921082,0.6001731720753014
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2678047002536737,0.42300084247895664,0.007265273481607437,0.010977471247315407,0.8070780038833618,0.07492518378421664
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.1956906629744999,0.3343129659112296,0.016980022192001343,0.025167196989059448,0.8695651888847351,0.007524839835241437
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1322408577904021,,0.01371021755039692,0.03271869570016861,0.9022757411003113,0.009633615845814347
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08439642005855073,,0.006917990744113922,0.009436063468456268,0.9411293268203735,0.030030146008357406
bank-marketing,RealTabPFN-v2.5,30140,15071,0.1722481114972044,0.2998841776550996,0.004274681210517883,0.010746918618679047,0.8927078247070312,0.17507219198159873
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.30333222153145983,,0.05075005441904068,0.11738869547843933,0.7919999957084656,0.0037855030968785286
churn,RealTabPFN-v2.5,3333,1667,0.05016270529647201,,0.014908893033862114,0.018802104517817497,0.9676064848899841,0.02032586606219411
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10637316185263038,0.2021186109253291,0.006863626651465893,0.0084471320733428,0.9401344060897827,0.03880023816600442
credit-g,RealTabPFN-v2.5,666,334,0.3309140315157549,,0.036574993282556534,0.0640874058008194,0.7514970302581787,0.004774749977514148
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26345269611804445,0.4208642576237993,0.007074795663356781,0.016233419999480247,0.8228999972343445,0.11713065789081156
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.053987684422131185,,0.0019293079385533929,0.0040222094394266605,0.9626275897026062,0.5132238049991429
diabetes,RealTabPFN-v2.5,512,256,0.30710541638477173,0.4649078905193223,0.023847848176956177,0.059145718812942505,0.765625,0.003913243999704719
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06504710207694368,,0.009975059889256954,0.011610159650444984,0.9587500095367432,0.01024343608878553
heloc,RealTabPFN-v2.5,6972,3487,0.3636146344989758,0.5446571084657603,0.013616155833005905,0.01787864975631237,0.7312876582145691,0.041823758045211434
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3073909294281799,,0.011718211695551872,0.02759835496544838,0.7833490967750549,0.05063638393767178
jm1,RealTabPFN-v2.5,7256,3629,0.25992487068186654,,0.007839012891054153,0.017137635499238968,0.8181317448616028,0.04313024692237377
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.033318947352257516,,0.0017858613282442093,0.0008175789262168109,0.9821803569793701,0.20055027911439538
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.1402338510607874,,0.006901211105287075,0.012570835649967194,0.9026764035224915,0.04925878904759884
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.05981386690641403,,0.03296308219432831,0.049925174564123154,0.930964469909668,0.02385912509635091
