dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
Marketing_Campaign,LimiX_GPU,1493,747,0.13471181690692902,0.21726423501968384,0.02792363613843918,0.03072105534374714,0.9062918424606323,0.0386364390142262
NATICUSdroid,LimiX_GPU,4994,2497,0.0853491872549057,0.15046326816082,0.01031457632780075,0.019543524831533432,0.9419302940368652,0.7351986442226917
bank-marketing,LimiX_GPU,30140,15071,0.17375779151916504,0.30440598726272583,0.02161761373281479,0.023540396243333817,0.8942339420318604,6.2847519719507545
blood-transfusion-service-center,LimiX_GPU,498,250,0.3082815408706665,0.48290956020355225,0.05179109424352646,0.08156180381774902,0.7720000147819519,0.005240018013864756
churn,LimiX_GPU,3333,1667,0.06581961363554001,0.13480526208877563,0.006248126737773418,0.014831546694040298,0.9604079127311707,0.2432797090150416
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1061340793967247,0.20198319852352142,0.016160685569047928,0.013871777802705765,0.9404398202896118,0.7453888051677495
credit-g,LimiX_GPU,666,334,0.3121374845504761,0.47941428422927856,0.029452502727508545,0.07968813180923462,0.78143709897995,0.008753984002396464
credit_card_clients_default,LimiX_GPU,20000,10000,0.2655121982097626,0.4244551658630371,0.019373636692762375,0.02194719947874546,0.8220000267028809,4.563767123967409
diabetes,LimiX_GPU,512,256,0.3135721981525421,0.47250720858573914,0.03303239122033119,0.07139846682548523,0.75390625,0.004787063226103783
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07218959927558899,0.12896689772605896,0.014996495097875595,0.020100971683859825,0.9537500143051147,0.07372119394131005
heloc,LimiX_GPU,6972,3487,0.36267268657684326,0.5426363348960876,0.016852859407663345,0.023038478568196297,0.7358760833740234,0.8617859059013426
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3521018922328949,0.5299139618873596,0.016049442812800407,0.027559129521250725,0.7417218685150146,1.2416729328688234
jm1,LimiX_GPU,7256,3629,0.2671883702278137,0.4228684604167938,0.01828763820230961,0.025922104716300964,0.8164783716201782,0.9212107711937279
online_shoppers_intention,LimiX_GPU,8220,4110,0.14440983533859253,0.23578345775604248,0.01974347047507763,0.026610838249325752,0.899756669998169,1.6404320350848138
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05395049229264259,0.10117733478546143,0.014932379126548767,0.017359530553221703,0.9649746417999268,0.29418995091691613
qsar-biodeg,LimiX_GPU,702,352,0.1744479387998581,0.2990185022354126,0.041447773575782776,0.047226760536432266,0.8835227489471436,0.01040357118472457
seismic-bumps,LimiX_GPU,1722,862,0.11311353743076324,0.21130947768688202,0.02575346827507019,0.019226592034101486,0.9338747262954712,0.04674872104078531
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.044258955866098404,0.0832577645778656,0.008437931537628174,0.010136814787983894,0.9714034199714661,0.39653925504535437
APSFailure,TabM_GPU,50666,25334,0.009080926887691021,0.018521232530474663,0.0016078618355095387,0.0018567509250715375,0.9940396547317505,10.031228835927323
Amazon_employee_access,TabM_GPU,21846,10923,0.09167428314685822,0.17231474816799164,0.018038928508758545,0.016550198197364807,0.9423235654830933,4.161685670027509
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19726306200027466,0.3241635859012604,0.021181244403123856,0.023066086694598198,0.8671265840530396,0.8929471678566188
Bioresponse,TabM_GPU,2500,1251,0.28401979804039,0.44319793581962585,0.018413692712783813,0.03188127279281616,0.7913669347763062,0.14085084688849747
Diabetes130US,TabM_GPU,47678,23840,0.1578657180070877,0.28970882296562195,0.020378228276968002,0.024585360661149025,0.9119966626167297,9.345470333006233
E-CommereShippingData,TabM_GPU,7332,3667,0.3549017012119293,0.4963661730289459,0.012306548655033112,0.008355706930160522,0.6888464689254761,1.299593998119235
Fitness_Club,TabM_GPU,1000,500,0.3193778693675995,0.4878091812133789,0.03498726710677147,0.04085368290543556,0.7760000228881836,0.015964831924065948
GiveMeSomeCredit,TabM_GPU,100000,50000,0.0977817252278328,0.1784193515777588,0.013495893217623234,0.011944707483053207,0.9376999735832214,19.74080290691927
