dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
kddcup09_appetency,RealMLP_GPU,33333,16667,0.03348930077553188,0.07571871308304662,0.0024174926802515984,0.003553720423951745,0.9821803569793701,0.06401363294571638
online_shoppers_intention,RealMLP_GPU,8220,4110,0.14425750852834818,0.23336891100036178,0.008422940969467163,0.014738787896931171,0.9012165665626526,0.019180209143087268
polish_companies_bankruptcy,RealMLP_GPU,3940,1970,0.04429542650215655,0.09227002678243383,0.014796752482652664,0.019945811480283737,0.972588837146759,0.01349534816108644
qsar-biodeg,RealMLP_GPU,702,352,0.17573728422951787,0.30135228128920266,0.02182694524526596,0.04711718112230301,0.8806818127632141,0.011855651158839464
seismic-bumps,RealMLP_GPU,1722,862,0.10907760882191164,0.20474467988193254,0.013460244983434677,0.014106972143054008,0.9338747262954712,0.005747027928009629
taiwanese_bankruptcy_prediction,RealMLP_GPU,4546,2273,0.045287259416672616,0.08250308495421356,0.009832547046244144,0.013741966336965561,0.968323826789856,0.010188905987888575
APSFailure,BetaTabPFN_GPU,50666,25334,0.009388851551031077,0.01790764679064872,0.0014703436754643917,0.0023232020903378725,0.9939212203025818,0.08648608601652086
Amazon_employee_access,BetaTabPFN_GPU,21846,10923,0.08852532741351155,0.1675002369303896,0.005930311977863312,0.009901637211441994,0.9446122646331787,0.07746750395745039
Bank_Customer_Churn,BetaTabPFN_GPU,6666,3334,0.19655747050849512,0.32211599049978595,0.010844533331692219,0.019162984564900398,0.8686262965202332,0.017004646128043532
Bioresponse,BetaTabPFN_GPU,2500,1251,0.3100254477251404,0.4733495014655943,0.02513614296913147,0.044437259435653687,0.7769784331321716,0.00854780012741685
Diabetes130US,BetaTabPFN_GPU,47678,23840,0.15528830318688946,0.2837469241720842,0.006484244018793106,0.00955569464713335,0.9119966626167297,0.07188498391769826
E-CommereShippingData,BetaTabPFN_GPU,7332,3667,0.35469885812997454,0.49597031673701986,0.016562804579734802,0.012618139386177063,0.6853013634681702,0.014432210009545088
Fitness_Club,BetaTabPFN_GPU,1000,500,0.31377426789223123,0.478520626958217,0.025939349085092545,0.05838560312986374,0.7760000228881836,0.005383772077038884
GiveMeSomeCredit,BetaTabPFN_GPU,100000,50000,0.09750005537319978,0.1769215000999285,0.004543492570519447,0.007985319942235947,0.9379799962043762,0.17338988417759538
HR_Analytics_Job_Change_of_Data_Scientists,BetaTabPFN_GPU,12772,6386,0.2724509384433655,0.4278860016012983,0.014938954263925552,0.020565306767821312,0.7994049191474915,0.062293444061651826
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18845274390460412,0.32133537493612635,0.013016416691243649,0.03379809856414795,0.8852173686027527,0.00549535802565515
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13787856977059149,0.2234901332010387,0.024111881852149963,0.03141583129763603,0.9009370803833008,0.01392033020965755
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.0852043294248511,0.14541108558394156,0.004296708852052689,0.009065598249435425,0.9423307776451111,0.024721960071474314
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17241201155038577,0.3003522079195246,0.0038763433694839478,0.008141863159835339,0.8932386636734009,0.04699376807548106
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.31261478140466603,0.5006351213888105,0.055546313524246216,0.12150593847036362,0.7879999876022339,0.004259899025782943
churn,BetaTabPFN_GPU,3333,1667,0.05821271731370873,0.12386539479558978,0.008463310077786446,0.012334579601883888,0.9628074169158936,0.01132043614052236
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.1054977078984308,0.20140252374951043,0.0038625113666057587,0.005007563624531031,0.9404398202896118,0.013176331063732505
credit-g,BetaTabPFN_GPU,666,334,0.34097500012987797,0.5148260953151489,0.044479481875896454,0.07867696136236191,0.7514970302581787,0.008920694002881646
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.264094120338622,0.42155794846320915,0.007283441722393036,0.011602027341723442,0.8223000168800354,0.07545064017176628
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07084592644760757,0.11646170968002141,0.0035646725445985794,0.005098170135170221,0.9498544931411743,0.14865263202227652
diabetes,BetaTabPFN_GPU,512,256,0.314123993054656,0.47386581101273145,0.038411930203437805,0.05945393815636635,0.76171875,0.012005454860627651
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.12414834285199942,0.21253081943959018,0.00936746597290039,0.026887038722634315,0.9175000190734863,0.01539863902144134
heloc,BetaTabPFN_GPU,6972,3487,0.36361056026279426,0.5430891432284402,0.008936382830142975,0.022629577666521072,0.728419840335846,0.016310356091707945
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.31996741394127587,0.48822599441256054,0.016348574310541153,0.021961910650134087,0.7675023674964905,0.04093546303920448
jm1,BetaTabPFN_GPU,7256,3629,0.2686142983379353,0.4256650188783479,0.008196385577321053,0.019318457692861557,0.8142738938331604,0.016551004955545068
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.033951660308869105,0.08000312432662583,0.005648362450301647,0.0052537876181304455,0.9821803569793701,0.060766128124669194
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14168604188851325,0.22840026524039334,0.0059733022935688496,0.006958689074963331,0.9007299542427063,0.024390334961935878
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04550513520798292,0.08673650300441403,0.0076522789895534515,0.013203928247094154,0.9751269221305847,0.009573171148076653
qsar-biodeg,BetaTabPFN_GPU,702,352,0.19969785695531306,0.3319195926314725,0.04101841524243355,0.056299250572919846,0.8693181872367859,0.005616857903078198
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10987715846927185,0.20415554600554603,0.010534681379795074,0.016830021515488625,0.9338747262954712,0.006055018864572048
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04364040669325097,0.07952296158290552,0.003413073718547821,0.009381463751196861,0.9727232456207275,0.013254129095003009
APSFailure,ModernNCA_GPU,50666,25334,0.009344062705134559,0.018012405355245866,0.002108818618580699,0.004047838505357504,0.9940791130065918,0.11041376111097634
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.08463725378123059,0.16103674735739118,0.028933778405189514,0.02872338891029358,0.9494644403457642,0.0832811058498919
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19881092845515813,0.32535248256137667,0.012328811921179295,0.023696377873420715,0.8680263757705688,0.013945040060207248
Bioresponse,ModernNCA_GPU,2500,1251,0.28950900084495795,0.45378874278577835,0.022771060466766357,0.0457635298371315,0.7977617979049683,0.020164634101092815
Diabetes130US,ModernNCA_GPU,47678,23840,0.15442986458042388,0.2818857561653726,0.0032690847292542458,0.0029103397391736507,0.9119966626167297,0.08598458906635642
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.35799231670139403,0.5019405823173588,0.015955328941345215,0.02459719032049179,0.6861194372177124,0.022380550857633352
Fitness_Club,ModernNCA_GPU,1000,500,0.3197554377152222,0.4888339589696225,0.016922879964113235,0.06016213446855545,0.7599999904632568,0.007512315176427364
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.0969215478957166,0.17528780285136705,0.0015355744399130344,0.002817490603774786,0.9387400150299072,0.15459148702211678
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.26902176605307015,0.4237313707583419,0.008984824642539024,0.017835212871432304,0.8033197522163391,0.05993783101439476
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.19431337090018172,0.33043203647815717,0.03235408663749695,0.03825657069683075,0.8834782838821411,0.008608326083049178
Marketing_Campaign,ModernNCA_GPU,1493,747,0.1398357004786869,0.22895484345904754,0.026094086468219757,0.04272836819291115,0.9022757411003113,0.006245109019801021
