dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
APSFailure,TabPFN-v2.6,50666,25334,0.008624377072578335,0.01617438409462608,0.0014732790878042579,0.0016988413408398628,0.9944343566894531,0.12212264607660472
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08134178703797809,0.15648061358373258,0.004999727010726929,0.007433483377099037,0.9485489130020142,0.04536015400663018
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1962493437444155,0.321456111766527,0.008215397596359253,0.018079187721014023,0.8677264451980591,0.01692275912500918
Bioresponse,TabPFN-v2.6,2500,1251,0.27110899552126644,0.4203723339645135,0.027079731225967407,0.04356299713253975,0.8033573031425476,0.011852820869535208
Diabetes130US,TabPFN-v2.6,47678,23840,0.153492988240492,0.2798620151713926,0.005317304283380508,0.008301022462546825,0.9121224880218506,0.08298987685702741
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3546947629082004,0.4957006959721512,0.013663887977600098,0.007486872840672731,0.6880283355712891,0.020174893084913492
Fitness_Club,TabPFN-v2.6,1000,500,0.31344072936114836,0.4769186616564997,0.0218634195625782,0.05179864913225174,0.777999997138977,0.013552532996982336
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09741317182050697,0.17548358116084192,0.001114947721362114,0.0030362808611243963,0.9379000067710876,0.378922302974388
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26836335698426894,0.42328415004371306,0.009449243545532227,0.013491581194102764,0.8067647814750671,0.062358096009120345
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18879122662567288,0.31994212105640324,0.015677358955144882,0.031182998791337013,0.8852173686027527,0.014918834203854203
Marketing_Campaign,TabPFN-v2.6,1493,747,0.1309626702721389,0.21139647422398516,0.014962386339902878,0.02792113646864891,0.9076305031776428,0.006730300839990377
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08297467907507682,0.14097798640824438,0.006965426728129387,0.012077934108674526,0.9431317448616028,0.015205137897282839
bank-marketing,TabPFN-v2.6,30140,15071,0.17189598781338145,0.2993971306757215,0.004319995176047087,0.009153231047093868,0.8937695026397705,0.052622389048337936
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3085310950414471,0.4882440804586921,0.043069638311862946,0.08644451200962067,0.7799999713897705,0.012374547077342868
churn,TabPFN-v2.6,3333,1667,0.05773116111620843,0.11992125497152978,0.004652936942875385,0.015724463388323784,0.9646070599555969,0.014039203058928251
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10554287434761452,0.19992027398209264,0.006173688918352127,0.0076422784477472305,0.9401344060897827,0.05113204591907561
credit-g,TabPFN-v2.6,666,334,0.3321239277939967,0.4993387238713872,0.03902462124824524,0.05427846312522888,0.7455089688301086,0.005456766113638878
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2624951062535409,0.41946965640282835,0.004637225065380335,0.010284979827702045,0.8235999941825867,0.051749850157648325
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.05263361990116038,0.08405663048039738,0.0009914261754602194,0.0022407667711377144,0.9630433917045593,0.20259364414960146
diabetes,TabPFN-v2.6,512,256,0.30959250715736886,0.4667911664594778,0.023488549515604973,0.08302449434995651,0.76171875,0.012147491099312901
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06590522353780051,0.12165696124715328,0.014600875787436962,0.020422013476490974,0.9612500071525574,0.007936960086226463
heloc,TabPFN-v2.6,6972,3487,0.3632834167690776,0.5430453957573443,0.011686567217111588,0.016435515135526657,0.7324347496032715,0.039694983046501875
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.2981596154342257,0.46075685681040607,0.012785105034708977,0.020537739619612694,0.7894985675811768,0.019775701919570565
jm1,TabPFN-v2.6,7256,3629,0.2575308946712003,0.41311966565612557,0.010809637606143951,0.017485715448856354,0.8219895362854004,0.017581159947440028
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.033335818074918755,0.07523098568218177,0.0017284732311964035,0.0011184507748112082,0.9821803569793701,0.0878003619145602
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.13890246365056455,0.22296107678920057,0.005945159588009119,0.011243567802011967,0.9031630158424377,0.01942087197676301
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02547287308888441,0.05282663150564916,0.004785854369401932,0.006624091416597366,0.9842639565467834,0.00993160204961896
qsar-biodeg,TabPFN-v2.6,702,352,0.18510519557577576,0.317287771874005,0.024882540106773376,0.04379098489880562,0.8721590638160706,0.012389346957206726
seismic-bumps,TabPFN-v2.6,1722,862,0.11025441492741567,0.2036219507999096,0.009560056030750275,0.01180692296475172,0.9338747262954712,0.020699257031083107
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04317061484771635,0.07800762879143981,0.003983167931437492,0.010352723300457,0.9714034199714661,0.02504825103096664
APSFailure,TabICLv2,50666,25334,0.007902494670969106,0.0144885176509918,0.0005874681519344449,0.0009732195758260787,0.9947106838226318,0.10292899492196739
Amazon_employee_access,TabICLv2,21846,10923,0.08105363849240357,0.1555745267319124,0.0030171407852321863,0.004431338515132666,0.9488235712051392,0.08955418295226991
Bank_Customer_Churn,TabICLv2,6666,3334,0.19653911497162554,0.3214960474783929,0.00965209025889635,0.02733457460999489,0.8677264451980591,0.016880519222468138
Bioresponse,TabICLv2,2500,1251,0.29081042136294316,0.44940086211379887,0.032153140753507614,0.039603572338819504,0.7977617979049683,0.009604696882888675
Diabetes130US,TabICLv2,47678,23840,0.15410813171007454,0.2810497718642987,0.003383684903383255,0.006219979375600815,0.9119966626167297,0.07947977702133358
E-CommereShippingData,TabICLv2,7332,3667,0.3541406760112307,0.49477425119031454,0.01071193814277649,0.007877371273934841,0.6874829530715942,0.022393926046788692
Fitness_Club,TabICLv2,1000,500,0.3132160021051838,0.47564776201556663,0.02167854830622673,0.05399172008037567,0.7760000228881836,0.02804786805063486
GiveMeSomeCredit,TabICLv2,100000,50000,0.09746392831710465,0.17560231513477084,0.0017561428248882294,0.002301836386322975,0.9374799728393555,0.20023211697116494
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.26761779455691187,0.42218138009132056,0.008001677691936493,0.016350993886590004,0.8058252334594727,0.027870771009474993
Is-this-a-good-customer,TabICLv2,1148,575,0.18819963774592338,0.31991534701960045,0.016975291073322296,0.03824939578771591,0.8799999952316284,0.014738679863512516
Marketing_Campaign,TabICLv2,1493,747,0.13508308308588285,0.21614219408746232,0.016115179285407066,0.02971228025853634,0.8955823183059692,0.007268060930073261
NATICUSdroid,TabICLv2,4994,2497,0.07998893068969902,0.13542733747033603,0.004404016770422459,0.008617343381047249,0.9459351301193237,0.01364091387949884
bank-marketing,TabICLv2,30140,15071,0.17113417228480512,0.29846798500825766,0.0057025812566280365,0.010443232022225857,0.8940349221229553,0.14736743201501667
blood-transfusion-service-center,TabICLv2,498,250,0.298316099955834,0.4745058163838134,0.039764538407325745,0.07595182210206985,0.7919999957084656,0.012452414957806468
churn,TabICLv2,3333,1667,0.04998098767064414,0.11046795963571199,0.009136097505688667,0.011599716730415821,0.9712057709693909,0.013056284049525857
coil2000_insurance_policies,TabICLv2,6548,3274,0.10544728464756116,0.19976699601629044,0.005144340917468071,0.00445196870714426,0.9407452940940857,0.0168009118642658
credit-g,TabICLv2,666,334,0.32615591766475166,0.49429758943010144,0.03044094890356064,0.05588218942284584,0.7664670944213867,0.005159414140507579
credit_card_clients_default,TabICLv2,20000,10000,0.26174907554977206,0.418353224322778,0.0048883771523833275,0.01150236651301384,0.822700023651123,0.09025121689774096
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05297365270886739,0.08427609303839553,0.0010798890143632889,0.004241956397891045,0.9622118473052979,0.1931071551516652
diabetes,TabICLv2,512,256,0.3030062754764065,0.4606532684934722,0.023860611021518707,0.0567663311958313,0.74609375,0.012053336016833782
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.050684949979043825,0.09146693035535183,0.0064826603047549725,0.019045356661081314,0.9637500047683716,0.006852610968053341
heloc,TabICLv2,6972,3487,0.36277372483033815,0.5421621522917072,0.013349909335374832,0.020848821848630905,0.7304273247718811,0.04163087601773441
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3114280534683006,0.47719282854156747,0.012151151895523071,0.020491207018494606,0.7798013091087341,0.04414284694939852
jm1,TabICLv2,7256,3629,0.2612280451321186,0.4131157110434204,0.01957552321255207,0.01850222796201706,0.8197850584983826,0.037495475029572845
kddcup09_appetency,TabICLv2,33333,16667,0.033511396978266605,0.07632315253177838,0.0016245697624981403,0.0016394181875512004,0.9821803569793701,0.15489241480827332
online_shoppers_intention,TabICLv2,8220,4110,0.14036338436822904,0.2245652494971643,0.00565376877784729,0.010891096666455269,0.9007299542427063,0.019615255994722247
polish_companies_bankruptcy,TabICLv2,3940,1970,0.03115592808667469,0.06260154414215843,0.007157516200095415,0.012113767676055431,0.9807106852531433,0.009996253997087479
qsar-biodeg,TabICLv2,702,352,0.17209717607294903,0.3017879860545753,0.027390308678150177,0.05881977826356888,0.8920454382896423,0.005619375966489315
seismic-bumps,TabICLv2,1722,862,0.1082577574534087,0.2013313770953086,0.010466202162206173,0.01338859461247921,0.9338747262954712,0.021678906865417957
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.0423956140292849,0.07892586818357268,0.005508231930434704,0.006956334225833416,0.9705235362052917,0.025470829103142023
APSFailure,RealTabPFN-v2.5,50666,25334,0.00865011458432266,0.016349369971360446,0.00044640907435677946,0.0012461431324481964,0.9944738149642944,0.18352995393797755
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08274502870305002,0.15898606534552423,0.0030068885535001755,0.005370970815420151,0.9479996562004089,0.08634121203795075
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.1944101892507149,0.31844564999391617,0.00884137861430645,0.019469987601041794,0.8692261576652527,0.01862528920173645
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2715470853032445,0.42258679894468637,0.027518978342413902,0.040298305451869965,0.8145483732223511,0.02010267903096974
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15400230924030053,0.2815184368138269,0.0041121020913124084,0.0047576711513102055,0.9118707776069641,0.23261249181814492
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35508622123567096,0.4960247972370087,0.015129223465919495,0.014537232927978039,0.6855740547180176,0.03043564804829657
Fitness_Club,RealTabPFN-v2.5,1000,500,0.31346934947278443,0.47596254347174327,0.019685234874486923,0.05840221792459488,0.7760000228881836,0.014726737048476934
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09707656781842523,0.17545501537210578,0.0035287924110889435,0.003988695330917835,0.9386600255966187,0.21150134596973658
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.2684402076774975,0.42365367210095006,0.00979451835155487,0.013720005750656128,0.8048856854438782,0.031240483047440648
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.1939120763958492,0.3324210689654279,0.015234977006912231,0.025104880332946777,0.8782608509063721,0.006073191063478589
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.1329992649795041,0.21369682775673007,0.01853920891880989,0.034970879554748535,0.9022757411003113,0.007429538993164897
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.0844429646798395,0.1438335692809118,0.007646271493285894,0.009941834956407547,0.9411293268203735,0.013712796149775386
bank-marketing,RealTabPFN-v2.5,30140,15071,0.22700929170279815,0.37716109608867693,0.10625921189785004,0.10608229786157608,0.85103839635849,0.09240745799615979
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.3028390872110293,0.4830812260801164,0.04822118580341339,0.10005537420511246,0.800000011920929,0.012146045919507742
churn,RealTabPFN-v2.5,3333,1667,0.048836996450899756,0.10705278091767179,0.0068465424701571465,0.01046312041580677,0.9682063460350037,0.016166442073881626
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10587048511993717,0.2165850541353916,0.005986531265079975,0.007618935778737068,0.9407452940940857,0.02605544403195381
credit-g,RealTabPFN-v2.5,666,334,0.32934153587908965,0.49750438342412506,0.026974596083164215,0.05729803442955017,0.7514970302581787,0.005079745082184672
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.2625196012465012,0.419552108218088,0.005893029738217592,0.011642240919172764,0.8228999972343445,0.0466028000228107
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05393048981203435,0.0874334856522492,0.0019984873943030834,0.003867815714329481,0.9625352025032043,0.20410775090567768
diabetes,RealTabPFN-v2.5,512,256,0.327630066566532,0.489740349994845,0.09848284721374512,0.0955292358994484,0.73828125,0.012593263061717153
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06535983425516,0.11968716701419484,0.013859480619430542,0.02251250669360161,0.9574999809265137,0.014681339031085372
heloc,RealTabPFN-v2.5,6972,3487,0.3636619688461439,0.5436386754572343,0.014714743942022324,0.01837742142379284,0.7307140827178955,0.029198230942711234
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.31813632867914926,0.4853667216786109,0.07059542089700699,0.07057470083236694,0.765373706817627,0.03812949499115348
jm1,RealTabPFN-v2.5,7256,3629,0.2600623272167738,0.41230234263711585,0.010557938367128372,0.021954169496893883,0.8178561329841614,0.02356935804709792
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.03331454303358297,0.07539244123709306,0.0015417030081152916,0.0006462953751906753,0.9821803569793701,0.13504376006312668
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.13929179654859242,0.22346339128857434,0.004486897960305214,0.0098341703414917,0.9026764035224915,0.021848814096301794
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.21404850341397846,0.3376235335700753,0.21074752509593964,0.21073193848133087,0.8497461676597595,0.017702081007882953
qsar-biodeg,RealTabPFN-v2.5,702,352,0.1810490958930161,0.30964961503769334,0.014722000807523727,0.032304562628269196,0.8835227489471436,0.008628117851912975
seismic-bumps,RealTabPFN-v2.5,1722,862,0.10832413479252262,0.20168213550553607,0.007323011755943298,0.01122585590928793,0.9338747262954712,0.013306529028341174
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.0429581551719768,0.07830235463844083,0.004131324589252472,0.005873622372746468,0.9709634780883789,0.025799456983804703
APSFailure,TabICL_GPU,50666,25334,0.008672248066523372,0.016228665318931603,0.0007686630124226213,0.0012807975290343165,0.9945132732391357,0.1381529439240694
Amazon_employee_access,TabICL_GPU,21846,10923,0.08086938047631291,0.1556973462485253,0.0030904696322977543,0.005883682053536177,0.9479996562004089,0.044847533106803894
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.19964659779322408,0.3264693693727619,0.00738140195608139,0.013700267300009727,0.8647270798683167,0.03521042293868959
Diabetes130US,TabICL_GPU,47678,23840,0.1561865607297069,0.2857733293585436,0.005604070611298084,0.005231393966823816,0.9119966626167297,0.12367514008656144
E-CommereShippingData,TabICL_GPU,7332,3667,0.3557055982729815,0.4969802077373594,0.015729494392871857,0.010404846630990505,0.6853013634681702,0.020013727014884353
Fitness_Club,TabICL_GPU,1000,500,0.31363929846736605,0.477228551538385,0.02184436097741127,0.07242295891046524,0.7799999713897705,0.0062102461233735085
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09787574156794224,0.17630468543256483,0.002012087032198906,0.003975958563387394,0.9373800158500671,0.1986531000584364
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26894516059962403,0.4236497434246254,0.010090943425893784,0.014372093603014946,0.8033197522163391,0.027834197971969843
Is-this-a-good-customer,TabICL_GPU,1148,575,0.18723856644951156,0.31965374093176496,0.015109725296497345,0.022758781909942627,0.886956512928009,0.005979798035696149
Marketing_Campaign,TabICL_GPU,1493,747,0.14295042146745598,0.23022029855117448,0.016871921718120575,0.0416649654507637,0.904953122138977,0.006631994852796197
NATICUSdroid,TabICL_GPU,4994,2497,0.07891401908628372,0.13670692164174703,0.004898518789559603,0.008101020008325577,0.9467360973358154,0.013555193087086082
bank-marketing,TabICL_GPU,30140,15071,0.17212959489897256,0.29998229298101997,0.004407722037285566,0.008680898696184158,0.8939021825790405,0.07228348287753761
blood-transfusion-service-center,TabICL_GPU,498,250,0.3138309566477227,0.4968131420104534,0.050621069967746735,0.10261215269565582,0.7879999876022339,0.011933043133467436
churn,TabICL_GPU,3333,1667,0.0667531379904398,0.13542123910498546,0.007954005151987076,0.011412778869271278,0.9604079127311707,0.012472416972741485
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10568512819796841,0.20276670199617927,0.005843076854944229,0.00339848967269063,0.9404398202896118,0.023839436005800962
credit-g,TabICL_GPU,666,334,0.3332341459250043,0.5029782295116475,0.03250109404325485,0.07578268647193909,0.7634730339050293,0.005026709986850619
credit_card_clients_default,TabICL_GPU,20000,10000,0.263488754345493,0.4210143904353699,0.0052518052980303764,0.01210075058043003,0.8216000199317932,0.08787781512364745
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05710018405027359,0.09136785416983323,0.0016214778879657388,0.003434832440689206,0.9597172737121582,0.1642895038239658
diabetes,TabICL_GPU,512,256,0.3100481493757347,0.46764715823614333,0.01963571086525917,0.06721088290214539,0.76171875,0.012255045818164945
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06629525342087421,0.11929565302183753,0.007078475784510374,0.020834559574723244,0.9587500095367432,0.006794726010411978
heloc,TabICL_GPU,6972,3487,0.36510977197773853,0.5452396322279368,0.011044241487979889,0.01683102361857891,0.7310008406639099,0.037121713161468506
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.3072760940639922,0.47148465932138395,0.009386435151100159,0.025138990953564644,0.7781456708908081,0.019894881872460246
jm1,TabICL_GPU,7256,3629,0.25591353089418395,0.4078078643260806,0.007804561406373978,0.014033075422048569,0.8241940140724182,0.030075649032369256
kddcup09_appetency,TabICL_GPU,33333,16667,0.03404924804892907,0.08008134295321033,0.005952389910817146,0.005008692387491465,0.9821803569793701,0.0801262219902128
online_shoppers_intention,TabICL_GPU,8220,4110,0.1411669901172278,0.22556421770663196,0.006153048016130924,0.009569451212882996,0.9002432823181152,0.0193977621383965
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04245333402481889,0.08118734611514149,0.005862084217369556,0.01149556040763855,0.9705584049224854,0.024718735832720995
qsar-biodeg,TabICL_GPU,702,352,0.17324029556522233,0.2971547908238245,0.030432038009166718,0.03960032761096954,0.8892045617103577,0.005503189051523805
seismic-bumps,TabICL_GPU,1722,862,0.11070596589395093,0.2044807919581578,0.01045338436961174,0.021075613796710968,0.9338747262954712,0.0197403309866786
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04423071470036357,0.08080745119529582,0.005521463230252266,0.007785656489431858,0.9722833037376404,0.02691533579491079
Amazon_employee_access,LimiX_GPU,21846,10923,0.0844392484241665,0.16211189483442298,0.008157601580023766,0.013167077675461769,0.9470841288566589,0.038580398075282574
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19672467951625125,0.32215047029667465,0.009395670145750046,0.016211722046136856,0.8677264451980591,0.03684318205341697
Bioresponse,LimiX_GPU,2500,1251,0.2746134280806393,0.42515748067511366,0.020548328757286072,0.03446248173713684,0.7977617979049683,0.020962957991287112
E-CommereShippingData,LimiX_GPU,7332,3667,0.3541589177789902,0.4948503549409004,0.010046439245343208,0.00523464335128665,0.6891191601753235,0.017841943074017763
Fitness_Club,LimiX_GPU,1000,500,0.31504241120600274,0.47968260467087054,0.017517102882266045,0.0420110747218132,0.7720000147819519,0.013345342827960849
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.26884822744721476,0.42331359578004374,0.011698998510837555,0.016856461763381958,0.8011274933815002,0.06129603204317391
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18812818357979702,0.3223334744224572,0.010476700961589813,0.024689750745892525,0.8852173686027527,0.006679104873910546
Marketing_Campaign,LimiX_GPU,1493,747,0.13255409179053101,0.21491572945139067,0.01640397496521473,0.02985418029129505,0.9076305031776428,0.007402495946735144
NATICUSdroid,LimiX_GPU,4994,2497,0.08479332674639502,0.1450842782019159,0.008993166498839855,0.011185315437614918,0.9435322284698486,0.01670479984022677
bank-marketing,LimiX_GPU,30140,15071,0.1717290238075403,0.2993998359796649,0.006043670699000359,0.00887095183134079,0.8943003416061401,0.06073351320810616
blood-transfusion-service-center,LimiX_GPU,498,250,0.303031786932745,0.481846855204947,0.049468930810689926,0.07204808294773102,0.7960000038146973,0.012030701851472259
churn,LimiX_GPU,3333,1667,0.06574627602214521,0.13465016027942564,0.007341975346207619,0.010737848468124866,0.9604079127311707,0.013728932943195105
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1048737370600769,0.19772808042285034,0.004632946103811264,0.005902449134737253,0.9404398202896118,0.0452886710409075
credit-g,LimiX_GPU,666,334,0.3114895256899612,0.4770974521915308,0.04094678908586502,0.052775319665670395,0.7994012236595154,0.00515546603128314
credit_card_clients_default,LimiX_GPU,20000,10000,0.2640456732668952,0.4215148129410651,0.007805103436112404,0.009922767989337444,0.8216000199317932,0.05715500679798424
diabetes,LimiX_GPU,512,256,0.3107494960387799,0.46948359494661196,0.027119599282741547,0.0500517338514328,0.75390625,0.012738364981487393
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.0725125328060075,0.13008276672239216,0.010281205177307129,0.02747226320207119,0.9549999833106995,0.00857526808977127
heloc,LimiX_GPU,6972,3487,0.36269201267447493,0.5426182333274829,0.016324494034051895,0.024732310324907303,0.7338686585426331,0.04198617092333734
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.3518786564776459,0.5301132772239139,0.015735268592834473,0.02646419033408165,0.745742678642273,0.030695495894178748
jm1,LimiX_GPU,7256,3629,0.26664569230397844,0.42207570176822445,0.013169260695576668,0.01836017519235611,0.8131716847419739,0.01761660515330732
online_shoppers_intention,LimiX_GPU,8220,4110,0.14271419542628433,0.22890847456719923,0.007364383898675442,0.01475003082305193,0.8987834453582764,0.04033096111379564
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.057944500258367365,0.09953393580540398,0.01638069376349449,0.02010868303477764,0.9573603868484497,0.011171279940754175
qsar-biodeg,LimiX_GPU,702,352,0.17081299391546156,0.2960984184428802,0.02700641006231308,0.051437802612781525,0.8920454382896423,0.01297090295702219
seismic-bumps,LimiX_GPU,1722,862,0.10873313576036292,0.20358856908270673,0.011127641424536705,0.011243005283176899,0.9338747262954712,0.02140966197475791
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04373344783585104,0.08016745856007156,0.005309028550982475,0.00791624654084444,0.9718433618545532,0.025179343996569514
APSFailure,TabM_GPU,50666,25334,0.008965536246953525,0.016942792291195587,0.0008393307216465473,0.0014506643638014793,0.9940396547317505,0.11394506599754095
Amazon_employee_access,TabM_GPU,21846,10923,0.09291740892001288,0.17596416103124232,0.018463648855686188,0.02725023590028286,0.9421404600143433,0.038234062027186155
Bank_Customer_Churn,TabM_GPU,6666,3334,0.1959566696307123,0.32068509029931663,0.0063127754256129265,0.01588439755141735,0.86652672290802,0.01443092804402113
Bioresponse,TabM_GPU,2500,1251,0.28367321255792066,0.4423708217509029,0.02151934802532196,0.035050954669713974,0.79536372423172,0.020452400902286172
Diabetes130US,TabM_GPU,47678,23840,0.15524415323816448,0.2833472245325699,0.007450487464666367,0.012157060205936432,0.9119966626167297,0.07835821504704654
E-CommereShippingData,TabM_GPU,7332,3667,0.3573947898549506,0.5005232305737244,0.01896190270781517,0.02683383785188198,0.6839378476142883,0.02382234507240355
Fitness_Club,TabM_GPU,1000,500,0.315043683350308,0.4809087985195361,0.022277796640992165,0.044428348541259766,0.7739999890327454,0.006090625887736678
GiveMeSomeCredit,TabM_GPU,100000,50000,0.0968744668826992,0.1751417268915222,0.0015940169105306268,0.0036370395682752132,0.9387199878692627,0.16241889004595578
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2707481726253905,0.4259052574594975,0.011527970433235168,0.023022936657071114,0.8022236227989197,0.06300518102943897
Is-this-a-good-customer,TabM_GPU,1148,575,0.19363061643727023,0.33047147362657786,0.018918946385383606,0.045072395354509354,0.8799999952316284,0.014240575954318047
Marketing_Campaign,TabM_GPU,1493,747,0.14359269352016488,0.22806458659086754,0.01882042922079563,0.038147296756505966,0.8955823183059692,0.017186251934617758
NATICUSdroid,TabM_GPU,4994,2497,0.08456276934398484,0.1431811098829646,0.008123930543661118,0.01685972698032856,0.9411293268203735,0.028303474886342883
bank-marketing,TabM_GPU,30140,15071,0.17196750486820678,0.2996506612333275,0.0043061585165560246,0.007212822325527668,0.8941676020622253,0.05138522409833968
blood-transfusion-service-center,TabM_GPU,498,250,0.3141162722924943,0.4971367358560115,0.055653370916843414,0.10768606513738632,0.7919999957084656,0.0047026199754327536
