dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
2dplanes,CatBoost,36691,4077,0.09470734334069399,0.15078689330598055,0.008685322478413582,0.009174622595310211,0.9261711835861206,0.8626191238872707
2dplanes,ExtraTrees,36691,4077,0.09472357851597844,0.1521006575738659,0.004856221377849579,0.004405708983540535,0.9251900911331177,0.8517825920134783
2dplanes,LightGBM,36691,4077,0.09429497462128235,0.1508427458134907,0.005038305651396513,0.005960864946246147,0.9278881549835205,0.8418476320803165
2dplanes,LinearModel,36691,4077,0.22526446838132488,0.34926641210748854,0.009729438461363316,0.026791159063577652,0.843021810054779,0.8613506138790399
2dplanes,NeuralNetFastAI,36691,4077,0.09413957728259396,0.1502255489751317,0.004717548377811909,0.004100786987692118,0.9305862188339233,0.8452495390083641
2dplanes,NeuralNetTorch,36691,4077,0.09428037164649233,0.1513745734589452,0.003080405294895172,0.005928369238972664,0.9315673112869263,0.8406433581840247
2dplanes,RandomForest,36691,4077,0.09419643468098718,0.15277622324443157,0.0038039609789848328,0.005127456039190292,0.9323031902313232,0.8342894150409847
2dplanes,XGBoost,36691,4077,0.09426779595129002,0.15053789347753424,0.0045178234577178955,0.006011784076690674,0.9271523356437683,0.8432537950575352
APSFailure,CatBoost,68400,7600,0.007796478123630507,0.015559352317654316,0.0011251682881265879,0.0014117680257186294,0.9952631592750549,1.3580393069423735
APSFailure,ExtraTrees,68400,7600,0.009371426888321557,0.018128012075035147,0.001151363248936832,0.0018366212025284767,0.9940789341926575,1.2776295219082385
APSFailure,LightGBM,68400,7600,0.00778016552613159,0.015313696376181489,0.0013142493553459644,0.0010963104432448745,0.9951315522193909,1.373175532091409
APSFailure,LinearModel,68400,7600,0.011760816396364568,0.022617800234566478,0.0016079809283837676,0.0021352109033614397,0.99289470911026,1.236709404969588
APSFailure,NeuralNetFastAI,68400,7600,0.009335411079345728,0.0175180829668956,0.0014452878385782242,0.001965793315321207,0.9939473867416382,1.2031755899079144
APSFailure,NeuralNetTorch,68400,7600,0.011274741643386136,0.021714603080545226,0.0014578952686861157,0.0030272696167230606,0.9931579232215881,1.2789205200970173
APSFailure,RandomForest,68400,7600,0.007895393584785354,0.01608966647137048,0.0011729535181075335,0.002395705319941044,0.9948683977127075,1.029732160968706
APSFailure,XGBoost,68400,7600,0.007700521234896955,0.015244456409660193,0.0010125929256901145,0.0016233695205301046,0.9952631592750549,1.2046956052072346
Amazon_employee_access,CatBoost,29492,3277,0.07228241905351408,0.13449823078931714,0.004208747763186693,0.010002541355788708,0.9527006149291992,0.5581620049197227
Amazon_employee_access,ExtraTrees,29492,3277,0.07896159272599093,0.1484526235735347,0.005892151966691017,0.009771892800927162,0.9490387439727783,0.48972735088318586
Amazon_employee_access,LightGBM,29492,3277,0.07923479592731643,0.15122353620626677,0.004174873232841492,0.011038947850465775,0.9487335681915283,0.5058346299920231
Amazon_employee_access,LinearModel,29492,3277,0.08332934407256322,0.15637851719018514,0.004114938899874687,0.006805913057178259,0.9462923407554626,0.507318738149479
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08332742904569693,0.1552365213478199,0.0038969595916569233,0.010586665011942387,0.9459871649742126,0.5334575821179897
Amazon_employee_access,NeuralNetTorch,29492,3277,0.0855908923972056,0.1611098574185587,0.007658615708351135,0.012203709222376347,0.9453768730163574,0.5355350768659264
Amazon_employee_access,RandomForest,29492,3277,0.07540521519005508,0.14274593788933632,0.0064993384294211864,0.013851575553417206,0.9511748552322388,0.534378819167614
Amazon_employee_access,XGBoost,29492,3277,0.075280013678333,0.14402686131091116,0.0044691720977425575,0.009395822882652283,0.951785147190094,0.5330770360305905
Australian,CatBoost,621,69,0.1908859958732624,0.3358118249661999,0.05575818195939064,0.08909586071968079,0.8840579986572266,0.04685320588760078
Australian,ExtraTrees,621,69,0.17650110577907285,0.3034007112066458,0.05602741986513138,0.10970640182495117,0.8695651888847351,0.04330474394373596
Australian,LightGBM,621,69,0.18445438180443735,0.3237427733670028,0.0686158537864685,0.09942857176065445,0.8550724387168884,0.04242692608386278
Australian,LinearModel,621,69,0.16465631483585957,0.2984632324037403,0.07593103498220444,0.13005037605762482,0.9130434989929199,0.043291685869917274
Australian,NeuralNetFastAI,621,69,0.15739022687648394,0.28514879668501253,0.07156707346439362,0.10331664979457855,0.8985507488250732,0.04619806515984237
Australian,NeuralNetTorch,621,69,0.17223604216044322,0.2911064651298002,0.061954569071531296,0.10757413506507874,0.8840579986572266,0.04500567400828004
Australian,RandomForest,621,69,0.16736244252994623,0.2920864455876519,0.04366227239370346,0.07075580209493637,0.8550724387168884,0.04176997812464833
Australian,XGBoost,621,69,0.15320588579329633,0.27082289250065195,0.04600747302174568,0.08604960888624191,0.8985507488250732,0.04577767010778189
Bioresponse,CatBoost,3375,376,0.28298720190433335,0.4434195048078017,0.023545462638139725,0.05254625156521797,0.813829779624939,0.11061684391461313
Bioresponse,ExtraTrees,3375,376,0.28743736066298,0.4454354430033524,0.02439916878938675,0.04788624122738838,0.8005319237709045,0.10016012494452298
Bioresponse,LightGBM,3375,376,0.2815863033862666,0.4398716229218105,0.032264649868011475,0.06107468903064728,0.8164893388748169,0.10636485600844026
Bioresponse,LinearModel,3375,376,0.37305547616726015,0.559199970600285,0.05205279216170311,0.08713655918836594,0.7340425252914429,0.09097874397411942
Bioresponse,NeuralNetFastAI,3375,376,0.2881066971814985,0.44607888143119845,0.023317590355873108,0.04460567608475685,0.7765957713127136,0.10801543993875384
Bioresponse,NeuralNetTorch,3375,376,0.29920164812565375,0.46230753125984453,0.03120575100183487,0.053513288497924805,0.7765957713127136,0.09871107898652554
Bioresponse,RandomForest,3375,376,0.28411772246946676,0.4407563255811262,0.028864020481705666,0.06603190302848816,0.8085106611251831,0.10473627992905676
Bioresponse,XGBoost,3375,376,0.2781163442528106,0.4377580140380248,0.029500756412744522,0.05177251622080803,0.8164893388748169,0.11252083699218929
Click_prediction_small,CatBoost,35953,3995,0.25355657722591585,0.41211170392224894,0.008575881831347942,0.012861895374953747,0.8362953662872314,0.668567355023697
Click_prediction_small,ExtraTrees,35953,3995,0.2603019033454063,0.4208959062044364,0.006808284670114517,0.008701277896761894,0.8340425491333008,0.6821572210174054
