dataset,model,cal_size,test_size,Platt-probs_brier,Platt-probs_logloss,Platt-probs_kuiper,Platt-probs_ece-15,Platt-probs_accuracy,Platt-probs_time
2dplanes,CatBoost,36691,4077,0.10102904812952371,0.17441914571941403,0.01465657725930214,0.018754607066512108,0.9264164566993713,0.06915720901452005
2dplanes,ExtraTrees,36691,4077,0.09956168562514044,0.17340878168324042,0.013895567506551743,0.014708620496094227,0.9256806373596191,0.08222774881869555
2dplanes,LightGBM,36691,4077,0.10053087619151019,0.17604057634091597,0.014004811644554138,0.013806186616420746,0.9298503994941711,0.09888553409837186
2dplanes,LinearModel,36691,4077,0.23776287137038157,0.38076912615577013,0.021853655576705933,0.04892101511359215,0.8403237462043762,0.0657349550165236
2dplanes,NeuralNetFastAI,36691,4077,0.0987362943663183,0.1738949764831622,0.012490779161453247,0.012606579810380936,0.9330390095710754,0.0665680761449039
2dplanes,NeuralNetTorch,36691,4077,0.09953132277365623,0.17722115740199665,0.014076120220124722,0.011053397320210934,0.9320578575134277,0.06010183203034103
2dplanes,RandomForest,36691,4077,0.10084060048147857,0.17671231140968532,0.014902742579579353,0.015519012697041035,0.9269070625305176,0.06402204092592001
2dplanes,XGBoost,36691,4077,0.10108612208804112,0.17642139228060336,0.014507215470075607,0.01691596210002899,0.9276428818702698,0.06431871186941862
APSFailure,CatBoost,68400,7600,0.00863982976863117,0.02184395653102528,0.003020324744284153,0.0012222952209413052,0.9952631592750549,0.11528314091265202
APSFailure,ExtraTrees,68400,7600,0.009422725349794036,0.020212088722129276,0.0023750532418489456,0.001907426631078124,0.9940789341926575,0.12030431698076427
APSFailure,LightGBM,68400,7600,0.008406229298998754,0.02079806604410196,0.003109893761575222,0.0016193223418667912,0.9950000047683716,0.1262287269346416
APSFailure,LinearModel,68400,7600,0.012563453219069562,0.02932356580462524,0.00425655348226428,0.0020664928015321493,0.9927631616592407,0.11440571001730859
APSFailure,NeuralNetFastAI,68400,7600,0.010158210269461423,0.0244978432913668,0.0037409495562314987,0.0021918267011642456,0.9936842322349548,0.12521813390776515
APSFailure,NeuralNetTorch,68400,7600,0.011739918981194206,0.02663529232360572,0.004339046310633421,0.0032073757611215115,0.9931579232215881,0.12342578009702265
APSFailure,RandomForest,68400,7600,0.00818827671076424,0.017673849188158782,0.002126037608832121,0.0027027586475014687,0.9948683977127075,0.1232679900713265
APSFailure,XGBoost,68400,7600,0.00843930267745932,0.02120038225380653,0.0031006201170384884,0.001473898533731699,0.9950000047683716,0.12281704600900412
Amazon_employee_access,CatBoost,29492,3277,0.0750925043943992,0.14646625237864636,0.015659406781196594,0.014769097790122032,0.9542264342308044,0.0722904670983553
Amazon_employee_access,ExtraTrees,29492,3277,0.08256045322823347,0.15749898482796681,0.012491378001868725,0.0207813810557127,0.9481232762336731,0.053326823050156236
Amazon_employee_access,LightGBM,29492,3277,0.0817595708491556,0.15865385619678907,0.012190490029752254,0.012569750659167767,0.9493439197540283,0.054018675815314054
Amazon_employee_access,LinearModel,29492,3277,0.087323866375984,0.16576912315599146,0.012370383366942406,0.01814999245107174,0.9465975165367126,0.051004257053136826
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.087647913596197,0.1693497165615107,0.016414325684309006,0.022114083170890808,0.9462923407554626,0.04080398194491863
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08800127674664722,0.1684492660805365,0.014973730780184269,0.021870175376534462,0.9462923407554626,0.05287684593349695
Amazon_employee_access,RandomForest,29492,3277,0.07937612170941884,0.15190890585874137,0.014110990799963474,0.02267196774482727,0.9502593874931335,0.05307117197662592
Amazon_employee_access,XGBoost,29492,3277,0.07876406896422927,0.1537229703958449,0.01394127868115902,0.015055028721690178,0.952090322971344,0.05283562885597348
Australian,CatBoost,621,69,0.18337569137036278,0.30653099321747096,0.050888244062662125,0.08181565254926682,0.8695651888847351,0.007967376848682761
Australian,ExtraTrees,621,69,0.17165010339806444,0.29402175753328924,0.058568887412548065,0.09322123974561691,0.8550724387168884,0.008493979927152395
Australian,LightGBM,621,69,0.17843572431055235,0.303453448006043,0.06421979516744614,0.09362141788005829,0.8695651888847351,0.01076662098057568
Australian,LinearModel,621,69,0.1663842523226551,0.2918883253101304,0.05481826514005661,0.11284031718969345,0.8840579986572266,0.009833281859755516
Australian,NeuralNetFastAI,621,69,0.15418143033351783,0.2742013346303643,0.05747266858816147,0.07463698834180832,0.8985507488250732,0.008294983999803662
Australian,NeuralNetTorch,621,69,0.16366070329425933,0.2849152400447042,0.040773481130599976,0.09614921361207962,0.8840579986572266,0.008345284964889288
Australian,RandomForest,621,69,0.17407504183260544,0.29099023562018955,0.05472720041871071,0.08432621508836746,0.8550724387168884,0.010731063084676862
Australian,XGBoost,621,69,0.15252199015513807,0.26584721505948206,0.05125436931848526,0.06065450236201286,0.8840579986572266,0.008465793915092945
Bioresponse,CatBoost,3375,376,0.2799903816303913,0.4429426484895715,0.02716410532593727,0.057850029319524765,0.8164893388748169,0.02122555091045797
Bioresponse,ExtraTrees,3375,376,0.28473341765312665,0.43805346114128096,0.023374997079372406,0.05349491909146309,0.7978723645210266,0.012736191041767597
Bioresponse,LightGBM,3375,376,0.2794302186133575,0.4406878180095915,0.02723146416246891,0.054271355271339417,0.8218085169792175,0.012977775884792209
Bioresponse,LinearModel,3375,376,0.3644968078855402,0.5495144992000937,0.032320283353328705,0.07164502143859863,0.7446808218955994,0.01405525696463883
Bioresponse,NeuralNetFastAI,3375,376,0.2897746479140079,0.448530436876852,0.022135475650429726,0.07118604332208633,0.7792553305625916,0.014123654924333096
Bioresponse,NeuralNetTorch,3375,376,0.2932363602795802,0.4549179610357569,0.0208544060587883,0.044150643050670624,0.789893627166748,0.013640155084431171
Bioresponse,RandomForest,3375,376,0.28127665783590344,0.4375162397462141,0.028321944177150726,0.0548865981400013,0.8164893388748169,0.013011649018153548
Bioresponse,XGBoost,3375,376,0.27819113555177594,0.4392681345041643,0.02602091245353222,0.05033045634627342,0.8164893388748169,0.013508878881111741
Click_prediction_small,CatBoost,35953,3995,0.2539038555971179,0.4135940666945818,0.009316962212324142,0.019278503954410553,0.8382978439331055,0.06680806400254369
Click_prediction_small,ExtraTrees,35953,3995,0.2603528366385594,0.42158647114206205,0.009000945836305618,0.01170057337731123,0.8342928886413574,0.05794727918691933
Click_prediction_small,LightGBM,35953,3995,0.2587148517866235,0.42077706089122224,0.00771036371588707,0.010080103762447834,0.837797224521637,0.06901912693865597
Click_prediction_small,LinearModel,35953,3995,0.2599449226768895,0.4232640956027536,0.00892002135515213,0.018758613616228104,0.8362953662872314,0.06785296299494803
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2587436119704992,0.421298933628102,0.012328989803791046,0.01641874946653843,0.8372966051101685,0.06219274899922311
Click_prediction_small,NeuralNetTorch,35953,3995,0.260508106745907,0.42133259304883414,0.010458394885063171,0.017064379528164864,0.8335419297218323,0.05936977104283869
