dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
2dplanes,CatBoost,36691,4077,0.09476006776094437,0.1548338234424591,0.007656421512365341,0.010028794407844543,0.9298503994941711,3.566903800005093
2dplanes,ExtraTrees,36691,4077,0.0944579616189003,0.15437670052051544,0.007372814696282148,0.008562451228499413,0.9278881549835205,3.4760782739613205
2dplanes,LightGBM,36691,4077,0.09482871741056442,0.15505985915660858,0.007410723716020584,0.01031420473009348,0.9288692474365234,3.505508832866326
2dplanes,LinearModel,36691,4077,0.23469145596027374,0.36882075667381287,0.0143863745033741,0.03073144517838955,0.8417954444885254,3.0994368160609156
2dplanes,NeuralNetFastAI,36691,4077,0.09457827359437943,0.15417148172855377,0.007684316951781511,0.009639040566980839,0.9291145205497742,3.2604452481027693
2dplanes,NeuralNetTorch,36691,4077,0.0951252207159996,0.15495066344738007,0.00808001309633255,0.012265656143426895,0.9286239743232727,3.2795829989481717
2dplanes,RandomForest,36691,4077,0.09480366110801697,0.15525302290916443,0.008196225389838219,0.011565586552023888,0.9288692474365234,3.325896251015365
2dplanes,XGBoost,36691,4077,0.09522954374551773,0.15482743084430695,0.009052393957972527,0.01264137215912342,0.9276428818702698,3.2802565980236977
APSFailure,CatBoost,68400,7600,0.008190012536942959,0.01926584728062153,0.002600880339741707,0.003153243102133274,0.9950000047683716,3.0124330820981413
APSFailure,ExtraTrees,68400,7600,0.0093619916588068,0.019032085314393044,0.002620122628286481,0.0032007303088903427,0.9940789341926575,3.1827700920403004
APSFailure,LightGBM,68400,7600,0.007904118858277798,0.019616978242993355,0.002151811495423317,0.003325042547658086,0.995394766330719,2.983174692140892
APSFailure,LinearModel,68400,7600,0.012057870626449585,0.024429485201835632,0.0038342494517564774,0.0039740558713674545,0.99289470911026,3.021944120991975
APSFailure,NeuralNetFastAI,68400,7600,0.009712891653180122,0.020609917119145393,0.0028051072731614113,0.003577477065846324,0.9943420886993408,2.970552708953619
APSFailure,NeuralNetTorch,68400,7600,0.010972742922604084,0.022328611463308334,0.0033487840555608273,0.004303722642362118,0.9932894706726074,3.0558189330622554
APSFailure,RandomForest,68400,7600,0.007975595071911812,0.016192888841032982,0.0015470825601369143,0.0028063212521374226,0.9950000047683716,3.15666295401752
APSFailure,XGBoost,68400,7600,0.007712477818131447,0.018630018457770348,0.0023462160024791956,0.002582147251814604,0.9952631592750549,3.063065196853131
Amazon_employee_access,CatBoost,29492,3277,0.07345827668905258,0.1413026601076126,0.015664000064134598,0.013538065366446972,0.952395498752594,1.3871562448330224
Amazon_employee_access,ExtraTrees,29492,3277,0.0808323472738266,0.15146654844284058,0.013510508462786674,0.012443680316209793,0.9484284520149231,1.3038403170648962
Amazon_employee_access,LightGBM,29492,3277,0.0799286738038063,0.15419694781303406,0.012226487509906292,0.012431157752871513,0.9493439197540283,1.3899676830042154
Amazon_employee_access,LinearModel,29492,3277,0.08483174443244934,0.16057336330413818,0.012972787022590637,0.011704946868121624,0.9462923407554626,1.3023904440924525
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08453784137964249,0.16024290025234222,0.0157313272356987,0.01353645883500576,0.9465975165367126,1.3248013861011714
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08647507429122925,0.16264402866363525,0.01616087555885315,0.017282672226428986,0.9465975165367126,1.3767166479956359
Amazon_employee_access,RandomForest,29492,3277,0.0765736773610115,0.14382924139499664,0.013867936097085476,0.011841065250337124,0.9514800310134888,1.3546049329452217
Amazon_employee_access,XGBoost,29492,3277,0.07578685879707336,0.14682088792324066,0.010267619043588638,0.010167061351239681,0.951785147190094,1.3963046679273248
Australian,CatBoost,621,69,0.18065252900123596,0.3010464012622833,0.05327916890382767,0.07659310102462769,0.8695651888847351,0.0022052249405533075
Australian,ExtraTrees,621,69,0.17688505351543427,0.29716259241104126,0.06338199973106384,0.09392942488193512,0.8405796885490417,0.0020417410414665937
Australian,LightGBM,621,69,0.1781477928161621,0.31387007236480713,0.05824564769864082,0.11420070379972458,0.8695651888847351,0.0020035929046571255
Australian,LinearModel,621,69,0.1653308868408203,0.28628861904144287,0.05553368851542473,0.12769292294979095,0.8985507488250732,0.0020295169670134783
Australian,NeuralNetFastAI,621,69,0.15094289183616638,0.269011914730072,0.056414805352687836,0.08714435994625092,0.8985507488250732,0.0020079880487173796
Australian,NeuralNetTorch,621,69,0.16418230533599854,0.28269708156585693,0.040705595165491104,0.08929808437824249,0.8840579986572266,0.001980374101549387
Australian,RandomForest,621,69,0.17110180854797363,0.28834283351898193,0.05222468078136444,0.08760976791381836,0.8550724387168884,0.001986169023439288
Australian,XGBoost,621,69,0.15066079795360565,0.2617832124233246,0.04125317558646202,0.07387900352478027,0.8985507488250732,0.001982772955670953
Bioresponse,CatBoost,3375,376,0.27967238426208496,0.44033119082450867,0.024478154256939888,0.057486891746520996,0.8191489577293396,0.0461147699970752
Bioresponse,ExtraTrees,3375,376,0.2848878502845764,0.4404204487800598,0.022471845149993896,0.06716092675924301,0.8005319237709045,0.04362807096913457
Bioresponse,LightGBM,3375,376,0.27898889780044556,0.4375755190849304,0.0305161215364933,0.06881970167160034,0.8164893388748169,0.04277905379422009
Bioresponse,LinearModel,3375,376,0.36069947481155396,0.5440927743911743,0.02780086174607277,0.05934279039502144,0.7420212626457214,0.0721491719596088
Bioresponse,NeuralNetFastAI,3375,376,0.28786593675613403,0.44569429755210876,0.0200026985257864,0.054272446781396866,0.7792553305625916,0.04270489304326475
Bioresponse,NeuralNetTorch,3375,376,0.2927902638912201,0.452850341796875,0.019930226728320122,0.06282791495323181,0.7845744490623474,0.043280959129333496
Bioresponse,RandomForest,3375,376,0.2820100486278534,0.4397745430469513,0.03025268204510212,0.06995629519224167,0.811170220375061,0.04295637784525752
Bioresponse,XGBoost,3375,376,0.2775586247444153,0.4364926815032959,0.028400689363479614,0.055587880313396454,0.813829779624939,0.04472224903292954
Click_prediction_small,CatBoost,35953,3995,0.25390899181365967,0.4125284254550934,0.013398051261901855,0.017506863921880722,0.8372966051101685,1.7182073211297393
Click_prediction_small,ExtraTrees,35953,3995,0.2624061703681946,0.4237813651561737,0.02293093502521515,0.022473102435469627,0.8337922692298889,1.6909580421634018
