dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
hiva_agnostic,NeuralNetFastAI,3806,423,0.062034664160584056,0.13668184822009352,0.011651815846562386,0.010109376162290573,0.9669030904769897,0.7002840389031917
hiva_agnostic,NeuralNetTorch,3806,423,0.06237896357336241,0.14384762581581542,0.016003768891096115,0.016317807137966156,0.9669030904769897,1.0134307150729
hiva_agnostic,RandomForest,3806,423,0.06824003104646632,0.14153627621509524,0.01518834289163351,0.01674003340303898,0.957446813583374,0.7833876071963459
hiva_agnostic,XGBoost,3806,423,0.062175186508816774,0.13510751364689239,0.011498302221298218,0.01896802708506584,0.9669030904769897,0.6840538529213518
houses,CatBoost,18576,2064,0.017041652192930083,0.0307089862031896,0.003707064315676689,0.006959805730730295,0.9888566136360168,4.280978180002421
houses,ExtraTrees,18576,2064,0.015521530904302258,0.0285980067557512,0.0037602130323648453,0.007977765053510666,0.9903100728988647,4.111479544080794
houses,LightGBM,18576,2064,0.018548986109797022,0.03275756219278686,0.005424114875495434,0.006397228688001633,0.9864341020584106,5.677269954001531
houses,LinearModel,18576,2064,0.04257821615726653,0.07196362541704154,0.005129897966980934,0.008916434831917286,0.9685077667236328,6.582633926998824
houses,NeuralNetFastAI,18576,2064,0.017915879239675133,0.03220999421818126,0.0053433701395988464,0.00821648072451353,0.9869186282157898,4.287155912956223
houses,NeuralNetTorch,18576,2064,0.01926820994180353,0.033010429546354254,0.004682799801230431,0.008490894921123981,0.9859496355056763,4.754787323065102
houses,RandomForest,18576,2064,0.018871166508696552,0.03277299110850956,0.0038625793531537056,0.006797208916395903,0.9874030947685242,4.650573992868885
houses,XGBoost,18576,2064,0.018507472937955367,0.032758650048874856,0.004726930987089872,0.007144407834857702,0.9888566136360168,4.586563182063401
ilpd,CatBoost,524,59,0.3617739038488883,0.528435704079815,0.045285992324352264,0.13325829803943634,0.7288135886192322,0.520008587045595
ilpd,ExtraTrees,524,59,0.351935512998862,0.5093407923437531,0.04544781148433685,0.09679218381643295,0.7288135886192322,0.4538307359907776
ilpd,LightGBM,524,59,0.35161349706334816,0.517177512568374,0.06161797046661377,0.15162649750709534,0.7627118825912476,0.5923002399504185
ilpd,LinearModel,524,59,0.37301249126578306,0.5359728940033961,0.07624617964029312,0.14505675435066223,0.6440678238868713,0.38321674591861665
ilpd,NeuralNetFastAI,524,59,0.36482954600649964,0.5141011825375104,0.06819260865449905,0.13261668384075165,0.6440678238868713,0.4826800529845059
ilpd,NeuralNetTorch,524,59,0.37056524904222377,0.542507376238728,0.08785958588123322,0.15986168384552002,0.6610169410705566,0.4008187490981072
ilpd,RandomForest,524,59,0.3907189008093807,0.5577261158547336,0.08069968968629837,0.11629588901996613,0.6610169410705566,0.4900150259491056
ilpd,XGBoost,524,59,0.36952402686902164,0.527513403434933,0.06992040574550629,0.08291799575090408,0.694915235042572,0.4512135551776737
jasmine,CatBoost,2685,299,0.26630188866913107,0.40549937671794295,0.02980087511241436,0.060541462153196335,0.8060200810432434,0.8055955008603632
jasmine,ExtraTrees,2685,299,0.274393271993477,0.4145389465551055,0.02258930914103985,0.05376849323511124,0.8193979859352112,0.8079005139879882
jasmine,LightGBM,2685,299,0.26226518089018264,0.40076368156608405,0.02363346330821514,0.04538077116012573,0.8227424621582031,0.8219024538993835
jasmine,LinearModel,2685,299,0.28815155278281246,0.43945808900238786,0.02550812065601349,0.04485016688704491,0.7993311285972595,0.6992581929080188
jasmine,NeuralNetFastAI,2685,299,0.280456871784783,0.4272387417889422,0.02763073891401291,0.06081689894199371,0.8060200810432434,0.7672308729961514
jasmine,NeuralNetTorch,2685,299,0.2817083248020674,0.42605318805836734,0.03213849663734436,0.0534035749733448,0.8060200810432434,0.7361801699735224
jasmine,RandomForest,2685,299,0.2643445796445053,0.4008716748489131,0.03756628930568695,0.088893361389637,0.8060200810432434,0.7563280931208283
jasmine,XGBoost,2685,299,0.2571423775034251,0.3951186006084821,0.023797769099473953,0.041820723563432693,0.8227424621582031,0.7964429259300232
jm1,CatBoost,9796,1089,0.26578211509774036,0.4198088827659364,0.011673612520098686,0.02217089757323265,0.8163452744483948,1.518847477156669
jm1,ExtraTrees,9796,1089,0.26494069005728077,0.4172869283408713,0.01378709077835083,0.03116503544151783,0.8255280256271362,1.6553666268009692
jm1,LightGBM,9796,1089,0.2643739843884329,0.41837138857255246,0.011241786181926727,0.02905656397342682,0.8218548893928528,1.3918895330280066
jm1,LinearModel,9796,1089,0.28085662457185795,0.44342238889459634,0.016496889293193817,0.029621295630931854,0.8172635436058044,1.1492470859084278
jm1,NeuralNetFastAI,9796,1089,0.2713578563974249,0.4321440485795997,0.018916569650173187,0.04156786575913429,0.8227731585502625,1.538058599224314
jm1,NeuralNetTorch,9796,1089,0.27645396562016694,0.43664348426069194,0.01762942224740982,0.029122570529580116,0.8145087361335754,1.287372849183157
jm1,RandomForest,9796,1089,0.26327086255984533,0.41619631617557207,0.012094628065824509,0.022716064006090164,0.8200183510780334,1.6207715838681906
jm1,XGBoost,9796,1089,0.26528332534933174,0.4196028380097831,0.010534738190472126,0.02379648946225643,0.8163452744483948,1.1595684259664267
kc1,CatBoost,1898,211,0.18827989247321847,0.31486884318910413,0.03237360715866089,0.06981878727674484,0.8720378875732422,0.5680889249779284
kc1,ExtraTrees,1898,211,0.1889825260760437,0.3158205266766452,0.028046969324350357,0.030521675944328308,0.8767772316932678,0.6182474209927022
kc1,LightGBM,1898,211,0.19119995523432998,0.3180287473959276,0.0197930708527565,0.04508066922426224,0.8815165758132935,0.5747732119634748
kc1,LinearModel,1898,211,0.21263346009177128,0.34330935634215887,0.021430935710668564,0.052363358438014984,0.8578199148178101,0.699490939034149
kc1,NeuralNetFastAI,1898,211,0.19842194268417163,0.32695296841020294,0.025778930634260178,0.05351882427930832,0.8720378875732422,0.7507882339414209
kc1,NeuralNetTorch,1898,211,0.20949569897923614,0.33734313850468384,0.01734301820397377,0.02801666595041752,0.8483412265777588,0.5194828230887651
kc1,RandomForest,1898,211,0.18454970031164003,0.30805863398763117,0.025770768523216248,0.03861350938677788,0.8862559199333191,0.6322135159280151
kc1,XGBoost,1898,211,0.198601633293579,0.32798392358942857,0.019273463636636734,0.0330796018242836,0.8767772316932678,0.604297811165452
kc2,CatBoost,469,53,0.2609248679693863,0.3862097340917246,0.07886632531881332,0.17860275506973267,0.7547169923782349,0.4415927520021796
kc2,ExtraTrees,469,53,0.2560680129800059,0.38443126388321597,0.06933469325304031,0.13613386452198029,0.7735849022865295,0.4201112629380077
kc2,LightGBM,469,53,0.21133306294021012,0.32439499687790524,0.07002606987953186,0.152268186211586,0.8113207817077637,0.41499527683481574
kc2,LinearModel,469,53,0.2643407952642888,0.3952351248064856,0.07207041233778,0.13201968371868134,0.7735849022865295,0.44675519596785307
kc2,NeuralNetFastAI,469,53,0.25060680907194743,0.3757641313518146,0.05949023738503456,0.1017620712518692,0.7547169923782349,0.44536969787441194
kc2,NeuralNetTorch,469,53,0.26508968030593744,0.40640073017305217,0.053543802350759506,0.09748300164937973,0.7735849022865295,0.5435234699398279
kc2,RandomForest,469,53,0.23829632778462698,0.34445110260887574,0.06539449095726013,0.12479338049888611,0.7924528121948242,0.5990566059481353
kc2,XGBoost,469,53,0.2353912703468836,0.35991335835366484,0.07061105966567993,0.15114638209342957,0.7924528121948242,0.4315840769559145
kdd_el_nino-small,CatBoost,703,79,0.1060495643519324,0.15377019274500278,0.042208366096019745,0.0648474246263504,0.9113923907279968,0.6955964430235326
kdd_el_nino-small,ExtraTrees,703,79,0.12871970292201418,0.20539891202505614,0.03850105404853821,0.08178061991930008,0.8987341523170471,0.4818133721128106
kdd_el_nino-small,LightGBM,703,79,0.11281723473136293,0.1731581055345484,0.044008754193782806,0.07149814814329147,0.9367088675498962,0.5422058950643986
kdd_el_nino-small,LinearModel,703,79,0.11077975151985452,0.171697342344671,0.0339711457490921,0.06600885838270187,0.9113923907279968,0.5807710390072316
kdd_el_nino-small,NeuralNetFastAI,703,79,0.10350661519860926,0.18483091278251504,0.0207209549844265,0.05916331708431244,0.949367105960846,0.6388271278701723
