dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
mc1,CatBoost,8519,947,0.008061586202503458,0.015973967126810464,0.0023176148533821106,0.003937276545912027,0.9947201609611511,0.00870777782984078
mc1,ExtraTrees,8519,947,0.008472865740672717,0.018867783949935452,0.0028400311712175608,0.004162128083407879,0.9947201609611511,0.0067668219562619925
mc1,LightGBM,8519,947,0.0066967464838967655,0.013784126207584351,0.0015104198828339577,0.004320903215557337,0.9968320727348328,0.007436005864292383
mc1,LinearModel,8519,947,0.010718654913591037,0.028243476381769664,0.004055454861372709,0.0017329957336187363,0.9947201609611511,0.009402855997905135
mc1,NeuralNetFastAI,8519,947,0.010315806492450398,0.025804752155808665,0.002746426500380039,0.0019316866528242826,0.9947201609611511,0.006876580184325576
mc1,NeuralNetTorch,8519,947,0.011962846812492893,0.029777316514365125,0.004450025502592325,0.00418773153796792,0.9926082491874695,0.008930203970521688
mc1,RandomForest,8519,947,0.010181226569583203,0.021702502154022894,0.0026409754063934088,0.0029140375554561615,0.9947201609611511,0.01037489902228117
mc1,XGBoost,8519,947,0.007579199526210397,0.014602830917625393,0.0013641932746395469,0.0022760401479899883,0.9947201609611511,0.008301320020109415
meta,CatBoost,475,53,0.09934554551446285,0.15213871522734848,0.04874805361032486,0.08575721085071564,0.9245283007621765,0.0037745479494333267
meta,ExtraTrees,475,53,0.13190962184056373,0.21815503549550996,0.06426665186882019,0.12667272984981537,0.9056603908538818,0.00583233404904604
meta,LightGBM,475,53,0.10682809801077531,0.16266205705981682,0.0510590635240078,0.0703173354268074,0.9245283007621765,0.0034579839557409286
meta,LinearModel,475,53,0.09256609532006928,0.1541773074362737,0.047495145350694656,0.07503493875265121,0.9433962106704712,0.003382090013474226
meta,NeuralNetFastAI,475,53,0.10864685069639655,0.1808816293705152,0.06839475780725479,0.10344298183917999,0.9245283007621765,0.0032559449318796396
meta,NeuralNetTorch,475,53,0.07623339168711159,0.13249438765499782,0.05151873826980591,0.06530219316482544,0.9622641801834106,0.003638757858425379
meta,RandomForest,475,53,0.12596897377644736,0.20733279266566815,0.07750953733921051,0.09308753907680511,0.9056603908538818,0.00411477405577898
meta,XGBoost,475,53,0.09957579924477465,0.15871720282417862,0.05737745016813278,0.08134802430868149,0.9433962106704712,0.0035634988453239202
mozilla4,CatBoost,13990,1555,0.06803947854673334,0.12108700209162666,0.008659154176712036,0.012840443290770054,0.9569131731987,0.007988950004801154
mozilla4,ExtraTrees,13990,1555,0.06917952508409382,0.125737584505206,0.008463878184556961,0.015102935023605824,0.9543408155441284,0.011722401017323136
mozilla4,LightGBM,13990,1555,0.06561594283120052,0.11724883449318059,0.006603464484214783,0.01834222860634327,0.9549839496612549,0.012934213038533926
mozilla4,LinearModel,13990,1555,0.11467130595933295,0.20193067607111032,0.014101045206189156,0.01820375770330429,0.9337620735168457,0.01205926900729537
mozilla4,NeuralNetFastAI,13990,1555,0.11506668030965897,0.20689991209779768,0.010292483493685722,0.01606553979218006,0.9266880750656128,0.013161806855350733
mozilla4,NeuralNetTorch,13990,1555,0.09148218956346103,0.15994084001827444,0.012390993535518646,0.02249673195183277,0.9382636547088623,0.014046457130461931
mozilla4,RandomForest,13990,1555,0.06839742014253879,0.12181930422975519,0.009563744068145752,0.014166866429150105,0.9543408155441284,0.013732368126511574
mozilla4,XGBoost,13990,1555,0.06740033243041484,0.11998385434945359,0.008420005440711975,0.016351886093616486,0.9536977410316467,0.01156471180729568
no2,CatBoost,450,50,0.43846688768441966,0.6260945731944433,0.07365906238555908,0.1312219202518463,0.6200000047683716,0.0034052340779453516
no2,ExtraTrees,450,50,0.4322648017489818,0.6190312224328407,0.08196024596691132,0.2036471664905548,0.6399999856948853,0.003419961081817746
no2,LightGBM,450,50,0.4280927216015629,0.6151345760325466,0.05141866207122803,0.12390294671058655,0.6399999856948853,0.0033554360270500183
no2,LinearModel,450,50,0.47348094475575125,0.6658308228159936,0.12761184573173523,0.13580329716205597,0.5400000214576721,0.004843829898163676
no2,NeuralNetFastAI,450,50,0.4304806861257,0.618389319576175,0.06983135640621185,0.12032201886177063,0.6200000047683716,0.003146279836073518
no2,NeuralNetTorch,450,50,0.44534300437702584,0.6367580901363344,0.05305107310414314,0.07567697763442993,0.6399999856948853,0.0029774170834571123
no2,RandomForest,450,50,0.4269707945321157,0.6122577184559347,0.06611417233943939,0.12842006981372833,0.5600000023841858,0.002988677006214857
no2,XGBoost,450,50,0.4271086464708614,0.613582831868452,0.05366379767656326,0.12358395010232925,0.6200000047683716,0.0032284329645335674
nomao,CatBoost,31018,3447,0.037837441900575204,0.0671409699379029,0.0019170314772054553,0.006037453189492226,0.9744705557823181,0.021895076846703887
nomao,ExtraTrees,31018,3447,0.051052385505641826,0.10237960569679332,0.006564062554389238,0.011680112220346928,0.9654772281646729,0.023335339967161417
nomao,LightGBM,31018,3447,0.03783507840965614,0.06735248878396863,0.0025819558650255203,0.005307090003043413,0.9756309986114502,0.024192115990445018
nomao,LinearModel,31018,3447,0.0731675155806698,0.12512011343027032,0.004223348572850227,0.007271094713360071,0.9503916501998901,0.022637300193309784
nomao,NeuralNetFastAI,31018,3447,0.05267524552863035,0.09229116048532911,0.004759293980896473,0.009196927770972252,0.9675079584121704,0.023031943943351507
nomao,NeuralNetTorch,31018,3447,0.05211656788728975,0.09227284178673818,0.004317922051995993,0.010507830418646336,0.965187132358551,0.018386088078841567
nomao,RandomForest,31018,3447,0.04730820616867779,0.10127465493395821,0.00524437939748168,0.007983433082699776,0.9704090356826782,0.023162329802289605
nomao,XGBoost,31018,3447,0.03795963852441555,0.06738083492094694,0.0036726496182382107,0.006384922657161951,0.9753409028053284,0.022878115996718407
numerai28_6,CatBoost,86688,9632,0.4991092704218821,0.692256080249359,0.007921159267425537,0.002827814081683755,0.5154692530632019,0.04450504295527935
numerai28_6,ExtraTrees,86688,9632,0.49903042257268526,0.6921755387995407,0.005055859684944153,0.00534438993781805,0.5158845782279968,0.044304383918643
numerai28_6,LightGBM,86688,9632,0.49907706707272714,0.6922214843078771,0.008038163185119629,0.002733511384576559,0.5126661062240601,0.04465223313309252
numerai28_6,LinearModel,86688,9632,0.4990870579034201,0.6922333888021389,0.005534529685974121,0.0011592311784625053,0.5193106532096863,0.04465232812799513
numerai28_6,NeuralNetFastAI,86688,9632,0.49889550859192927,0.6920423662175607,0.005526065826416016,0.0010532262967899442,0.5204526782035828,0.04032056103460491
numerai28_6,NeuralNetTorch,86688,9632,0.4987864745195718,0.6919324172518436,0.004425838589668274,0.002811109647154808,0.523982584476471,0.044665670953691006
numerai28_6,RandomForest,86688,9632,0.49922181802940346,0.6923671502257095,0.007149249315261841,0.002446825848892331,0.5127699375152588,0.040784123819321394
numerai28_6,XGBoost,86688,9632,0.4991436290431668,0.6922905335741922,0.0075601935386657715,0.004273752216249704,0.5138081312179565,0.048152592964470387
ozone-level-8hr,CatBoost,2280,254,0.0831854305486734,0.13688623240170386,0.017000705003738403,0.03765386343002319,0.9330708384513855,0.005007251864299178
ozone-level-8hr,ExtraTrees,2280,254,0.08332162340880622,0.14408636473669975,0.02239149808883667,0.037757303565740585,0.9448819160461426,0.006129015935584903
ozone-level-8hr,LightGBM,2280,254,0.08238235404953942,0.13340850357238865,0.020289868116378784,0.046420663595199585,0.9291338324546814,0.004930983064696193
