dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
2dplanes,CatBoost,36691,4077,0.10974757402196873,0.17367049266854884,0.019046347588300705,0.00910857878625393,0.9259259104728699,0.05524718784727156
2dplanes,ExtraTrees,36691,4077,0.1082108696828946,0.1716194937645857,0.009149426594376564,0.012071352452039719,0.9249448180198669,0.05018392717465758
2dplanes,LightGBM,36691,4077,0.1068108542554437,0.17086532050258096,0.021084755659103394,0.007911981083452702,0.9286239743232727,0.05212043598294258
2dplanes,LinearModel,36691,4077,0.2354559915292832,0.37078683016764763,0.02871878445148468,0.02065710723400116,0.8408143520355225,0.04598632990382612
2dplanes,NeuralNetFastAI,36691,4077,0.10209368377973566,0.1623234817272758,0.030736546963453293,0.009176179766654968,0.9330390095710754,0.05312321288511157
2dplanes,NeuralNetTorch,36691,4077,0.10470328830160526,0.16862797780904132,0.025512035936117172,0.00664148386567831,0.9320578575134277,0.05235619586892426
2dplanes,RandomForest,36691,4077,0.10745874686466024,0.1733267408078817,0.0191341582685709,0.006167236715555191,0.927397608757019,0.05050904396921396
2dplanes,XGBoost,36691,4077,0.10850756013955795,0.17276828161041635,0.019039291888475418,0.008184093981981277,0.9276428818702698,0.051787059055641294
APSFailure,CatBoost,68400,7600,0.029626028072368506,0.04884802396631827,0.012944485992193222,0.00046984219807200134,0.9819737076759338,0.11141234985552728
APSFailure,ExtraTrees,68400,7600,0.02935941884271396,0.05083756876330528,0.010920055210590363,0.0009038604912348092,0.9819737076759338,0.08391383802518249
APSFailure,LightGBM,68400,7600,0.029876877562166,0.0496454291206579,0.01374068483710289,0.0005253879935480654,0.9819737076759338,0.11577536701224744
APSFailure,LinearModel,68400,7600,0.02999640539792419,0.050233620998432385,0.01103601511567831,0.0005695956642739475,0.9819737076759338,0.1056367561686784
APSFailure,NeuralNetFastAI,68400,7600,0.029815811091047483,0.049428354334091755,0.009654020890593529,0.0002965248131658882,0.9819737076759338,0.11827594693750143
APSFailure,NeuralNetTorch,68400,7600,0.030094418869333756,0.05042361950103196,0.01120330486446619,0.0011137337423861027,0.9819737076759338,0.11742969881743193
APSFailure,RandomForest,68400,7600,0.028793377935728677,0.05253588339468783,0.01279478520154953,0.0024027058389037848,0.9819737076759338,0.07564055803231895
APSFailure,XGBoost,68400,7600,0.029216178537668676,0.04762142574032194,0.011111890897154808,0.0020654313266277313,0.9819737076759338,0.10793748800642788
Amazon_employee_access,CatBoost,29492,3277,0.08350652190091136,0.14757678083680273,0.021810082718729973,0.0016223550774157047,0.9423252940177917,0.045352958142757416
Amazon_employee_access,ExtraTrees,29492,3277,0.08611726133617235,0.15690860428269726,0.02224564552307129,0.012681717053055763,0.9423252940177917,0.04795640101656318
Amazon_employee_access,LightGBM,29492,3277,0.08693800093091876,0.16047604114233782,0.01973201520740986,0.0030126534402370453,0.9423252940177917,0.046639390056952834
Amazon_employee_access,LinearModel,29492,3277,0.08853662706954707,0.16185234683923977,0.02233251929283142,0.003527980297803879,0.9423252940177917,0.045756503008306026
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.08741591121129887,0.15948438596608513,0.020352531224489212,0.007316388189792633,0.9423252940177917,0.04686667607165873
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08994767198210303,0.16567135965764912,0.022025734186172485,0.014862820506095886,0.9423252940177917,0.044573735911399126
Amazon_employee_access,RandomForest,29492,3277,0.08509793860298982,0.15361558075288007,0.024414848536252975,0.021502846851944923,0.9423252940177917,0.04555615899153054
Amazon_employee_access,XGBoost,29492,3277,0.08507209066708327,0.15478310197153447,0.02021951973438263,0.0014266561483964324,0.9423252940177917,0.04477375186979771
Australian,CatBoost,621,69,0.17543499553850972,0.2924300450782513,0.0595880001783371,0.052928321063518524,0.8695651888847351,0.0033558979630470276
Australian,ExtraTrees,621,69,0.18627976486298034,0.3133999715792506,0.06505414098501205,0.08257708698511124,0.8405796885490417,0.003220601938664913
Australian,LightGBM,621,69,0.18070617852717774,0.3240236661163127,0.06120291352272034,0.0653114914894104,0.8840579986572266,0.0031070860568434
Australian,LinearModel,621,69,0.18725841561613438,0.30967099291739636,0.06466978788375854,0.059398505836725235,0.8695651888847351,0.0032375568989664316
Australian,NeuralNetFastAI,621,69,0.15537286263939032,0.2820684019801434,0.06096145883202553,0.06667586416006088,0.9275362491607666,0.0031286198645830154
Australian,NeuralNetTorch,621,69,0.16312964031141244,0.2792773984772736,0.055261701345443726,0.07640648633241653,0.8985507488250732,0.0030441300477832556
Australian,RandomForest,621,69,0.16595142220275103,0.31318736232389366,0.059497494250535965,0.11357995122671127,0.8550724387168884,0.003238121047616005
Australian,XGBoost,621,69,0.16152200751579918,0.2788444635567199,0.053364917635917664,0.04578051716089249,0.8985507488250732,0.0029250988736748695
Bioresponse,CatBoost,3375,376,0.27913986853312206,0.4386186933714398,0.030795127153396606,0.02904965542256832,0.811170220375061,0.006591110024601221
Bioresponse,ExtraTrees,3375,376,0.28644480847982506,0.43519705616568033,0.027170713990926743,0.04531475529074669,0.7978723645210266,0.006499640876427293
Bioresponse,LightGBM,3375,376,0.27693795319922054,0.4328235362954849,0.03579504415392876,0.034334298223257065,0.813829779624939,0.006988900946453214
Bioresponse,LinearModel,3375,376,0.39544871079470745,0.5835105369679517,0.06429456174373627,0.12066856771707535,0.7367021441459656,0.008970072027295828
Bioresponse,NeuralNetFastAI,3375,376,0.2898254740881296,0.4461043739619996,0.03331374749541283,0.045172058045864105,0.7845744490623474,0.006930907955393195
Bioresponse,NeuralNetTorch,3375,376,0.292544654836839,0.4536640888692644,0.02632809430360794,0.04275510087609291,0.8005319237709045,0.006597476080060005
Bioresponse,RandomForest,3375,376,0.2818831120202289,0.43755548422834867,0.0326220728456974,0.07184405624866486,0.8191489577293396,0.007006356026977301
Bioresponse,XGBoost,3375,376,0.27739167589200975,0.43588814258887587,0.031217962503433228,0.02298763021826744,0.811170220375061,0.006638875929638743
Click_prediction_small,CatBoost,35953,3995,0.2573209502196999,0.4165647361632679,0.008646195754408836,0.005997114349156618,0.8315394520759583,0.05660056904889643
Click_prediction_small,ExtraTrees,35953,3995,0.2628842431163069,0.4244913875592493,0.010675586760044098,0.00633016275241971,0.8315394520759583,0.055888060946017504
Click_prediction_small,LightGBM,35953,3995,0.26206902570676605,0.42363239053201546,0.011257304809987545,0.008687952533364296,0.8315394520759583,0.05720258108340204
Click_prediction_small,LinearModel,35953,3995,0.2630120836789875,0.42564264085312115,0.011120207607746124,0.014001218602061272,0.8315394520759583,0.057434753980487585
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2621965667751218,0.42467687609518995,0.007414773106575012,0.009558023884892464,0.8315394520759583,0.05653372313827276
Click_prediction_small,NeuralNetTorch,35953,3995,0.26166638029170197,0.42112950349499306,0.010981738567352295,0.0067480397410690784,0.8315394520759583,0.057561465073376894
Click_prediction_small,RandomForest,35953,3995,0.26124289435663,0.4211436048142172,0.010857859626412392,0.005589382257312536,0.8315394520759583,0.05592943006195128
Click_prediction_small,XGBoost,35953,3995,0.26035096041630823,0.42020428562763135,0.010696861892938614,0.009432792663574219,0.8315394520759583,0.056008680956438184
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.40378190680909565,0.5940531066724632,0.08631429076194763,0.13074317574501038,0.7437499761581421,0.0042165901977568865
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.5049965406744361,0.698151760781222,0.07578974962234497,0.006552828475832939,0.4749999940395355,0.0039052809588611126
