dataset,model,cal_size,test_size,n_classes,LightGBM_brier,LightGBM_logloss,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
Diabetes130US,CatBoost,91589,10177,3,0.4927726619645808,0.8274969574418394,0.004237492103129625,0.6214011907577515,5.333581478800625
Diabetes130US,ExtraTrees,91589,10177,3,0.5056040401695251,0.8479437532313321,0.0054925354197621346,0.6107890605926514,4.834500247146934
Diabetes130US,LightGBM,91589,10177,3,0.49711121998653024,0.8351605899022869,0.010200653225183487,0.6192394495010376,4.839434908004478
Diabetes130US,LinearModel,91589,10177,3,0.5256379001937938,0.8777327195929276,0.007823774591088295,0.592905580997467,4.713614884996787
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032796143950227,0.8443655746124376,0.01622304879128933,0.6174707412719727,4.845976020907983
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5111264861378936,0.8563773528524931,0.008908752351999283,0.6069568395614624,4.8141538260970265
Diabetes130US,RandomForest,91589,10177,3,0.5047119082225853,0.8468602674516038,0.006182023324072361,0.607742965221405,4.822461717063561
Diabetes130US,XGBoost,91589,10177,3,0.49371796276310287,0.8277880200919977,0.008387475274503231,0.6214994788169861,5.103554795961827
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3823902552386222,0.7311476950411016,0.034583039581775665,0.7176113128662109,1.2211608039215207
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.39872131198767485,0.761139064233347,0.04318443313241005,0.7054656147956848,1.1484943719115108
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.38569265351586446,0.7394113427622704,0.03734687343239784,0.7155870199203491,1.174722005147487
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6240937935714621,1.2050840917356418,0.031412892043590546,0.5050607323646545,1.2122374628670514
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5029257814054577,0.9680018919193135,0.040086373686790466,0.6336032152175903,1.074796836124733
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49196967726229013,0.9501915292306458,0.04961082711815834,0.6467611193656921,1.1238816319964826
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4155851458552466,0.789789228628839,0.022681334987282753,0.6892712712287903,1.223457814892754
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38374768513139496,0.7356272149368956,0.04631776735186577,0.71659916639328,1.2305282258894295
Indian_pines,CatBoost,8229,915,8,0.0671757885740109,0.125484864118715,0.02683519758284092,0.9573770761489868,1.7956023670267314
Indian_pines,ExtraTrees,8229,915,8,0.10532526109934619,0.19797618773982992,0.04335194081068039,0.9333333373069763,1.3120705981273204
Indian_pines,LightGBM,8229,915,8,0.05951351394749285,0.11826859966817309,0.025842340663075447,0.9639344215393066,1.5075048240832984
Indian_pines,LinearModel,8229,915,8,0.11008139914080611,0.20398386436454477,0.014771977439522743,0.9289617538452148,1.616722903912887
Indian_pines,NeuralNetFastAI,8229,915,8,0.05566836083388027,0.10787872394632446,0.017695846036076546,0.9661202430725098,1.7330063451081514
Indian_pines,NeuralNetTorch,8229,915,8,0.04634567920623003,0.0882276832755866,0.017422739416360855,0.9726775884628296,1.5843104808591306
Indian_pines,RandomForest,8229,915,8,0.11057384033084663,0.19593844784496756,0.03146083652973175,0.9333333373069763,1.3079927009530365
Indian_pines,XGBoost,8229,915,8,0.06485961198003448,0.12308567906655778,0.023902010172605515,0.9617486596107483,1.8790317480452359
LED-display-domain-7digit,CatBoost,450,50,10,0.40942674641173804,0.8860126355480931,0.11354033648967743,0.7200000286102295,0.34015958406962454
LED-display-domain-7digit,ExtraTrees,450,50,10,0.39340521624703517,0.8792590551622319,0.19339406490325928,0.7200000286102295,0.4032303320709616
LED-display-domain-7digit,LightGBM,450,50,10,0.36859392889839077,0.8180382425519472,0.13572539389133453,0.7200000286102295,0.33019815804436803
