dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
Diabetes130US,CatBoost,91589,10177,3,0.4955936670303345,0.8352435231208801,0.012059866450726986,0.6209098696708679,8.695024380926043
Diabetes130US,ExtraTrees,91589,10177,3,0.5110448002815247,0.8586553335189819,0.013383758254349232,0.6051881909370422,8.582843706943095
Diabetes130US,LightGBM,91589,10177,3,0.5008951425552368,0.8433479070663452,0.01611749455332756,0.6157020926475525,8.671050849137828
Diabetes130US,LinearModel,91589,10177,3,0.5288532376289368,0.883146345615387,0.01804441586136818,0.5879925489425659,8.695955008035526
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5079593658447266,0.8539062738418579,0.024888845160603523,0.6158003211021423,8.55892872181721
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5145667195320129,0.8638147711753845,0.010983769781887531,0.6045985817909241,8.535693780053407
Diabetes130US,RandomForest,91589,10177,3,0.5094159841537476,0.85640549659729,0.020001376047730446,0.607448160648346,8.561334603931755
Diabetes130US,XGBoost,91589,10177,3,0.498013973236084,0.8367249369621277,0.009369375184178352,0.6176673173904419,8.173888958059251
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.4095093905925751,0.804591953754425,0.08060082048177719,0.7125505805015564,1.050733579089865
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.43954840302467346,0.8466138243675232,0.03283179923892021,0.6801619529724121,1.0289703379385173
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.4085844159126282,0.8012315034866333,0.0823899582028389,0.7054656147956848,1.0120970280840993
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6450015306472778,1.2503107786178589,0.04674854129552841,0.48178136348724365,1.018685147864744
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5126782655715942,0.9941558241844177,0.037059422582387924,0.6325910687446594,1.0270497759338468
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.5005887150764465,0.9722239375114441,0.04317000135779381,0.6305667757987976,1.01113556092605
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4459725618362427,0.857798159122467,0.03894679248332977,0.6680161952972412,1.039245555177331
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.41229963302612305,0.8121773600578308,0.07971581816673279,0.7095141410827637,1.0137859222013503
Indian_pines,CatBoost,8229,915,8,0.07453037053346634,0.14285387098789215,0.018045879900455475,0.9508196711540222,1.4329973999410868
Indian_pines,ExtraTrees,8229,915,8,0.11357152462005615,0.20922431349754333,0.02683454379439354,0.9267759323120117,1.4327166189905256
Indian_pines,LightGBM,8229,915,8,0.057004909962415695,0.11617705225944519,0.014218730852007866,0.9661202430725098,1.4346872849855572
Indian_pines,LinearModel,8229,915,8,0.1184084564447403,0.22587332129478455,0.019102320075035095,0.9234972596168518,1.4017784020397812
Indian_pines,NeuralNetFastAI,8229,915,8,0.05708608403801918,0.11478537321090698,0.015285463072359562,0.9683060050010681,1.3912401900161058
Indian_pines,NeuralNetTorch,8229,915,8,0.047746896743774414,0.09172340482473373,0.01476296316832304,0.9661202430725098,1.3940853078383952
Indian_pines,RandomForest,8229,915,8,0.11841001361608505,0.21463017165660858,0.02373267523944378,0.9202185869216919,1.392914233962074
Indian_pines,XGBoost,8229,915,8,0.06914593279361725,0.13349051773548126,0.01281823217868805,0.9584699273109436,1.3867770968936384
LED-display-domain-7digit,CatBoost,450,50,10,0.4112513065338135,0.7857121825218201,0.19185473024845123,0.7599999904632568,0.0066551510244607925
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3697591722011566,0.7331688404083252,0.14470070600509644,0.7799999713897705,0.006688626948744059
LED-display-domain-7digit,LightGBM,450,50,10,0.3626905679702759,0.6938081979751587,0.20283785462379456,0.7799999713897705,0.0066468371078372
LED-display-domain-7digit,LinearModel,450,50,10,0.3845278024673462,0.7223169207572937,0.16663898527622223,0.7599999904632568,0.00666086794808507
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.39382949471473694,0.7508479952812195,0.12407666444778442,0.7599999904632568,0.00654846103861928
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3846289813518524,0.7163521647453308,0.15181304514408112,0.7599999904632568,0.006585779832676053
LED-display-domain-7digit,RandomForest,450,50,10,0.3859894275665283,0.748857855796814,0.13679993152618408,0.7799999713897705,0.006765073165297508
LED-display-domain-7digit,XGBoost,450,50,10,0.398798406124115,0.7615922689437866,0.1561153680086136,0.699999988079071,0.006663352018222213
MiceProtein,CatBoost,972,108,8,0.0004628050955943763,0.0016877905000001192,0.0015524962218478322,1.0,0.02071846602484584
MiceProtein,ExtraTrees,972,108,8,0.00644453102722764,0.026093969121575356,0.023556580767035484,1.0,0.02094260905869305
MiceProtein,LightGBM,972,108,8,1.129290581047826e-07,2.3025246264296584e-05,2.3186206817626953e-05,1.0,0.02101922780275345
MiceProtein,LinearModel,972,108,8,3.139203545288183e-05,0.0016092471778392792,0.0016014575958251953,1.0,0.021044432884082198
MiceProtein,NeuralNetFastAI,972,108,8,9.887187957247079e-08,4.3396572436904535e-05,4.363059997558594e-05,1.0,0.020367879886180162
MiceProtein,NeuralNetTorch,972,108,8,5.811624248508451e-08,1.7664844563114457e-05,1.7821788787841797e-05,1.0,0.020575316855683923
MiceProtein,RandomForest,972,108,8,0.08057942986488342,0.2282038778066635,0.031241144984960556,0.9444444179534912,0.020514030940830708
MiceProtein,XGBoost,972,108,8,0.020968938246369362,0.029817402362823486,0.020258644595742226,0.9722222089767456,0.0202751278411597
Traffic_violations,CatBoost,63306,7034,3,0.2695316672325134,0.40745532512664795,0.012622649781405926,0.8001137375831604,6.615150818135589
Traffic_violations,ExtraTrees,63306,7034,3,0.2784262001514435,0.41928040981292725,0.015273221768438816,0.7922945618629456,6.688251937972382
Traffic_violations,LightGBM,63306,7034,3,0.2734221816062927,0.41289299726486206,0.016787314787507057,0.7955644130706787,6.615121934795752
Traffic_violations,LinearModel,63306,7034,3,0.276764839887619,0.4168357253074646,0.012252144515514374,0.7893090844154358,6.744448535144329
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27748239040374756,0.41705530881881714,0.018111906945705414,0.7922945618629456,6.736110297963023
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2927458882331848,0.44705361127853394,0.02250564470887184,0.7817742228507996,6.678499347995967
Traffic_violations,RandomForest,63306,7034,3,0.27491217851638794,0.4130806028842926,0.021818244829773903,0.7935740947723389,6.600061876932159
Traffic_violations,XGBoost,63306,7034,3,0.27445876598358154,0.41210678219795227,0.014084639959037304,0.7932897210121155,6.68226830707863
UMIST_Faces_Cropped,CatBoost,517,58,20,0.00900718942284584,0.022528769448399544,0.017003649845719337,1.0,0.01645850599743426
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.05413517355918884,0.13713595271110535,0.08091066777706146,0.9655172228813171,0.016383865848183632
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05708018317818642,0.23769330978393555,0.026769109070301056,0.9655172228813171,0.016330881044268608
UMIST_Faces_Cropped,LinearModel,517,58,20,0.06208827346563339,0.21759334206581116,0.0320296511054039,0.9655172228813171,0.016379943815991282
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.030613025650382042,0.3551753759384155,0.01231296919286251,0.982758641242981,0.016239396994933486
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.043588217347860336,0.4987803101539612,0.03101559728384018,0.982758641242981,0.01656368817202747
UMIST_Faces_Cropped,RandomForest,517,58,20,0.052942004054784775,0.14511272311210632,0.09593120217323303,0.982758641242981,0.016911331098526716
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08068408071994781,0.21699492633342743,0.05452389270067215,0.9137930870056152,0.01674678991548717
analcatdata_authorship,CatBoost,756,85,4,0.047264475375413895,0.15911881625652313,0.024364706128835678,0.9764705896377563,0.006236386951059103
analcatdata_authorship,ExtraTrees,756,85,4,0.02919839136302471,0.04817824810743332,0.01865616999566555,0.9764705896377563,0.0067125530913472176
analcatdata_authorship,LightGBM,756,85,4,0.023529574275016785,0.37347736954689026,0.011733710765838623,0.9882352948188782,0.008299611043184996
analcatdata_authorship,LinearModel,756,85,4,0.02352943643927574,0.2959863841533661,0.011752486228942871,0.9882352948188782,0.007774886908009648
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.023499950766563416,0.0867348238825798,0.011711835861206055,0.9882352948188782,0.0073472061194479465
analcatdata_authorship,NeuralNetTorch,756,85,4,0.023660149425268173,0.14179913699626923,0.012621525675058365,0.9882352948188782,0.007443598005920649
analcatdata_authorship,RandomForest,756,85,4,0.04291730374097824,0.07843802869319916,0.01806407794356346,0.9647058844566345,0.007507554022595286
analcatdata_authorship,XGBoost,756,85,4,0.01153350155800581,0.014579626731574535,0.00865157414227724,0.9882352948188782,0.006232067011296749
analcatdata_dmft,CatBoost,717,80,6,0.8288637399673462,1.7781394720077515,0.02447512000799179,0.20000000298023224,0.008783348836004734
