dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
Indian_pines,XGBoost,8229,915,8,0.06844740567136864,0.21386090107956438,0.021078456193208694,0.9584699273109436,0.027844873955473304
LED-display-domain-7digit,CatBoost,450,50,10,0.39629831558383094,0.7921658268390905,0.17044837772846222,0.7799999713897705,0.01374718314036727
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3650239150187599,0.7587746587670213,0.1489996612071991,0.7599999904632568,0.013614736031740904
LED-display-domain-7digit,LightGBM,450,50,10,0.32790752906404924,0.6663891049330296,0.09454573690891266,0.800000011920929,0.013894897885620594
LED-display-domain-7digit,LinearModel,450,50,10,0.35050900008932423,0.6914686892574187,0.19371600449085236,0.7400000095367432,0.013543601846322417
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3574740169343616,0.7136040105126165,0.14178232848644257,0.7599999904632568,0.013589760987088084
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.33781240438940124,0.7105994877705146,0.15462151169776917,0.7799999713897705,0.013886692933738232
LED-display-domain-7digit,RandomForest,450,50,10,0.3729568472596379,0.7557430914794777,0.10904482007026672,0.7599999904632568,0.013846991118043661
LED-display-domain-7digit,XGBoost,450,50,10,0.35558871605921966,0.7313721262467816,0.155287966132164,0.7799999713897705,0.01375955599360168
MiceProtein,CatBoost,972,108,8,0.015604781071624881,0.8086717393663194,0.007448243908584118,0.9907407164573669,0.013167296070605516
MiceProtein,ExtraTrees,972,108,8,0.016671566932777934,0.027522779788613436,0.008785247802734375,0.9907407164573669,0.013077494921162724
MiceProtein,LightGBM,972,108,8,0.0003323296139899796,0.0014254741868237094,0.0013212893391028047,1.0,0.012800568016245961
MiceProtein,LinearModel,972,108,8,1.5932073909813138e-05,0.001187407350141415,0.0011835694313049316,1.0,0.012696126010268927
MiceProtein,NeuralNetFastAI,972,108,8,7.44149591053622e-05,0.0009085830504003756,0.0008895993232727051,1.0,0.012796225026249886
MiceProtein,NeuralNetTorch,972,108,8,3.2987401150953653e-10,1.2358795861021835e-06,1.430511474609375e-06,1.0,0.012601458933204412
MiceProtein,RandomForest,972,108,8,0.08446279863274775,0.9291933473582246,0.05015692859888077,0.9444444179534912,0.012915236875414848
MiceProtein,XGBoost,972,108,8,0.030095147932852624,0.04381015257096135,0.014942841604351997,0.9722222089767456,0.012896212982013822
Traffic_violations,CatBoost,63306,7034,3,0.2684162682603194,0.40368415522440565,0.010625422932207584,0.7989764213562012,0.0831342430319637
Traffic_violations,ExtraTrees,63306,7034,3,0.27772195915419556,0.418305337350042,0.008723774924874306,0.7918680906295776,0.07932951184920967
Traffic_violations,LightGBM,63306,7034,3,0.2721927529474541,0.41104505596305957,0.009138175286352634,0.7949957251548767,0.08536942605860531
Traffic_violations,LinearModel,63306,7034,3,0.2769339558454594,0.41601169752225164,0.010121827013790607,0.7894512414932251,0.08503760490566492
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2756877413748901,0.41282813968799636,0.010458431206643581,0.7925788760185242,0.08657874492928386
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889313536905006,0.4380504769748156,0.013423057273030281,0.7822007536888123,0.08540240000002086
Traffic_violations,RandomForest,63306,7034,3,0.2737358626299782,0.41104272147895404,0.013205326162278652,0.7948535680770874,0.0804715771228075
Traffic_violations,XGBoost,63306,7034,3,0.27319109874291153,0.40921072418632964,0.008920511230826378,0.7925788760185242,0.0861610968131572
UMIST_Faces_Cropped,CatBoost,517,58,20,0.026061392829696228,1.5085807348540967,0.012895805761218071,0.982758641242981,0.021851464873179793
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.027984250700316547,0.0713177451482294,0.016149252653121948,0.9655172228813171,0.021225681994110346
UMIST_Faces_Cropped,LightGBM,517,58,20,0.06483671912603255,3.018522782035136,0.03405984863638878,0.9655172228813171,0.02139918296597898
UMIST_Faces_Cropped,LinearModel,517,58,20,0.05111809200586114,1.5400382470402614,0.028301196172833443,0.9655172228813171,0.020911630941554904
