dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
baseball,LinearModel,1206,134,3,0.06703720897683463,0.13163064267883465,0.04090448468923569,0.9552238583564758,0.008751573972404003
baseball,NeuralNetFastAI,1206,134,3,0.07345350125131798,0.13555977225978832,0.03741910681128502,0.9477611780166626,0.009040433913469315
baseball,NeuralNetTorch,1206,134,3,0.07550864828040046,0.14550408034470405,0.05377760902047157,0.9402984976768494,0.008657547179609537
baseball,RandomForest,1206,134,3,0.07415925306190892,0.14506889208095017,0.0387495718896389,0.9626865386962891,0.008863596012815833
baseball,XGBoost,1206,134,3,0.07147427502449524,0.15159807936735736,0.04771847650408745,0.9626865386962891,0.00636452785693109
car,CatBoost,1555,173,4,0.00018492040418447645,0.0019055679164245477,0.0018548452062532306,1.0,0.022367978934198618
car,ExtraTrees,1555,173,4,0.015360649163995072,0.036931295463705334,0.012416433542966843,0.9942196607589722,0.01026896690018475
car,LightGBM,1555,173,4,5.688850627718418e-49,0.0,5.960464477539063e-08,1.0,0.0050794631242752075
car,LinearModel,1555,173,4,0.08466267170185579,0.13088773768628895,0.06039069592952728,0.913294792175293,0.008726367028430104
car,NeuralNetFastAI,1555,173,4,1.305692193837488e-15,2.230866952486745e-09,5.960464477539063e-08,1.0,0.016900360817089677
car,NeuralNetTorch,1555,173,4,0.00016958474995827728,0.0010274475619255193,0.0009810163173824549,1.0,0.004176930990070105
car,RandomForest,1555,173,4,0.03264114975890935,0.07058076565460751,0.0156983882188797,0.9826589822769165,0.02197199407964945
car,XGBoost,1555,173,4,4.3937195640983004e-05,0.000996482850150814,0.000984787940979004,1.0,0.00722269294783473
cardiotocography,CatBoost,1913,213,10,3.052033181551944e-09,3.102593068006436e-05,3.057718276977539e-05,1.0,0.006315452046692371
cardiotocography,ExtraTrees,1913,213,10,1.0972847604094532e-41,0.0,5.960464477539063e-08,1.0,0.019706581020727754
