dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
Diabetes130US,CatBoost,91589,10177,3,0.4942277962588165,0.8312880308501599,0.009739814326167107,0.6228750944137573,0.03577607590705156
Diabetes130US,ExtraTrees,91589,10177,3,0.50742753472046,0.8510690859619443,0.00687286676838994,0.608430802822113,0.034579111030325294
Diabetes130US,LightGBM,91589,10177,3,0.49887470701556397,0.8394104690509723,0.008818044327199459,0.6189447045326233,0.03362868702970445
Diabetes130US,LinearModel,91589,10177,3,0.5274840496508436,0.8810150441232041,0.009804666973650455,0.5925125479698181,0.03522695088759065
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5046941545537594,0.8479827986728397,0.016963595524430275,0.6169794797897339,0.03553630807437003
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5123292114212978,0.8587954230467051,0.012402797117829323,0.6060725450515747,0.033417407888919115
Diabetes130US,RandomForest,91589,10177,3,0.5061171443609903,0.8500182454495774,0.009355313144624233,0.6060725450515747,0.03548076516017318
Diabetes130US,XGBoost,91589,10177,3,0.496227498864508,0.834105393263467,0.012616013176739216,0.6228750944137573,0.03492618096061051
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3921986746461929,0.7476620802220714,0.029975108802318573,0.7115384340286255,0.008732038084417582
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4235446354657344,0.8116037822398737,0.044053733348846436,0.692307710647583,0.008591549936681986
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3941616412287257,0.7568018465285018,0.02189241163432598,0.7135627269744873,0.00872998614795506
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6460385890992915,1.2491382838843192,0.02843378856778145,0.45647773146629333,0.008709504967555404
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5085398733610158,0.9751649734795522,0.04470837861299515,0.6305667757987976,0.00893599004484713
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.48983866371890755,0.9483913289670761,0.05208529904484749,0.647773265838623,0.008608743082731962
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4295360120767915,0.8116326389782865,0.04874107614159584,0.681174099445343,0.008635480888187885
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.39244286119866223,0.7539545743425663,0.03952566161751747,0.7115384340286255,0.008576740976423025
Indian_pines,CatBoost,8229,915,8,0.14049351029888735,0.2489815994061664,0.04115748405456543,0.8983606696128845,0.01263820193707943
Indian_pines,ExtraTrees,8229,915,8,0.18914752460560028,0.3331696631084183,0.05060063302516937,0.8754098415374756,0.010992626892402768
Indian_pines,LightGBM,8229,915,8,0.1315272302061644,0.23230880683027938,0.0437006950378418,0.902732253074646,0.011631809175014496
Indian_pines,LinearModel,8229,915,8,0.18673751707793942,0.4181825758192088,0.05057423934340477,0.8655737638473511,0.0109962890855968
Indian_pines,NeuralNetFastAI,8229,915,8,0.12517754245094115,0.2195895363421674,0.03306339681148529,0.908196747303009,0.012589626014232635
Indian_pines,NeuralNetTorch,8229,915,8,0.14035689518902233,0.2483154853902006,0.05469932034611702,0.9103825092315674,0.012077888939529657
Indian_pines,RandomForest,8229,915,8,0.19193158396123694,0.33339125872401365,0.03796476125717163,0.8655737638473511,0.010725321946665645
Indian_pines,XGBoost,8229,915,8,0.12470137528334783,0.21984913652435226,0.03207611292600632,0.9060109257698059,0.012575224973261356
LED-display-domain-7digit,CatBoost,450,50,10,0.4391198691590821,0.9079147369095024,0.15548394620418549,0.7200000286102295,0.006067364942282438
LED-display-domain-7digit,ExtraTrees,450,50,10,0.37897035518517674,3.3905201956630617,0.1478961557149887,0.7799999713897705,0.006115223979577422
LED-display-domain-7digit,LightGBM,450,50,10,0.37475683893954026,0.7345581287478751,0.10503843426704407,0.7799999713897705,0.0061546810902655125
LED-display-domain-7digit,LinearModel,450,50,10,0.4113585011175831,2.0852697330138636,0.16614621877670288,0.7599999904632568,0.006163241108879447
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.4071779609631781,0.8299051936209662,0.09983672946691513,0.7400000095367432,0.006049732910469174
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3991264814884603,3.421196765291626,0.21233493089675903,0.7400000095367432,0.006048627896234393
LED-display-domain-7digit,RandomForest,450,50,10,0.40423451329222426,4.72447401053588,0.13426965475082397,0.7400000095367432,0.006066786125302315
LED-display-domain-7digit,XGBoost,450,50,10,0.416281042649899,2.1344361511664425,0.15927818417549133,0.7400000095367432,0.006065036170184612
MiceProtein,CatBoost,972,108,8,0.18596925149144033,0.32464330496376015,0.09045106917619705,0.8425925970077515,0.005694804014638066
MiceProtein,ExtraTrees,972,108,8,0.11130709594418012,0.19734279165049085,0.08692137897014618,0.9259259104728699,0.005393726052716374
MiceProtein,LightGBM,972,108,8,0.19942741712211323,0.3537716239743294,0.06802143156528473,0.8240740895271301,0.005421090871095657
MiceProtein,LinearModel,972,108,8,0.2074822783985263,0.3429740273136494,0.05439767241477966,0.8148148059844971,0.005381202092394233
MiceProtein,NeuralNetFastAI,972,108,8,0.28805784153160585,0.511216037217811,0.13077908754348755,0.7962962985038757,0.00552445906214416
MiceProtein,NeuralNetTorch,972,108,8,0.40451235842585975,0.6545695964277681,0.1380360871553421,0.6481481194496155,0.005122317001223564
MiceProtein,RandomForest,972,108,8,0.1634491177348577,0.8885931725814935,0.09491148591041565,0.8333333134651184,0.005409451900050044
MiceProtein,XGBoost,972,108,8,0.17445455850545177,0.3119646190852014,0.08174833655357361,0.8611111044883728,0.005480329040437937
Traffic_violations,CatBoost,63306,7034,3,0.277752356938259,0.4253680587952036,0.017728345468640327,0.8012510538101196,0.0242594419978559
Traffic_violations,ExtraTrees,63306,7034,3,0.2847059484548329,0.4734520471888129,0.037637144327163696,0.7895933985710144,0.021997306030243635
Traffic_violations,LightGBM,63306,7034,3,0.28295883697709606,0.4331940362462854,0.016935303807258606,0.795137882232666,0.023791871033608913
Traffic_violations,LinearModel,63306,7034,3,0.28724081481294306,0.43774067963918384,0.013672441244125366,0.7883139252662659,0.02356962999328971
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2788108215563135,0.41971170964057286,0.008702993392944336,0.7921524047851562,0.02435919689014554
Traffic_violations,NeuralNetTorch,63306,7034,3,0.29672997734549933,0.4536515135204922,0.022357916459441185,0.780921220779419,0.02365954709239304
Traffic_violations,RandomForest,63306,7034,3,0.2842982145425015,0.4360297429141357,0.017885632812976837,0.795706570148468,0.02234887913800776
Traffic_violations,XGBoost,63306,7034,3,0.2779831326452385,0.4198097410898903,0.009916831739246845,0.7934318780899048,0.023450874956324697
UMIST_Faces_Cropped,CatBoost,517,58,20,0.23798878237455848,0.48885198532340707,0.06509498506784439,0.7586206793785095,0.012082832865417004
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.30950649804012786,0.5291181343619548,0.061060480773448944,0.6896551847457886,0.012109677074477077
UMIST_Faces_Cropped,LightGBM,517,58,20,0.18808264205912847,0.4158492053359748,0.050178639590740204,0.7931034564971924,0.011966855963692069
UMIST_Faces_Cropped,LinearModel,517,58,20,0.2759404421877397,0.5424663457844405,0.06236618012189865,0.7068965435028076,0.012483738828450441
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.5098849553554015,1.0897296324971528,0.15014369785785675,0.5344827771186829,0.011704628122970462
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.11818042580260893,1.3419409882412556,0.06639458984136581,0.9137930870056152,0.011577388970181346
UMIST_Faces_Cropped,RandomForest,517,58,20,0.3352339731206252,0.5760638457959721,0.10099081695079803,0.6724137663841248,0.011979524977505207
UMIST_Faces_Cropped,XGBoost,517,58,20,0.14822571588229014,1.4285554297452465,0.08081820607185364,0.8275862336158752,0.012094540987163782
analcatdata_authorship,CatBoost,756,85,4,0.05570468166785831,0.09473130888406486,0.061138760298490524,0.9529411792755127,0.002926419023424387
analcatdata_authorship,ExtraTrees,756,85,4,0.06447786108699913,0.10104224305494841,0.03324716165661812,0.9529411792755127,0.002965852851048112
analcatdata_authorship,LightGBM,756,85,4,0.07732928495552344,0.12122799799270055,0.07311026006937027,0.9058823585510254,0.0028736251406371593
analcatdata_authorship,LinearModel,756,85,4,0.09928358326662264,0.18135960312596128,0.05391571670770645,0.8941176533699036,0.002818689914420247
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.6887948183388581,1.2447117650741957,0.0005131959915161133,0.3764705955982208,0.002772090956568718
analcatdata_authorship,NeuralNetTorch,756,85,4,0.6887948183388581,1.2447117650741957,0.0005131959915161133,0.3764705955982208,0.0028586159460246563
analcatdata_authorship,RandomForest,756,85,4,0.08586637242260006,0.14364070133540904,0.026072129607200623,0.929411768913269,0.0029460019432008266
analcatdata_authorship,XGBoost,756,85,4,0.061733505443997104,0.10150333822044585,0.0212324820458889,0.9411764740943909,0.002934764139354229
analcatdata_dmft,CatBoost,717,80,6,0.8104469112953442,1.7176147392498151,0.036964863538742065,0.22499999403953552,0.004108983092010021
analcatdata_dmft,ExtraTrees,717,80,6,0.837248159442073,1.7914189223958803,0.08627697080373764,0.21250000596046448,0.004139707889407873
analcatdata_dmft,LightGBM,717,80,6,0.8183446696091078,1.7532670971215878,0.030953068286180496,0.23749999701976776,0.004250368103384972
analcatdata_dmft,LinearModel,717,80,6,0.8386281959184416,1.8021551797539679,0.0677262544631958,0.1875,0.004295617109164596
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8335265367736742,1.7902866529661972,0.04113498330116272,0.22499999403953552,0.004080726066604257
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8230809074148476,1.7600403689365351,0.052502237260341644,0.21250000596046448,0.00412445398978889
analcatdata_dmft,RandomForest,717,80,6,0.8351741909092117,1.818551544702131,0.1112847551703453,0.3125,0.004247630015015602
analcatdata_dmft,XGBoost,717,80,6,0.8062161053454956,1.7134453386414088,0.055680811405181885,0.26249998807907104,0.004353163996711373
artificial-characters,CatBoost,9196,1022,10,0.1751839087501277,0.3158357408727239,0.041865501552820206,0.8962817788124084,0.01723091211169958
artificial-characters,ExtraTrees,9196,1022,10,0.13732759894159033,0.2738015803877234,0.04422176629304886,0.927592933177948,0.01582319987937808
artificial-characters,LightGBM,9196,1022,10,0.18075469477153866,0.3138149580631447,0.0444713719189167,0.8835616707801819,0.016761468024924397
artificial-characters,LinearModel,9196,1022,10,0.7456765183632054,1.6577994828429192,0.052277714014053345,0.3502935469150543,0.0173039180226624
artificial-characters,NeuralNetFastAI,9196,1022,10,0.36944162330551505,0.6372143528687525,0.038169119507074356,0.7103717923164368,0.017651862930506468
artificial-characters,NeuralNetTorch,9196,1022,10,0.36432327375959755,0.7616016154564524,0.03196684643626213,0.7162426710128784,0.01694644195958972
artificial-characters,RandomForest,9196,1022,10,0.14360129205091252,0.28533021863197877,0.047535933554172516,0.9227005839347839,0.015738213201984763
artificial-characters,XGBoost,9196,1022,10,0.1776310175165728,0.3096213030340871,0.04256508871912956,0.8904109597206116,0.01720528188161552
autoUniv-au6-750,CatBoost,675,75,8,0.8372060446513698,1.948596579702659,0.11837103962898254,0.20000000298023224,0.005385003983974457
autoUniv-au6-750,ExtraTrees,675,75,8,0.841511832891195,1.981852758703905,0.12232711911201477,0.2800000011920929,0.005378383910283446
autoUniv-au6-750,LightGBM,675,75,8,0.8070433223594499,1.8969963012049804,0.08689834922552109,0.36000001430511475,0.005489144008606672
autoUniv-au6-750,LinearModel,675,75,8,0.8507586272508544,2.8610075165722058,0.0482134073972702,0.2133333384990692,0.0054137681145220995
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8531354619242156,2.0249233659412766,0.06359417736530304,0.25333333015441895,0.005328953033313155
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8643198404618248,2.0057378615965034,0.09789885580539703,0.13333334028720856,0.005223209969699383
autoUniv-au6-750,RandomForest,675,75,8,0.7771305560168895,1.791992232391552,0.17193937301635742,0.3866666555404663,0.005304164020344615
autoUniv-au6-750,XGBoost,675,75,8,0.8174472968196731,1.9318582800243076,0.07967671751976013,0.3466666638851166,0.005535803968086839
autoUniv-au7-1100,CatBoost,990,110,5,0.7306265918358165,1.4110183030482997,0.09624089300632477,0.3636363744735718,0.003776377998292446
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7420200144410987,1.4405167239587993,0.10810571163892746,0.40909090638160706,0.0036402710247784853
