dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
Diabetes130US,CatBoost,91589,10177,3,0.4928129943325244,0.8338306701763298,0.0024621905758976936,0.6217942237854004,0.11560330702923238
Diabetes130US,ExtraTrees,91589,10177,3,0.5055694338479451,0.8475156425793348,0.006551382131874561,0.6102977395057678,0.11328834411688149
Diabetes130US,LightGBM,91589,10177,3,0.4971671347057458,0.8356012784311609,0.009198959916830063,0.6214994788169861,0.11546527384780347
Diabetes130US,LinearModel,91589,10177,3,0.5261013262349222,0.8784112202324276,0.01325087621808052,0.5931020975112915,0.11184232006780803
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030781295224338,0.8441747159669468,0.013759712688624859,0.6170777082443237,0.11276359390467405
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5109674347000697,0.856009461784356,0.009758692234754562,0.607055127620697,0.11089798086322844
Diabetes130US,RandomForest,91589,10177,3,0.5046871423314364,0.8466587097794807,0.00671236589550972,0.6087255477905273,0.11322918185032904
Diabetes130US,XGBoost,91589,10177,3,0.49398093704384916,0.8284157781041375,0.011879576370120049,0.6230716109275818,0.11208006599918008
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3870239016813409,0.8037206556007978,0.02686755545437336,0.7176113128662109,0.026792893884703517
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41329919932833564,0.852689720069656,0.04426442086696625,0.6973684430122375,0.02709224889986217
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39012572104661514,0.873832168404755,0.04174475744366646,0.7145748734474182,0.025664119981229305
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.647166389720074,1.2561647022803155,0.0343405082821846,0.4625506103038788,0.025078692007809877
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5040432988252943,0.9647126252834844,0.03348667547106743,0.6285424828529358,0.033415598096325994
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4887110152561023,0.9427323432456767,0.04104794189333916,0.6427125334739685,0.025997888995334506
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4253140699808019,0.8682519409947972,0.03978699445724487,0.6781376600265503,0.026447339914739132
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3911839758482876,0.8126056804994518,0.03985893353819847,0.7145748734474182,0.02635143604129553
Indian_pines,CatBoost,8229,915,8,0.07160909630142684,0.13050957881281497,0.026328764855861664,0.9573770761489868,0.032761760987341404
Indian_pines,ExtraTrees,8229,915,8,0.10465802640888112,0.2516582149106189,0.02585451863706112,0.9333333373069763,0.03303475584834814
Indian_pines,LightGBM,8229,915,8,0.05680851039173808,0.1074657484762058,0.017695514485239983,0.9661202430725098,0.031011359998956323
Indian_pines,LinearModel,8229,915,8,0.11650501151561189,0.27925049186536066,0.020673930644989014,0.9256830811500549,0.03312466386705637
Indian_pines,NeuralNetFastAI,8229,915,8,0.053563881399336495,0.09843945142597964,0.012983559630811214,0.9683060050010681,0.0341932310257107
Indian_pines,NeuralNetTorch,8229,915,8,0.0454492685447277,0.08461411173595144,0.016866309568285942,0.9672130942344666,0.03145936387591064
Indian_pines,RandomForest,8229,915,8,0.10908713893738191,0.2582212821702078,0.026140429079532623,0.9322404265403748,0.031074571888893843
Indian_pines,XGBoost,8229,915,8,0.06796485445562633,0.19271817320323642,0.0178313497453928,0.9584699273109436,0.033749794121831656
LED-display-domain-7digit,CatBoost,450,50,10,0.405961607637224,0.8161085815573166,0.18905460834503174,0.7400000095367432,0.019836454186588526
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3602939694713338,0.7216563773006185,0.15076865255832672,0.800000011920929,0.01953835692256689
LED-display-domain-7digit,LightGBM,450,50,10,0.34233876676565494,0.696609360481683,0.13854053616523743,0.7799999713897705,0.02007639198563993
LED-display-domain-7digit,LinearModel,450,50,10,0.3580509543136129,0.716095932274531,0.09878253191709518,0.7599999904632568,0.02021799492649734
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.361132931212707,0.7325851067852175,0.16742822527885437,0.7599999904632568,0.020336026092991233
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.35934544925667444,0.7159427242481934,0.1166139617562294,0.7599999904632568,0.019785064971074462
LED-display-domain-7digit,RandomForest,450,50,10,0.37637995374375566,0.7357017686558023,0.1691831797361374,0.7200000286102295,0.01919937110505998
LED-display-domain-7digit,XGBoost,450,50,10,0.37154374946452395,0.7486822275603359,0.1461450159549713,0.7599999904632568,0.01950051193125546
MiceProtein,CatBoost,972,108,8,0.01560478115592251,0.6316096533319554,0.007448243908584118,0.9907407164573669,0.016193432034924626
MiceProtein,ExtraTrees,972,108,8,0.01743475574366796,0.03256033916931852,0.008984148502349854,0.9907407164573669,0.01623650803230703
MiceProtein,LightGBM,972,108,8,0.00033232961698579326,0.0014254741929121935,0.0013212893391028047,1.0,0.016183880856260657
MiceProtein,LinearModel,972,108,8,0.000858394445472572,0.003194458480625923,0.0029490534216165543,1.0,0.01641126605682075
MiceProtein,NeuralNetFastAI,972,108,8,7.441496838007342e-05,0.0009085830877866584,0.0008895993232727051,1.0,0.016104777110740542
MiceProtein,NeuralNetTorch,972,108,8,3.2987399931642415e-10,1.2358795632593098e-06,1.430511474609375e-06,1.0,0.015243360074236989
MiceProtein,RandomForest,972,108,8,0.06963379260585162,0.7194889369390124,0.030356215313076973,0.9444444179534912,0.016448047012090683
MiceProtein,XGBoost,972,108,8,0.027214649808741023,0.045262857954780286,0.020453153178095818,0.9814814925193787,0.016208778135478497
Traffic_violations,CatBoost,63306,7034,3,0.26818798739952476,0.40329836195374225,0.008196067065000534,0.7991185784339905,0.07693385402671993
Traffic_violations,ExtraTrees,63306,7034,3,0.27780629807157575,0.41832853065286724,0.011557497084140778,0.7917258739471436,0.07047315780073404
Traffic_violations,LightGBM,63306,7034,3,0.2720779380359149,0.41082657022316177,0.008908465504646301,0.7952800393104553,0.07824460789561272
Traffic_violations,LinearModel,63306,7034,3,0.2766950615517943,0.4156916029275001,0.008597355335950851,0.7894512414932251,0.07992413407191634
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2755464338761898,0.41266448412534074,0.009307623840868473,0.7925788760185242,0.07791469385847449
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889985209176771,0.43800380845321324,0.013998367823660374,0.7816320657730103,0.07846953999251127
Traffic_violations,RandomForest,63306,7034,3,0.27363344291329356,0.4109953244672749,0.01696583442389965,0.7965595722198486,0.06968925101682544
Traffic_violations,XGBoost,63306,7034,3,0.27313050444801895,0.40914432436544756,0.008548974990844727,0.7925788760185242,0.0782415010035038
UMIST_Faces_Cropped,CatBoost,517,58,20,0.026061392677519512,1.1514428446962341,0.012895805761218071,0.982758641242981,0.037773319985717535
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.027984250190078042,0.071317744630112,0.016149252653121948,0.9655172228813171,0.037090184865519404
UMIST_Faces_Cropped,LightGBM,517,58,20,0.06309316121862939,2.3893664331242315,0.03253766521811485,0.9655172228813171,0.03710950701497495
UMIST_Faces_Cropped,LinearModel,517,58,20,0.051118091414592254,1.218843508010584,0.028301196172833443,0.9655172228813171,0.03680541296489537
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.033230203515817944,1.206120411538396,0.01141252089291811,0.982758641242981,0.035979769891127944
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.0543998682411675,1.2377624524484303,0.054172612726688385,0.982758641242981,0.03554309485480189
UMIST_Faces_Cropped,RandomForest,517,58,20,0.03676842897940596,1.1334438187863838,0.022899068892002106,0.982758641242981,0.03880050405859947
UMIST_Faces_Cropped,XGBoost,517,58,20,0.06811734157894529,2.4209916476179436,0.04546999931335449,0.9655172228813171,0.03892534784972668
analcatdata_authorship,CatBoost,756,85,4,0.05473273032867757,1.6353130369437148,0.030247999355196953,0.9647058844566345,0.008711440954357386
analcatdata_authorship,ExtraTrees,756,85,4,0.03903449924201596,0.8282310988018496,0.024052560329437256,0.9764705896377563,0.008511377964168787
analcatdata_authorship,LightGBM,756,85,4,0.026863821364587405,0.818233816941255,0.016193393617868423,0.9882352948188782,0.008381906896829605
analcatdata_authorship,LinearModel,756,85,4,0.023728374860500053,0.8138119457262437,0.012846441008150578,0.9882352948188782,0.00827726605348289
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.020258896723768495,0.037797166079394824,0.022022178396582603,0.9882352948188782,0.007756103994324803
analcatdata_authorship,NeuralNetTorch,756,85,4,0.0253366734104877,0.047208358434729425,0.022603098303079605,0.9882352948188782,0.008042376022785902
analcatdata_authorship,RandomForest,756,85,4,0.04658991911241538,0.08889529255162539,0.02989964932203293,0.9764705896377563,0.008812372107058764
analcatdata_authorship,XGBoost,756,85,4,0.017734540867027384,0.023009189396506074,0.014016338624060154,0.9882352948188782,0.008691576076671481
analcatdata_dmft,CatBoost,717,80,6,0.8090665088582641,1.7197427659540154,0.0519024059176445,0.25,0.013800340937450528
analcatdata_dmft,ExtraTrees,717,80,6,0.8171012044912427,1.7386579912385691,0.05454021319746971,0.23749999701976776,0.013013390824198723
analcatdata_dmft,LightGBM,717,80,6,0.8131925664263345,1.7336249740716458,0.053303312510252,0.20000000298023224,0.012596901971846819
analcatdata_dmft,LinearModel,717,80,6,0.8117738133706606,1.7421096997762937,0.04085373505949974,0.25,0.012922224123030901
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8140900786274017,1.7267527072773945,0.0390465222299099,0.22499999403953552,0.012780400924384594
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8076823632708819,2.5298022033875887,0.030865846201777458,0.23749999701976776,0.013401171891018748
analcatdata_dmft,RandomForest,717,80,6,0.8315113728461156,1.764388342107818,0.07054707407951355,0.23749999701976776,0.012403490021824837
analcatdata_dmft,XGBoost,717,80,6,0.804100522471542,1.7046954781537587,0.06511186808347702,0.2874999940395355,0.01268439693376422
artificial-characters,CatBoost,9196,1022,10,0.0755889649215125,0.1707286962881332,0.04602934047579765,0.9579256176948547,0.04443221399560571
artificial-characters,ExtraTrees,9196,1022,10,0.07853778356141028,0.18084053515948986,0.014066499657928944,0.9559686779975891,0.04059099708683789
artificial-characters,LightGBM,9196,1022,10,0.06483203426537416,0.27034924510364633,0.04646346718072891,0.9637964963912964,0.04367953399196267
artificial-characters,LinearModel,9196,1022,10,0.7336078225699533,1.701751039664717,0.05065150186419487,0.37181997299194336,0.049048515036702156
artificial-characters,NeuralNetFastAI,9196,1022,10,0.3606291975085739,0.7248605699532478,0.032564446330070496,0.7084148526191711,0.04609213792718947
artificial-characters,NeuralNetTorch,9196,1022,10,0.3470515860978508,0.7079506894240737,0.044247817248106,0.7162426710128784,0.04402632894925773
artificial-characters,RandomForest,9196,1022,10,0.07588444368831751,0.1774555301165654,0.014752041548490524,0.9559686779975891,0.041734535014256835
artificial-characters,XGBoost,9196,1022,10,0.07074622767605396,0.1647096814956888,0.04247282072901726,0.9647749662399292,0.045634029200300574
