dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
Diabetes130US,CatBoost,91589,10177,3,0.49269667180115534,0.8277571261343596,0.007677520625293255,0.6228750944137573,20.63470204314217
Diabetes130US,ExtraTrees,91589,10177,3,0.5056086361123716,0.8476624866217558,0.007073601707816124,0.6106907725334167,17.246579479891807
Diabetes130US,LightGBM,91589,10177,3,0.49714324550162575,0.8354642041423029,0.011218898929655552,0.6219907402992249,19.785742740146816
Diabetes130US,LinearModel,91589,10177,3,0.526066346947785,0.8783921269086021,0.011332087218761444,0.5931020975112915,27.177841254044324
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5031309732163672,0.8446038635343025,0.01716373674571514,0.6183550953865051,30.549100229050964
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5108315409060715,0.8558579814746442,0.009216134436428547,0.6067603230476379,17.45290656713769
Diabetes130US,RandomForest,91589,10177,3,0.504533231996958,0.8462593099812007,0.007905670441687107,0.6083325147628784,20.489093820098788
Diabetes130US,XGBoost,91589,10177,3,0.494013707711376,0.8287615970056728,0.009667648002505302,0.6217942237854004,20.96268351795152
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3882159527328721,0.7440871725003886,0.023671835660934448,0.7135627269744873,5.1711616879329085
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4154807491233071,0.7995399167445468,0.06149165332317352,0.7004048824310303,5.619570909999311
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.38908961247061064,0.7483640437423728,0.04106645658612251,0.7125505805015564,4.432971350150183
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.644750385470137,1.247609197103573,0.04566207900643349,0.4655870497226715,5.253840535879135
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5052902995863372,0.9707538290088596,0.030352888628840446,0.6275303363800049,5.38066819193773
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.48982293976696006,0.9465271855434402,0.04631750285625458,0.6366396546363831,5.290889997035265
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4258671955394392,0.8246392949566183,0.04303755983710289,0.6831983923912048,5.483756168046966
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.39238993558481927,0.7539923376495745,0.050225235521793365,0.7145748734474182,4.621365698054433
Indian_pines,CatBoost,8229,915,8,0.07183335496798479,0.13212258508147892,0.026918882504105568,0.9551912546157837,7.408355936873704
Indian_pines,ExtraTrees,8229,915,8,0.10576946733151193,0.18787821916847314,0.02734306827187538,0.9344262480735779,6.0086425540503114
Indian_pines,LightGBM,8229,915,8,0.05680101754563739,0.11035505327349036,0.025709204375743866,0.9628415107727051,8.431948648998514
Indian_pines,LinearModel,8229,915,8,0.11745470833515134,0.2165338686818694,0.024065157398581505,0.9256830811500549,8.36118449899368
Indian_pines,NeuralNetFastAI,8229,915,8,0.05391546132985923,0.09997145372313122,0.012988320551812649,0.9639344215393066,7.259448955999687
Indian_pines,NeuralNetTorch,8229,915,8,0.04597421019562749,0.0869300157548144,0.01879364624619484,0.9661202430725098,7.707555381115526
Indian_pines,RandomForest,8229,915,8,0.11116231341853272,0.19607780591683063,0.031225334852933884,0.9322404265403748,6.177319491980597
Indian_pines,XGBoost,8229,915,8,0.06746772915351383,0.12351722854024283,0.022539259865880013,0.9573770761489868,7.2489192669745535
LED-display-domain-7digit,CatBoost,450,50,10,0.3966256493688121,0.8217094423199682,0.1663164496421814,0.7799999713897705,1.94253827794455
LED-display-domain-7digit,ExtraTrees,450,50,10,0.37283758469883616,0.7739028919854749,0.1277553141117096,0.800000011920929,2.4350792979821563
LED-display-domain-7digit,LightGBM,450,50,10,0.3462235405582581,0.7048356294138632,0.17373555898666382,0.7799999713897705,1.9817027021199465
LED-display-domain-7digit,LinearModel,450,50,10,0.3580842686335542,0.7417872922881072,0.12190495431423187,0.7599999904632568,2.234787341905758
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.35866799938191835,0.7346650960308853,0.1341438740491867,0.7799999713897705,2.105056531028822
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3573931498849172,0.7287223470720423,0.14683790504932404,0.7599999904632568,2.0317990160547197
LED-display-domain-7digit,RandomForest,450,50,10,0.3804553441821364,0.7984322025155293,0.1297493577003479,0.7599999904632568,2.185813063988462
LED-display-domain-7digit,XGBoost,450,50,10,0.36653424625291664,0.7581582096986434,0.1698404997587204,0.7599999904632568,1.9129709219560027
MiceProtein,CatBoost,972,108,8,0.0037400327629948634,0.008148354130312658,0.0065546706318855286,1.0,1.7229907049331814
MiceProtein,ExtraTrees,972,108,8,0.004908437438253812,0.013904944148902495,0.011336071416735649,1.0,1.4828136239666492
MiceProtein,LightGBM,972,108,8,0.00048730418151766877,0.0021406143803883557,0.00197984604164958,1.0,1.588621964910999
MiceProtein,LinearModel,972,108,8,0.0009267783625276615,0.01052327943646358,0.010257774963974953,1.0,1.788382736966014
MiceProtein,NeuralNetFastAI,972,108,8,0.0006210148805675724,0.004869118448684507,0.004687197506427765,1.0,1.689478683983907
MiceProtein,NeuralNetTorch,972,108,8,0.0003784361359900965,0.002079681787617548,0.0019763221498578787,1.0,1.8910616040229797
MiceProtein,RandomForest,972,108,8,0.07572161202586702,0.17626172511492616,0.03249431401491165,0.9444444179534912,1.71621507499367
MiceProtein,XGBoost,972,108,8,0.02422662155798649,0.041259263775330936,0.0303330197930336,0.9814814925193787,1.5721723651513457
Traffic_violations,CatBoost,63306,7034,3,0.2680483654025346,0.4033207413877783,0.009377074427902699,0.7999715805053711,27.05114339897409
Traffic_violations,ExtraTrees,63306,7034,3,0.27759106275226486,0.4189025671002358,0.009897854179143906,0.7888825535774231,29.9379500139039
Traffic_violations,LightGBM,63306,7034,3,0.2721025677375095,0.41071117715611305,0.010284822434186935,0.7964174151420593,29.129305374110118
Traffic_violations,LinearModel,63306,7034,3,0.27645027193709937,0.41551004064671415,0.009799094870686531,0.7917258739471436,27.63342412887141
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27545372737086793,0.41264184138769744,0.009713591076433659,0.7935740947723389,28.13327361899428
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889369325800963,0.4379220305666954,0.01050377357751131,0.7822007536888123,27.03568296111189
Traffic_violations,RandomForest,63306,7034,3,0.2735643096233236,0.4110332850713931,0.014204662293195724,0.7959908843040466,27.966419977135956
Traffic_violations,XGBoost,63306,7034,3,0.27289886406230757,0.40894326471379233,0.006894686259329319,0.7931475639343262,26.964970239903778
