dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
imagenet,densenet161,25000,25000,1000,0.32429667092419734,3.1910174008778727,0.04844203218817711,0.7717199921607971,8.59270905610174
imagenet,resnet152,25000,25000,1000,0.3361011924812249,3.2260433657904675,0.054964579641819,0.7608799934387207,8.583868449088186
imagenet,beit,10000,40000,1000,0.23355251277573752,4.278797269533214,0.05203865468502045,0.8442999720573425,6.548714664997533
imagenet,convnext,10000,40000,1000,0.22069350539089191,4.064852079791728,0.04946163669228554,0.8542500138282776,6.555110563989729
imagenet,eva,10000,40000,1000,0.2281614621071675,4.269370871775778,0.05567404627799988,0.8495000004768372,6.54286836902611
imagenet,resnet50,10000,40000,1000,0.3504730191674404,5.781889820991494,0.06804919987916946,0.7556750178337097,6.578244796022773
imagenet,swin,10000,40000,1000,0.2504326130114838,4.606676682912272,0.0677143782377243,0.8350499868392944,6.542756442213431
imagenet,vit,10000,40000,1000,0.2779513146531431,5.05131141506859,0.0661231130361557,0.8127999901771545,6.550235291942954
