dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
imagenet,densenet161,25000,25000,1000,0.3210320770740509,0.9092611074447632,0.019404035061597824,0.7704799771308899,4.016429438954219
imagenet,resnet152,25000,25000,1000,0.33170992136001587,0.94206702709198,0.02075106091797352,0.7620400190353394,3.9692752200644463
imagenet,beit,10000,40000,1000,0.2163940668106079,0.5537675619125366,0.025028513744473457,0.8529999852180481,1.8351856428198516
imagenet,convnext,10000,40000,1000,0.20410820841789246,0.5187938213348389,0.02348158322274685,0.8617249727249146,1.8814630259294063
imagenet,eva,10000,40000,1000,0.21130844950675964,0.5541413426399231,0.029080964624881744,0.8584250211715698,1.9037747990805656
imagenet,resnet50,10000,40000,1000,0.3335413932800293,0.9471475481987,0.020597165450453758,0.7615500092506409,1.8009536329191178
imagenet,swin,10000,40000,1000,0.2390337437391281,0.6811033487319946,0.040066130459308624,0.8392750024795532,1.8843523981049657
imagenet,vit,10000,40000,1000,0.259853333234787,0.6867876052856445,0.029405485838651657,0.8184499740600586,1.7904011439532042
