dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
imagenet,densenet161,25000,25000,1000,0.32059834781806834,0.9223969809801794,0.009995692409574986,0.7704799771308899,19.101824965095147
imagenet,resnet152,25000,25000,1000,0.33135761375629236,0.9614675644739342,0.013812071643769741,0.7620400190353394,35.04926169291139
imagenet,beit,10000,40000,1000,0.21510320077613437,0.5648349739763107,0.01716502010822296,0.8529999852180481,5.101832750020549
imagenet,convnext,10000,40000,1000,0.2031109497694208,0.5313077744183233,0.016348060220479965,0.8617249727249146,5.099211103981361
imagenet,eva,10000,40000,1000,0.20959524634565468,0.5686047995414614,0.027005372568964958,0.8584250211715698,4.735605611931533
imagenet,resnet50,10000,40000,1000,0.3331342753592686,0.9614598891583092,0.014410827308893204,0.7615500092506409,8.315792849985883
imagenet,swin,10000,40000,1000,0.2366712550718432,0.6946198021297098,0.040974993258714676,0.8392750024795532,4.051693758927286
imagenet,vit,10000,40000,1000,0.2594483664651065,0.7024097132880591,0.016494402661919594,0.8184499740600586,8.635312979109585
