dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
imagenet,densenet161,25000,25000,1000,0.39928339162158716,5.973446908801733,0.09970562905073166,0.7391600012779236,3.700904151890427
imagenet,resnet152,25000,25000,1000,0.4088968382003285,6.030565950026668,0.09006918966770172,0.7286800146102905,3.7024209019728005
imagenet,beit,10000,40000,1000,0.350595887136397,6.44641206818334,0.08146979659795761,0.7774999737739563,3.9692151970230043
imagenet,convnext,10000,40000,1000,0.34907064159976675,6.3812640829272285,0.0972437933087349,0.8001750111579895,3.9643273188266903
imagenet,eva,10000,40000,1000,0.32666316686915514,6.095635629940384,0.08096623420715332,0.8047249913215637,3.9576909840106964
imagenet,resnet50,10000,40000,1000,0.4806038337136769,9.078118271146776,0.07901641726493835,0.6470000147819519,3.9581834920682013
imagenet,swin,10000,40000,1000,0.3415078818445366,6.373396575200374,0.07432587444782257,0.782925009727478,3.965184228029102
imagenet,vit,10000,40000,1000,0.36868305050530153,6.948105325887677,0.0925874263048172,0.7631000280380249,3.968533322913572
