dataset,model,cal_size,test_size,n_classes,Base-model_brier,Base-model_logloss,Base-model_ece-15,Base-model_accuracy,Base-model_time
imagenet,densenet161,25000,25000,1000,0.32500413060188293,0.9439547657966614,0.05716409534215927,0.7704799771308899,0
imagenet,resnet152,25000,25000,1000,0.3376283645629883,0.9884788990020752,0.06538746505975723,0.7620400190353394,0
imagenet,beit,10000,40000,1000,0.2213287353515625,0.6228620409965515,0.07481749355792999,0.8529999852180481,0
imagenet,convnext,10000,40000,1000,0.2136058807373047,0.6080559492111206,0.09379057586193085,0.8617249727249146,0
imagenet,eva,10000,40000,1000,0.21259520947933197,0.6041394472122192,0.05458656698465347,0.8584250211715698,0
imagenet,resnet50,10000,40000,1000,0.334605872631073,0.9599178433418274,0.03729742765426636,0.7615500092506409,0
imagenet,swin,10000,40000,1000,0.23667600750923157,0.6958043575286865,0.04216871038079262,0.8392750024795532,0
imagenet,vit,10000,40000,1000,0.2609897553920746,0.6897293925285339,0.038390714675188065,0.8184499740600586,0
