dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
imagenet,densenet161,25000,25000,1000,0.8597659821932676,3.5775272089278896,0.029778413474559784,0.1316000074148178,5.3840425298549235
imagenet,resnet152,25000,25000,1000,0.860026272200602,3.5587257201876636,0.02818145789206028,0.13036000728607178,5.3332281219772995
imagenet,beit,10000,40000,1000,0.9738264184906522,4.116964359923101,0.022994307801127434,0.024299999698996544,5.157778847962618
imagenet,convnext,10000,40000,1000,0.9640433239700352,4.015289712095265,0.02922375500202179,0.031849998980760574,5.145113305887207
imagenet,eva,10000,40000,1000,0.9792319157370201,4.335242510889112,0.01685108244419098,0.02097499929368496,5.137708150083199
imagenet,resnet50,10000,40000,1000,0.8795263874331453,3.6052465693392346,0.038581520318984985,0.12134999781847,5.130145360017195
imagenet,swin,10000,40000,1000,0.9690166239925093,4.142652881004032,0.024222979322075844,0.029625000432133675,5.1358767540659755
imagenet,vit,10000,40000,1000,0.8615587788320088,3.2072321793453935,0.04669547453522682,0.13647499680519104,5.114888771204278
