dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
imagenet,densenet161,25000,25000,1000,0.32085731625556946,0.9067296385765076,0.019289802759885788,0.7703199982643127,6.047199024120346
imagenet,resnet152,25000,25000,1000,0.33153942227363586,0.9396749138832092,0.02056938223540783,0.7621200084686279,5.989042351953685
imagenet,beit,10000,40000,1000,0.21634052693843842,0.5534432530403137,0.024902846664190292,0.8530499935150146,3.1271295801270753
imagenet,convnext,10000,40000,1000,0.20405980944633484,0.5184911489486694,0.023243527859449387,0.8617249727249146,3.210817638086155
imagenet,eva,10000,40000,1000,0.2112501710653305,0.5538073778152466,0.028665848076343536,0.8586000204086304,3.205618857871741
imagenet,resnet50,10000,40000,1000,0.3334595859050751,0.9461706876754761,0.0208334531635046,0.7616999745368958,3.133411952992901
imagenet,swin,10000,40000,1000,0.23896381258964539,0.6805151104927063,0.03986915200948715,0.8392999768257141,3.186192044056952
imagenet,vit,10000,40000,1000,0.2598060667514801,0.6864760518074036,0.02928788773715496,0.8184499740600586,3.126702409936115
