dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
MIC,TabPFN-v2.6,1132,567,8,0.1790188103914261,0.4474071264266968,0.046402573585510254,0.8906525373458862,0.0819521399680525
SDSS17,TabPFN-v2.6,52035,26018,3,0.03431506082415581,0.06744249910116196,0.0010535138426348567,0.978783905506134,0.3360315039753914
anneal,TabPFN-v2.6,598,300,5,0.006867128890007734,0.029393937438726425,0.0016408415976911783,0.996666669845581,0.014216095907613635
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06836334615945816,0.1748839020729065,0.00033661077031865716,0.9648985862731934,0.024232942145317793
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19056051969528198,0.36934196949005127,0.0398743636906147,0.8757396340370178,0.025400815065950155
splice,TabPFN-v2.6,2126,1064,3,0.03677742928266525,0.0804404616355896,0.012766092084348202,0.9765037298202515,0.02537514897994697
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31204870343208313,0.5508148670196533,0.026356853544712067,0.7816948890686035,0.036498478846624494
website_phishing,TabPFN-v2.6,902,451,3,0.11183637380599976,0.20499765872955322,0.0222192220389843,0.9334811568260193,0.01741487509571016
MIC,TabICLv2,1132,567,8,0.18168187141418457,0.45909589529037476,0.029465844854712486,0.8906525373458862,0.025199262890964746
SDSS17,TabICLv2,52035,26018,3,0.035348907113075256,0.071085624396801,0.0013077729381620884,0.978553295135498,0.3231027899309993
anneal,TabICLv2,598,300,5,0.015563001856207848,0.03932136297225952,0.008222326636314392,0.9900000095367432,0.014170241076499224
hiva_agnostic,TabICLv2,2563,1282,3,0.0684487372636795,0.17555832862854004,0.0030106049962341785,0.9648985862731934,0.04218195308931172
maternal_health_risk,TabICLv2,676,338,3,0.17833082377910614,0.3580286204814911,0.03303780034184456,0.8846153616905212,0.017207415075972676
splice,TabICLv2,2126,1064,3,0.034665171056985855,0.07618570327758789,0.014402467757463455,0.981203019618988,0.02530362899415195
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31105363368988037,0.5476084351539612,0.027085373178124428,0.7776271104812622,0.029931286815553904
website_phishing,TabICLv2,902,451,3,0.10859492421150208,0.20099912583827972,0.022939320653676987,0.9356984496116638,0.01719908812083304
MIC,RealTabPFN-v2.5,1132,567,8,0.17877089977264404,0.44492825865745544,0.03704347833991051,0.8888888955116272,0.02961867395788431
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03246193751692772,0.06565185636281967,0.0014607962220907211,0.9803212881088257,0.36311437911354005
anneal,RealTabPFN-v2.5,598,300,5,0.007352214772254229,0.023875989019870758,0.004061384126543999,0.996666669845581,0.014129100134596229
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06839326024055481,0.17480312287807465,0.00151824951171875,0.9648985862731934,0.02656188001856208
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20483393967151642,0.38576430082321167,0.06082693487405777,0.8757396340370178,0.021902967942878604
splice,RealTabPFN-v2.5,2126,1064,3,0.03969709947705269,0.08557020872831345,0.012675105594098568,0.9736841917037964,0.02102577593177557
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3091397285461426,0.5475600361824036,0.020821282640099525,0.7844067811965942,0.03738311491906643
website_phishing,RealTabPFN-v2.5,902,451,3,0.11587842553853989,0.21088038384914398,0.025299597531557083,0.9268292784690857,0.016251806868240237
MIC,TabICL_GPU,1132,567,8,0.19019106030464172,0.4767831265926361,0.03244832158088684,0.8853615522384644,0.029462489997968078
SDSS17,TabICL_GPU,52035,26018,3,0.0382833369076252,0.0755036249756813,0.002644709777086973,0.9766700267791748,0.4018601190764457
anneal,TabICL_GPU,598,300,5,0.020748119801282883,0.04741021990776062,0.011715554632246494,0.9866666793823242,0.014381426852196455
maternal_health_risk,TabICL_GPU,676,338,3,0.18311052024364471,0.3706917464733124,0.03561794012784958,0.88165682554245,0.02065244084224105
splice,TabICL_GPU,2126,1064,3,0.07513722777366638,0.14013372361660004,0.011585429310798645,0.951127827167511,0.026778982020914555
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32138898968696594,0.5663819313049316,0.03147854283452034,0.7647457718849182,0.033130299067124724
website_phishing,TabICL_GPU,902,451,3,0.11165735125541687,0.20153124630451202,0.026041459292173386,0.9334811568260193,0.02372064208611846
MIC,LimiX_GPU,1132,567,8,0.18572795391082764,0.47259700298309326,0.03854750841856003,0.8835979104042053,0.029924635076895356
anneal,LimiX_GPU,598,300,5,0.007356791291385889,0.02304219640791416,0.002923452528193593,0.996666669845581,0.014200038043782115
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06829702109098434,0.17365503311157227,0.0009669120190665126,0.9648985862731934,0.03409142489545047
maternal_health_risk,LimiX_GPU,676,338,3,0.19187404215335846,0.37778738141059875,0.05524783954024315,0.8875739574432373,0.017066082917153835
splice,LimiX_GPU,2126,1064,3,0.03675753250718117,0.08128520101308823,0.018735211342573166,0.9830827116966248,0.025636660866439342
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3157660663127899,0.5569721460342407,0.02850109525024891,0.7769491672515869,0.03353432612493634
website_phishing,LimiX_GPU,902,451,3,0.11516796052455902,0.209861621260643,0.031732358038425446,0.9312638640403748,0.020492662908509374
MIC,TabM_GPU,1132,567,8,0.1798866093158722,0.4480092525482178,0.027863966301083565,0.8906525373458862,0.028879963094368577
SDSS17,TabM_GPU,52035,26018,3,0.040776126086711884,0.0815364271402359,0.0036369566805660725,0.9750941395759583,0.3548821050208062
anneal,TabM_GPU,598,300,5,0.009141526184976101,0.036656107753515244,0.005353161599487066,0.996666669845581,0.018879020819440484
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826522201299667,0.17386509478092194,0.00010836124420166016,0.9648985862731934,0.02436854410916567
maternal_health_risk,TabM_GPU,676,338,3,0.26166412234306335,0.4771551489830017,0.08425489813089371,0.8402366638183594,0.024161990964785218
splice,TabM_GPU,2126,1064,3,0.04204553738236427,0.09257715195417404,0.012321025133132935,0.9746240377426147,0.030548017006367445
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3184550106525421,0.5632833242416382,0.0263772401958704,0.7728813290596008,0.03878494491800666
website_phishing,TabM_GPU,902,451,3,0.12067504972219467,0.2210402935743332,0.03734470158815384,0.9312638640403748,0.020922552794218063
MIC,RealMLP_GPU,1132,567,8,0.18037346005439758,0.4487899839878082,0.045881785452365875,0.89241623878479,0.034165021032094955
SDSS17,RealMLP_GPU,52035,26018,3,0.04275848716497421,0.08577761054039001,0.002173348795622587,0.9738642573356628,0.3478336948901415
anneal,RealMLP_GPU,598,300,5,0.012905550189316273,0.032340388745069504,0.00638039642944932,0.9900000095367432,0.013405017089098692
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06868870556354523,0.17739853262901306,0.0014592432416975498,0.9648985862731934,0.03509621205739677
maternal_health_risk,RealMLP_GPU,676,338,3,0.20986859500408173,0.3995838463306427,0.07443350553512573,0.8786982297897339,0.021370885893702507
splice,RealMLP_GPU,2126,1064,3,0.03950170800089836,0.0867220088839531,0.012965631671249866,0.9746240377426147,0.0232932239305228
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31610068678855896,0.5604939460754395,0.02343669906258583,0.7810169458389282,0.033960621105507016
website_phishing,RealMLP_GPU,902,451,3,0.11717789620161057,0.210168719291687,0.04102543368935585,0.9223946928977966,0.028252848889678717
MIC,BetaTabPFN_GPU,1132,567,8,0.18016517162322998,0.45251867175102234,0.025454243645071983,0.8888888955116272,0.029344717971980572
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04787407070398331,0.09566105902194977,0.0025273889768868685,0.9711738228797913,0.3658256090711802
anneal,BetaTabPFN_GPU,598,300,5,0.014840562827885151,0.04757973179221153,0.004412034992128611,0.9933333396911621,0.01411655405536294
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0683017298579216,0.17406147718429565,0.0003428459167480469,0.9648985862731934,0.024773537879809737
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28248581290245056,0.49932968616485596,0.08421801775693893,0.8254438042640686,0.017458665883168578
splice,BetaTabPFN_GPU,2126,1064,3,0.04030713438987732,0.08645391464233398,0.019038019701838493,0.9736841917037964,0.0240443570073694
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3194715082645416,0.5679587721824646,0.023430410772562027,0.7776271104812622,0.029887216165661812
website_phishing,BetaTabPFN_GPU,902,451,3,0.1299714744091034,0.2309878021478653,0.029189160093665123,0.9179601073265076,0.016429202165454626
MIC,ModernNCA_GPU,1132,567,8,0.18242934346199036,0.4549729526042938,0.03709166496992111,0.8888888955116272,0.024490823969244957
SDSS17,ModernNCA_GPU,52035,26018,3,0.038049086928367615,0.07498686015605927,0.0032882308587431908,0.9764009714126587,0.2936579370871186
