dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
SDSS17,TabM_GPU,52035,26018,3,0.04056604959382959,0.08109881832637308,0.0028151858132332563,0.9751710295677185,0.4856892270036042
anneal,TabM_GPU,598,300,5,0.009274418367011027,0.037847532201845675,0.005758424289524555,0.996666669845581,0.04360117483884096
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826525347153563,0.1738655152933543,0.00011026859283447266,0.9648985862731934,0.03614294598810375
maternal_health_risk,TabM_GPU,676,338,3,0.26313044655428935,0.47835839547266584,0.08287668973207474,0.8372781276702881,0.05916615086607635
splice,TabM_GPU,2126,1064,3,0.0420526096310606,0.09206678359340321,0.01359989307820797,0.9755638837814331,0.05252797296270728
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31817244955342083,0.5629810884039071,0.024246808141469955,0.7742372751235962,0.03951741894707084
website_phishing,TabM_GPU,902,451,3,0.12013792721192817,0.22029100611871022,0.028540313243865967,0.9290465712547302,0.03272008989006281
MIC,RealMLP_GPU,1132,567,8,0.1804743599079633,0.4496792068257747,0.04346190765500069,0.8906525373458862,0.10348419495858252
SDSS17,RealMLP_GPU,52035,26018,3,0.04266329119669393,0.08561839742380334,0.0019324618624523282,0.9739411473274231,0.37077458784915507
anneal,RealMLP_GPU,598,300,5,0.01395846684056503,0.03618781967949857,0.007279386278241873,0.9900000095367432,0.03322980389930308
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06863062089429306,0.17691046108597275,0.0013478749897331,0.9648985862731934,0.04486874700523913
maternal_health_risk,RealMLP_GPU,676,338,3,0.21078691292969187,0.39941900511208195,0.07882731407880783,0.88165682554245,0.05037664412520826
splice,RealMLP_GPU,2126,1064,3,0.03954833264801167,0.08636692123003274,0.013423934578895569,0.9746240377426147,0.04330401192419231
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31554129780864754,0.5591741685649981,0.02304469235241413,0.7823728919029236,0.05776328593492508
website_phishing,RealMLP_GPU,902,451,3,0.11647005392701272,0.2083718613579277,0.039497584104537964,0.9290465712547302,0.05679238890297711
MIC,BetaTabPFN_GPU,1132,567,8,0.18043362714938996,0.4529404913117,0.027142830193042755,0.8888888955116272,0.05370488902553916
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04768850944638814,0.09499517779060566,0.002812719903886318,0.9712890982627869,0.6176551850512624
anneal,BetaTabPFN_GPU,598,300,5,0.01505495332551129,0.04833019188132315,0.006766460370272398,0.9900000095367432,0.030205717077478766
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06830217197711676,0.17406169039504824,0.00036913156509399414,0.9648985862731934,0.030078683979809284
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.2828536977336504,0.49994382987209546,0.08075875043869019,0.8254438042640686,0.04675979516468942
splice,BetaTabPFN_GPU,2126,1064,3,0.039993658487315974,0.08601746441844851,0.020927689969539642,0.9736841917037964,0.05014449707232416
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31972495710421317,0.5673888350279984,0.03365832567214966,0.7755932211875916,0.05074176797643304
website_phishing,BetaTabPFN_GPU,902,451,3,0.12912213070870865,0.23039879076246725,0.027770519256591797,0.9179601073265076,0.04758889088407159
MIC,ModernNCA_GPU,1132,567,8,0.18217045570115603,0.4546529233036471,0.03776681050658226,0.8888888955116272,0.07447334798052907
SDSS17,ModernNCA_GPU,52035,26018,3,0.03802716279769453,0.07489755654180819,0.0032054116018116474,0.9759397506713867,0.5329295131377876
anneal,ModernNCA_GPU,598,300,5,0.00807288344233404,0.03403496228559315,0.003998481668531895,0.996666669845581,0.030876636039465666
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06868728147368147,0.17731170558779805,0.004500546958297491,0.9648985862731934,0.05939706391654909
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21324301935301093,0.39430871905806114,0.04248616099357605,0.8639053106307983,0.05185982398688793
splice,ModernNCA_GPU,2126,1064,3,0.04829460324798577,0.10512075332453155,0.03165091574192047,0.9765037298202515,0.053767752135172486
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3226186411592953,0.5711184973046786,0.02427985519170761,0.7776271104812622,0.04223852581344545
website_phishing,ModernNCA_GPU,902,451,3,0.12715182193242766,0.22603427190991426,0.032447896897792816,0.9223946928977966,0.05191257921978831
MIC,Mitra_GPU,1132,567,8,0.18266658370770375,0.46266208576798706,0.047870930284261703,0.8871251940727234,0.09083686210215092
anneal,Mitra_GPU,598,300,5,0.011629836673340683,0.034903446723711366,0.009690438397228718,0.996666669845581,0.03824159689247608
maternal_health_risk,Mitra_GPU,676,338,3,0.193411189781817,0.3811181667209554,0.07280710339546204,0.8875739574432373,0.053977270843461156
splice,Mitra_GPU,2126,1064,3,0.04192164068345378,0.08924732746196758,0.01699046604335308,0.972744345664978,0.045662408927455544
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31298679996260415,0.5544659999273144,0.024040456861257553,0.7722033858299255,0.05466923117637634
website_phishing,Mitra_GPU,902,451,3,0.11747316818327545,0.21522337671783898,0.034378573298454285,0.9312638640403748,0.048606786178424954
MIC,TabDPT_GPU,1132,567,8,0.18965207884701674,0.48527264257435204,0.02178255282342434,0.8871251940727234,0.0878152078948915
SDSS17,TabDPT_GPU,52035,26018,3,0.04065507934303362,0.08126770694045946,0.002552492544054985,0.9749404191970825,0.4233104169834405
anneal,TabDPT_GPU,598,300,5,0.012230641309446016,0.04092768488890489,0.004680659621953964,0.9933333396911621,0.03788686194457114
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06832207559056763,0.17440477167211113,0.00020975209190510213,0.9648985862731934,0.05195535998791456
maternal_health_risk,TabDPT_GPU,676,338,3,0.17867068850130763,0.34433865449173884,0.031813714653253555,0.8786982297897339,0.04105685302056372
splice,TabDPT_GPU,2126,1064,3,0.09945575968610335,0.17976623104735806,0.008673070929944515,0.9360902309417725,0.03910929406993091
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32350008922248213,0.5699790296162683,0.021228475496172905,0.7661017179489136,0.04561756900511682
website_phishing,TabDPT_GPU,902,451,3,0.11549630081392194,0.20699792803615377,0.031672459095716476,0.9290465712547302,0.048985210014507174
