dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
MIC,TabPFN-v2.6,1132,567,8,0.1795351356267929,0.45062199234962463,0.041998788714408875,0.8906525373458862,0.10187119781039655
SDSS17,TabPFN-v2.6,52035,26018,3,0.034311048686504364,0.06742780655622482,0.0010129737202078104,0.978783905506134,0.1776190500240773
anneal,TabPFN-v2.6,598,300,5,0.006464601494371891,0.29189202189445496,0.002454042434692383,0.996666669845581,0.08270133100450039
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826673448085785,0.17381340265274048,1.519918441772461e-05,0.9648985862731934,0.06512482394464314
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19122914969921112,0.372123658657074,0.04035138338804245,0.8786982297897339,0.011640615994110703
splice,TabPFN-v2.6,2126,1064,3,0.03671850636601448,0.08063515275716782,0.01373650785535574,0.9774436354637146,0.012486696941778064
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31209248304367065,0.5508958697319031,0.026069995015859604,0.7816948890686035,0.020925957011058927
website_phishing,TabPFN-v2.6,902,451,3,0.11098544299602509,0.20811986923217773,0.02116457372903824,0.9312638640403748,0.01214399584569037
MIC,TabICLv2,1132,567,8,0.18142199516296387,0.45909881591796875,0.02663429081439972,0.8888888955116272,0.03919006488285959
SDSS17,TabICLv2,52035,26018,3,0.03534483164548874,0.07107666879892349,0.0013207548763602972,0.978553295135498,0.13001837604679167
anneal,TabICLv2,598,300,5,0.01254256907850504,0.30397874116897583,0.0069991108030080795,0.9933333396911621,0.030904032988473773
hiva_agnostic,TabICLv2,2563,1282,3,0.06826670467853546,0.1738131046295166,6.854534149169922e-06,0.9648985862731934,0.049849017057567835
maternal_health_risk,TabICLv2,676,338,3,0.17841869592666626,0.3668941855430603,0.035249728709459305,0.8786982297897339,0.013185054995119572
splice,TabICLv2,2126,1064,3,0.034670472145080566,0.07619542628526688,0.015081539750099182,0.981203019618988,0.013498979154974222
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3110998868942261,0.5477018356323242,0.025453653186559677,0.7769491672515869,0.01421777717769146
website_phishing,TabICLv2,902,451,3,0.10773077607154846,0.20380622148513794,0.028699830174446106,0.9356984496116638,0.012893670937046409
MIC,RealTabPFN-v2.5,1132,567,8,0.17933224141597748,0.44721758365631104,0.04200151190161705,0.89241623878479,0.03384518320672214
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03237956389784813,0.06550020724534988,0.0013398634037002921,0.9803597331047058,0.1806079049129039
anneal,RealTabPFN-v2.5,598,300,5,0.006789644714444876,0.10583367943763733,0.0028089946135878563,0.996666669845581,0.0459399800747633
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06827469915151596,0.17388015985488892,0.0002314448356628418,0.9648985862731934,0.05024851206690073
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20554803311824799,0.3850735127925873,0.06404458731412888,0.8757396340370178,0.013852730859071016
splice,RealTabPFN-v2.5,2126,1064,3,0.03958087041974068,0.08575376868247986,0.012185394763946533,0.9746240377426147,0.01466467697173357
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3092760741710663,0.547816812992096,0.020132234320044518,0.7844067811965942,0.01828593108803034
website_phishing,RealTabPFN-v2.5,902,451,3,0.11540235579013824,0.21515777707099915,0.02947014570236206,0.9290465712547302,0.01044337498024106
MIC,TabICL_GPU,1132,567,8,0.19019857048988342,0.47622057795524597,0.030636906623840332,0.8853615522384644,0.04589397204108536
SDSS17,TabICL_GPU,52035,26018,3,0.038283344358205795,0.07549979537725449,0.0025637277867645025,0.9766315817832947,0.18652760284021497
anneal,TabICL_GPU,598,300,5,0.019641296938061714,0.22747640311717987,0.011469942517578602,0.9900000095367432,0.028303168946877122
maternal_health_risk,TabICL_GPU,676,338,3,0.18310405313968658,0.37698081135749817,0.03905663266777992,0.88165682554245,0.014438344864174724
splice,TabICL_GPU,2126,1064,3,0.07510663568973541,0.1410711705684662,0.012390504591166973,0.9520676732063293,0.010690669994801283
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.321468710899353,0.5664953589439392,0.030800938606262207,0.7661017179489136,0.021198075031861663
website_phishing,TabICL_GPU,902,451,3,0.11074546724557877,0.20260374248027802,0.02646024152636528,0.9379157423973083,0.012203142046928406
MIC,LimiX_GPU,1132,567,8,0.18576182425022125,0.4749123454093933,0.04670102894306183,0.8871251940727234,0.05904644099064171
anneal,LimiX_GPU,598,300,5,0.008364951238036156,0.22710804641246796,0.004923962522298098,0.996666669845581,0.03676701500080526
