dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
MIC,TabPFN-v2.6,1132,567,8,0.179778887117735,0.46009629457773193,0.036502156406641006,0.8888888955116272,1.9341242301743478
SDSS17,TabPFN-v2.6,52035,26018,3,0.03432993132766041,0.06742924585644114,0.000916187884286046,0.9788992404937744,28.607472426025197
anneal,TabPFN-v2.6,598,300,5,0.0069751685508404266,0.023504966366038403,0.002661448670551181,0.996666669845581,0.8251055418513715
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826587415076162,0.17355903306883036,0.0008322000503540039,0.9648985862731934,0.6727333441376686
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19057740666424594,0.3899849668145003,0.0506746880710125,0.8757396340370178,0.7087248130701482
splice,TabPFN-v2.6,2126,1064,3,0.03600790049208011,0.07933534486868951,0.01934913359582424,0.9765037298202515,1.6893190671689808
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3116231605451163,0.5489848370797367,0.02547403797507286,0.783728837966919,1.0517331280279905
website_phishing,TabPFN-v2.6,902,451,3,0.11154591486226849,0.2000907160708937,0.026179086416959763,0.9290465712547302,0.8256039011757821
MIC,TabICLv2,1132,567,8,0.182375752787104,0.4700081142401374,0.0340256541967392,0.89241623878479,1.6742209531366825
SDSS17,TabICLv2,52035,26018,3,0.03540204670333233,0.07115178348855515,0.0019574854522943497,0.9786301851272583,24.21890759584494
anneal,TabICLv2,598,300,5,0.012879058969106315,0.04538202046662381,0.01186246145516634,0.9933333396911621,0.8519531621132046
hiva_agnostic,TabICLv2,2563,1282,3,0.06844427059455088,0.17666967357917066,0.0006806119927205145,0.9648985862731934,0.8138776840642095
maternal_health_risk,TabICLv2,676,338,3,0.17751395873523326,0.3725149867770418,0.03935793414711952,0.88165682554245,0.7105863899923861
splice,TabICLv2,2126,1064,3,0.03409919040862858,0.07636985188515272,0.017514215782284737,0.981203019618988,1.624667163938284
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31106213422935214,0.5488323877747366,0.02859444171190262,0.7769491672515869,1.2317252059001476
website_phishing,TabICLv2,902,451,3,0.10872037354644215,0.19837068425225515,0.024321118369698524,0.9379157423973083,0.897702292073518
MIC,RealTabPFN-v2.5,1132,567,8,0.17943787994336227,0.45699475594547323,0.025933636352419853,0.8906525373458862,1.6351928838994354
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03250700375615771,0.06567611551299728,0.0013845846988260746,0.9802444577217102,23.493171980138868
anneal,RealTabPFN-v2.5,598,300,5,0.0071301136540970755,0.032730639566717255,0.004660992417484522,0.996666669845581,0.8574661291204393
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06829102124931477,0.1740678515210448,0.0010561347007751465,0.9648985862731934,0.5828519861679524
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19664932405023866,0.37846541789148397,0.06438056379556656,0.8698225021362305,0.7423468369524926
splice,RealTabPFN-v2.5,2126,1064,3,0.039527869248440387,0.08418648252559473,0.01154414750635624,0.9746240377426147,1.7925240660551935
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3081769194116978,0.5442680642793375,0.020516782999038696,0.7823728919029236,1.1529531890992075
website_phishing,RealTabPFN-v2.5,902,451,3,0.11406951703566623,0.20633580884923555,0.01915830373764038,0.9290465712547302,0.8068596939556301
MIC,TabICL_GPU,1132,567,8,0.1897950094651881,0.4809814991225841,0.029011623933911324,0.8853615522384644,1.5936548809986562
SDSS17,TabICL_GPU,52035,26018,3,0.038343307800087434,0.07561184864631211,0.002276767510920763,0.9765546917915344,23.535660651046783
anneal,TabICL_GPU,598,300,5,0.02045265699133423,0.06045342630947266,0.01758195273578167,0.9900000095367432,0.7487706230022013
maternal_health_risk,TabICL_GPU,676,338,3,0.1820405666861451,0.37008310586609305,0.03702075034379959,0.8875739574432373,0.7518783840350807
splice,TabICL_GPU,2126,1064,3,0.07457754160560164,0.13862360521321665,0.01204710453748703,0.9520676732063293,1.640557553851977
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32131627594029255,0.5668966874501218,0.02410414069890976,0.7688135504722595,1.2934197299182415
website_phishing,TabICL_GPU,902,451,3,0.11187872810100942,0.20017660589507258,0.03182072564959526,0.9356984496116638,0.7520474449265748
MIC,LimiX_GPU,1132,567,8,0.18651806783339633,0.5010991174295684,0.03944466635584831,0.8871251940727234,1.6621528731193393
anneal,LimiX_GPU,598,300,5,0.007355013259771743,0.024707810790195472,0.004871751181781292,0.996666669845581,0.7250836270395666
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06833681164961831,0.17475702292005996,0.0009331107139587402,0.9648985862731934,0.6188990571536124
maternal_health_risk,LimiX_GPU,676,338,3,0.18569212165912466,0.35948347214266596,0.052044108510017395,0.8934911489486694,0.7117188409902155
splice,LimiX_GPU,2126,1064,3,0.034714167035814626,0.07796823602783105,0.016605636104941368,0.9830827116966248,1.376682000933215
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31526578496697816,0.5556329374928557,0.026898404583334923,0.7762711644172668,1.2233837652020156
website_phishing,LimiX_GPU,902,451,3,0.11572982524656374,0.24167736790296743,0.028369255363941193,0.9312638640403748,0.6450126699637622
MIC,TabM_GPU,1132,567,8,0.1826221261023194,0.45723068162813796,0.03139027953147888,0.89241623878479,1.7938339510001242
SDSS17,TabM_GPU,52035,26018,3,0.04067069858147851,0.0813118609258951,0.0017153291264548898,0.9750173091888428,20.926167604979128
anneal,TabM_GPU,598,300,5,0.00987621380238382,0.048886658986327665,0.007762816268950701,0.996666669845581,0.7760789669118822
hiva_agnostic,TabM_GPU,2563,1282,3,0.06827102510168676,0.1740355093745005,0.00019568204879760742,0.9648985862731934,0.4615828460082412
maternal_health_risk,TabM_GPU,676,338,3,0.2645554157112989,0.4809081724613431,0.07923346012830734,0.8372781276702881,0.6637139769736677
splice,TabM_GPU,2126,1064,3,0.042156731335721453,0.091783442828615,0.016196973621845245,0.9755638837814331,1.2093936910387129
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31818218131000864,0.5637237497499746,0.023109624162316322,0.7722033858299255,1.2223437991924584
website_phishing,TabM_GPU,902,451,3,0.11968568982703998,0.2743232910884789,0.016573935747146606,0.9290465712547302,0.6505310381762683
MIC,RealMLP_GPU,1132,567,8,0.18188971368218007,0.45469523307803117,0.03348679840564728,0.8906525373458862,1.9034323401283473
SDSS17,RealMLP_GPU,52035,26018,3,0.042813928289065606,0.08604560389598818,0.0031240307725965977,0.9740948677062988,20.339637885103002
anneal,RealMLP_GPU,598,300,5,0.013979725782715413,0.04001103417526403,0.006170592270791531,0.9900000095367432,0.7512662140652537
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06848732746885276,0.17541774984301892,0.002042437205091119,0.9648985862731934,0.692161998944357
