dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
MIC,TabPFN-v2.6,1132,567,8,0.188425829088843,1.4815719754052883,0.05290355905890465,0.8818342089653015,0.008362886030226946
SDSS17,TabPFN-v2.6,52035,26018,3,0.04947855170495301,0.09587958474616731,0.019858291372656822,0.9685986638069153,0.026343140052631497
anneal,TabPFN-v2.6,598,300,5,0.05921541432122975,0.109389457174386,0.024102317169308662,0.9599999785423279,0.0038002310320734978
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06849099769274013,0.1770376696559972,0.0007643739809282124,0.9648985862731934,0.0032128109596669674
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19267785138183163,1.5138267386472677,0.05002247169613838,0.8757396340370178,0.0023357688914984465
splice,TabPFN-v2.6,2126,1064,3,0.06176530699993568,0.17553606744402725,0.034744590520858765,0.9614661931991577,0.0029040679801255465
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3166913197947199,0.5583530537727296,0.02196192741394043,0.7796609997749329,0.0032799281179904938
website_phishing,TabPFN-v2.6,902,451,3,0.11846969282245778,0.6354856633742382,0.026234891265630722,0.9246119856834412,0.0023846749681979418
MIC,TabICLv2,1132,567,8,0.1908906458379345,1.367473802725926,0.04309336841106415,0.8818342089653015,0.005924474913626909
SDSS17,TabICLv2,52035,26018,3,0.05184104761199742,0.1047215593483706,0.02679292857646942,0.9657544493675232,0.023132693022489548
anneal,TabICLv2,598,300,5,0.07755242763149797,0.15685346593917232,0.024174630641937256,0.9366666674613953,0.00347469886764884
hiva_agnostic,TabICLv2,2563,1282,3,0.06867238003226701,0.22953797988974298,0.0007478594779968262,0.9648985862731934,0.003177512902766466
maternal_health_risk,TabICLv2,676,338,3,0.18300339160027398,1.0998509165109702,0.04493164271116257,0.8905325531959534,0.00220042304135859
splice,TabICLv2,2126,1064,3,0.06707829501635584,0.2412702852873759,0.031086517497897148,0.9605262875556946,0.002874179044738412
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3133382706658018,0.5542124217345222,0.024064471945166588,0.7803390026092529,0.0032597871031612158
website_phishing,TabICLv2,902,451,3,0.10886016481677276,0.33784666355329374,0.031474724411964417,0.9356984496116638,0.00232499185949564
MIC,RealTabPFN-v2.5,1132,567,8,0.18514228465338425,1.2476322031520846,0.04410243034362793,0.8853615522384644,0.00581062282435596
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.05057996755886384,0.09888046833151816,0.017763927578926086,0.9684833288192749,0.023926950059831142
anneal,RealTabPFN-v2.5,598,300,5,0.05438150927001695,0.10359749156637113,0.025228280574083328,0.9566666483879089,0.0035061559174209833
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06861037115728788,0.22766622680509163,4.941225051879883e-05,0.9648985862731934,0.003198843915015459
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2015550785182522,1.1412298242331655,0.05462918430566788,0.8786982297897339,0.0023457719944417477
splice,RealTabPFN-v2.5,2126,1064,3,0.06949090061434093,0.1853144200823338,0.03010077401995659,0.9548872113227844,0.003032707842066884
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31090328554720104,0.5515155639082219,0.02245589718222618,0.7735593318939209,0.0033906400203704834
website_phishing,RealTabPFN-v2.5,902,451,3,0.12168422933260092,0.6404443509380953,0.019322596490383148,0.9223946928977966,0.0024019849952310324
MIC,TabICL_GPU,1132,567,8,0.20085080644021794,1.2940059129860102,0.04321307688951492,0.8783068656921387,0.0059451141860336065
SDSS17,TabICL_GPU,52035,26018,3,0.05349975940276221,0.10381979321972444,0.016262156888842583,0.964370846748352,0.023468174040317535
anneal,TabICL_GPU,598,300,5,0.08414570669752539,0.14484390838404249,0.05002563074231148,0.9333333373069763,0.0034629818983376026
maternal_health_risk,TabICL_GPU,676,338,3,0.18583243235938135,1.1141651518411773,0.0553324930369854,0.88165682554245,0.0022742629516869783
splice,TabICL_GPU,2126,1064,3,0.09093977774673666,0.21699336922640106,0.026452917605638504,0.932330846786499,0.002924783853814006
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.32626422511348124,0.5771357420712443,0.023975219577550888,0.7694915533065796,0.0032661149743944407
website_phishing,TabICL_GPU,902,451,3,0.12006689210327631,0.3524091940309305,0.02911326102912426,0.9223946928977966,0.0023379388730973005
MIC,LimiX_GPU,1132,567,8,0.19272242027143782,1.500314232936095,0.04016293212771416,0.8800705671310425,0.00596980401314795
anneal,LimiX_GPU,598,300,5,0.0714085023133169,0.12867208525935664,0.03286891058087349,0.949999988079071,0.003454271936789155
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06871725898541908,0.17928343275853495,0.0005640387535095215,0.9648985862731934,0.003246408188715577
maternal_health_risk,LimiX_GPU,676,338,3,0.18974856174671512,0.7428964282056217,0.0501999594271183,0.8875739574432373,0.002317840000614524
splice,LimiX_GPU,2126,1064,3,0.0660274164755641,0.23785451108815434,0.023694390431046486,0.9539473652839661,0.0029645899776369333
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3220817069530794,0.566398070244281,0.035239484161138535,0.7708474397659302,0.003305948106572032
website_phishing,LimiX_GPU,902,451,3,0.1223947821497906,0.3563464623387968,0.02356724813580513,0.9223946928977966,0.0024305840488523245
MIC,TabM_GPU,1132,567,8,0.1868560275041337,1.133486656582254,0.0337056964635849,0.8871251940727234,0.005884502083063126
SDSS17,TabM_GPU,52035,26018,3,0.05902015821012837,0.11451082280332127,0.021473098546266556,0.9638327360153198,0.023916827980428934
anneal,TabM_GPU,598,300,5,0.12046152439928297,0.2168837351385308,0.04669853299856186,0.9200000166893005,0.003499703947454691
hiva_agnostic,TabM_GPU,2563,1282,3,0.06852957595747186,0.17789045048093302,0.0010106563568115234,0.9648985862731934,0.0032420691568404436
maternal_health_risk,TabM_GPU,676,338,3,0.27369062176071063,0.8682758927452697,0.08249633759260178,0.7958579659461975,0.0022046701051294804
splice,TabM_GPU,2126,1064,3,0.06064891220507899,0.2943157500110019,0.025026077404618263,0.9633458852767944,0.002944979118183255
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3195311957178987,0.5671982406919114,0.022835835814476013,0.7681356072425842,0.00336069380864501
website_phishing,TabM_GPU,902,451,3,0.12845988300626981,0.36704147911785373,0.030527960509061813,0.9223946928977966,0.0023550649639219046
MIC,RealMLP_GPU,1132,567,8,0.19138139303532797,1.4808176287989476,0.034928061068058014,0.8783068656921387,0.0058788221795111895
SDSS17,RealMLP_GPU,52035,26018,3,0.058941670543433425,0.12135530521644093,0.023711631074547768,0.9630640149116516,0.023511181119829416
anneal,RealMLP_GPU,598,300,5,0.12541731174776913,0.21488926660053692,0.04993194341659546,0.9100000262260437,0.003469205927103758
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06834953265610842,0.1758516000480593,0.0009458065032958984,0.9648985862731934,0.003199606901034713
maternal_health_risk,RealMLP_GPU,676,338,3,0.21910491520878383,0.7793842229496637,0.07925984263420105,0.8757396340370178,0.002333377953618765
splice,RealMLP_GPU,2126,1064,3,0.0669224384587944,0.243723486351416,0.033739883452653885,0.9595864415168762,0.0029552180785685778
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3194269315356664,0.6084884618213261,0.026857595890760422,0.7816948890686035,0.0033307631965726614
website_phishing,RealMLP_GPU,902,451,3,0.12209071796605546,0.3523425330419394,0.026827087625861168,0.9246119856834412,0.002447066828608513
MIC,BetaTabPFN_GPU,1132,567,8,0.18836446329382808,1.1472103428338962,0.044249795377254486,0.8853615522384644,0.005933017004281282
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.06324071079822507,0.1248748933738389,0.017537247389554977,0.9607579112052917,0.023916735081002116
anneal,BetaTabPFN_GPU,598,300,5,0.10810368550274391,0.19297113530508592,0.08968988060951233,0.95333331823349,0.0035276429262012243
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06846932965371258,0.17556172352511928,0.00046753883361816406,0.9648985862731934,0.0031951130367815495
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28921987846447905,1.0770234767245828,0.07247414439916611,0.8254438042640686,0.002261603018268943
splice,BetaTabPFN_GPU,2126,1064,3,0.06382933278527445,0.11824079194779603,0.03488323464989662,0.9633458852767944,0.002919567981734872
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3224475050382069,0.5731373733004509,0.025555452331900597,0.7640677690505981,0.0033680510241538286
website_phishing,BetaTabPFN_GPU,902,451,3,0.1284269929523538,0.3622205943506664,0.026773830875754356,0.9201774001121521,0.002342635067179799
MIC,ModernNCA_GPU,1132,567,8,0.18620952524957227,0.5738610094461134,0.03820490464568138,0.8888888955116272,0.005865690065547824
SDSS17,ModernNCA_GPU,52035,26018,3,0.05859090546521453,0.11907853307482481,0.030741384252905846,0.964370846748352,0.02364347199909389
anneal,ModernNCA_GPU,598,300,5,0.1557400870844034,0.2688245008158781,0.09701132774353027,0.8899999856948853,0.003479680046439171
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06846996705227806,0.1762077573638676,0.004773139953613281,0.9648985862731934,0.0031496931333094835
maternal_health_risk,ModernNCA_GPU,676,338,3,0.2262173049605457,1.5416062956080478,0.05187700688838959,0.857988178730011,0.0023157719988375902
splice,ModernNCA_GPU,2126,1064,3,0.07624985759839065,0.13903778587001434,0.04093281924724579,0.9567669034004211,0.00295556103810668
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32766949615691915,0.5783739223557807,0.044055625796318054,0.7722033858299255,0.0033246329985558987
website_phishing,ModernNCA_GPU,902,451,3,0.12901703785679694,0.3590444064990684,0.03319700062274933,0.9179601073265076,0.0024064250756055117
MIC,Mitra_GPU,1132,567,8,0.188008683353771,1.58756598743382,0.02933240495622158,0.8871251940727234,0.005962153896689415
anneal,Mitra_GPU,598,300,5,0.11086968261501319,0.19936319381172712,0.03600137308239937,0.9166666865348816,0.003404502058401704
maternal_health_risk,Mitra_GPU,676,338,3,0.19929360559623632,1.3389167271319615,0.07795854657888412,0.8934911489486694,0.002308670897036791
splice,Mitra_GPU,2126,1064,3,0.0717077316116107,0.24749842590766608,0.026334566995501518,0.951127827167511,0.0029555191285908222
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31433308427781326,0.5604077798317026,0.02343079447746277,0.7688135504722595,0.0033280879724770784
website_phishing,Mitra_GPU,902,451,3,0.12434307970186928,0.35578329031661715,0.03093462809920311,0.9201774001121521,0.002466414123773575
MIC,TabDPT_GPU,1132,567,8,0.19971280091094049,1.1797085278268615,0.03436673432588577,0.8800705671310425,0.005951351951807737
SDSS17,TabDPT_GPU,52035,26018,3,0.054718212798054666,0.11446062997742444,0.020186126232147217,0.964832067489624,0.023868208983913064
anneal,TabDPT_GPU,598,300,5,0.047120038413975183,0.08981813820556364,0.02183392643928528,0.9566666483879089,0.0035335570573806763
