dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
SDSS17,ModernNCA_GPU,52035,26018,3,0.03815243397720251,0.07518257333984354,0.0021077641285955906,0.9762471914291382,0.07344633899629116
anneal,ModernNCA_GPU,598,300,5,0.007050231952039625,0.29292264234980386,0.004692655522376299,0.996666669845581,0.010407593799754977
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851702015023926,0.17586153538427376,0.00275500793941319,0.9648985862731934,0.011531742056831717
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21825957903302054,1.3718259023587884,0.030872976407408714,0.8520709872245789,0.00896527897566557
splice,ModernNCA_GPU,2126,1064,3,0.045184207030230274,0.09749081909776447,0.022500427439808846,0.972744345664978,0.011070371838286519
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3250510327078439,0.575285819181315,0.0197603777050972,0.7749152779579163,0.011612663976848125
website_phishing,ModernNCA_GPU,902,451,3,0.12950704844902133,0.7736839085684023,0.034616731107234955,0.9201774001121521,0.008862565038725734
MIC,Mitra_GPU,1132,567,8,0.18254330676826,1.1760473661607347,0.032004278153181076,0.8871251940727234,0.014110850170254707
anneal,Mitra_GPU,598,300,5,0.010244896916254133,0.301234656257878,0.012375474907457829,0.996666669845581,0.0103269771207124
maternal_health_risk,Mitra_GPU,676,338,3,0.19293803451056543,0.619395601315483,0.055785130709409714,0.8875739574432373,0.008505050092935562
splice,Mitra_GPU,2126,1064,3,0.0415852727944176,0.08740658124545381,0.016937000676989555,0.9736841917037964,0.010416138917207718
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3157594526875741,0.6148549791663224,0.019779909402132034,0.7708474397659302,0.011497688945382833
website_phishing,Mitra_GPU,902,451,3,0.11747659513945068,0.38341202977122135,0.034646619111299515,0.9179601073265076,0.00929946405813098
MIC,TabDPT_GPU,1132,567,8,0.19142017026124367,1.9331580811291935,0.036317288875579834,0.8871251940727234,0.013852451927959919
SDSS17,TabDPT_GPU,52035,26018,3,0.04070711884271583,0.08362110519968195,0.002180331153795123,0.9750941395759583,0.07306542806327343
anneal,TabDPT_GPU,598,300,5,0.014368708124173641,0.5875821252583248,0.007613713853061199,0.9933333396911621,0.009489489952102304
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.068517996221615,0.24280172256749039,0.00021365009888540953,0.9648985862731934,0.010357575956732035
maternal_health_risk,TabDPT_GPU,676,338,3,0.17760263253893427,1.305288296916754,0.036111123859882355,0.8786982297897339,0.007947531994432211
splice,TabDPT_GPU,2126,1064,3,0.09947594563004637,0.1813900465074314,0.015300017781555653,0.9342105388641357,0.009410058846697211
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3253293692481801,0.6279713405130752,0.027327176183462143,0.7593220472335815,0.010371356969699264
website_phishing,TabDPT_GPU,902,451,3,0.1144080800866561,0.3796532566247089,0.015091666020452976,0.9268292784690857,0.008092632051557302
