dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
MIC,TabPFN-v2.6,1132,567,8,0.1822047084569931,0.4804667532444,0.042543187737464905,0.8871251940727234,0.2994766959454864
SDSS17,TabPFN-v2.6,52035,26018,3,0.03435555472970009,0.06748944520950317,0.0012877886183559895,0.9788607954978943,0.2753422420937568
anneal,TabPFN-v2.6,598,300,5,0.01787494495511055,0.2691386938095093,0.010641721077263355,0.9866666793823242,0.10310020903125405
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06838712841272354,0.1745734065771103,0.00042945146560668945,0.9648985862731934,0.028820852050557733
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1913241297006607,0.3677939474582672,0.050664711743593216,0.8727810382843018,0.0346116260625422
splice,TabPFN-v2.6,2126,1064,3,0.03677060082554817,0.08063342422246933,0.01428765058517456,0.9774436354637146,0.022249855799600482
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.311850905418396,0.5502750873565674,0.027236131951212883,0.7830508351325989,0.031540434109047055
website_phishing,TabPFN-v2.6,902,451,3,0.11107996106147766,0.2103434056043625,0.02422722615301609,0.9312638640403748,0.027509264880791306
MIC,TabICLv2,1132,567,8,0.1855475753545761,0.5030068159103394,0.042168255895376205,0.8853615522384644,0.22483796114102006
SDSS17,TabICLv2,52035,26018,3,0.03527769073843956,0.07096870243549347,0.001362886163406074,0.978553295135498,0.28770013502798975
anneal,TabICLv2,598,300,5,0.007040778174996376,0.12674576044082642,0.0029786357190459967,0.996666669845581,0.1017119640018791
hiva_agnostic,TabICLv2,2563,1282,3,0.06838884949684143,0.1749281883239746,0.0006239613285288215,0.9648985862731934,0.04902391484938562
maternal_health_risk,TabICLv2,676,338,3,0.17578153312206268,0.3461707830429077,0.03920792043209076,0.8846153616905212,0.03448822093196213
splice,TabICLv2,2126,1064,3,0.03475590795278549,0.07626304775476456,0.01411366555839777,0.981203019618988,0.026973900152370334
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3107708990573883,0.5469432473182678,0.0216040201485157,0.7762711644172668,0.022808338049799204
website_phishing,TabICLv2,902,451,3,0.10875534266233444,0.20693285763263702,0.026769254356622696,0.9334811568260193,0.030568083049729466
MIC,RealTabPFN-v2.5,1132,567,8,0.1815951019525528,0.4787020683288574,0.04052608832716942,0.8906525373458862,0.22612133296206594
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03236955404281616,0.06544789671897888,0.001321174786426127,0.9803212881088257,0.3042153238784522
anneal,RealTabPFN-v2.5,598,300,5,0.007165119517594576,0.02272503450512886,0.004892739001661539,0.996666669845581,0.062023991951718926
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06825806200504303,0.17370402812957764,0.0004608631134033203,0.9648985862731934,0.037298863055184484
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20479190349578857,0.38534310460090637,0.051601048558950424,0.8757396340370178,0.0345842270180583
splice,RealTabPFN-v2.5,2126,1064,3,0.03961209952831268,0.08551424741744995,0.01304028369486332,0.9736841917037964,0.02609955007210374
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30874475836753845,0.546320378780365,0.01571282558143139,0.7884745597839355,0.028880645986646414
website_phishing,RealTabPFN-v2.5,902,451,3,0.11530102044343948,0.22043083608150482,0.029192164540290833,0.9290465712547302,0.03859555604867637
MIC,TabICL_GPU,1132,567,8,0.19390584528446198,0.5328261256217957,0.03675144538283348,0.8835979104042053,0.25506716198287904
SDSS17,TabICL_GPU,52035,26018,3,0.037939753383398056,0.07488391548395157,0.0025242604315280914,0.9767468571662903,0.4578603592235595
anneal,TabICL_GPU,598,300,5,0.025391774252057076,0.11531800776720047,0.010664425790309906,0.9833333492279053,0.11994740599766374
maternal_health_risk,TabICL_GPU,676,338,3,0.18087255954742432,0.3613737225532532,0.032726045697927475,0.88165682554245,0.031960560008883476
splice,TabICL_GPU,2126,1064,3,0.07651185989379883,0.14270445704460144,0.012444894760847092,0.9483082890510559,0.028738630935549736
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3211906850337982,0.5656537413597107,0.025801710784435272,0.7681356072425842,0.029813022119924426
website_phishing,TabICL_GPU,902,451,3,0.11239296197891235,0.20762483775615692,0.029730651527643204,0.9334811568260193,0.028666896047070622
MIC,LimiX_GPU,1132,567,8,0.18951515853405,0.5105658173561096,0.044271327555179596,0.8818342089653015,0.21448635193519294
anneal,LimiX_GPU,598,300,5,0.007219997234642506,0.019423723220825195,0.004054786171764135,0.996666669845581,0.05377589608542621
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06841886043548584,0.17632168531417847,0.0008315517916344106,0.9648985862731934,0.03717362997122109
