dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
MIC,TabPFN-v2.6,1132,567,8,0.18248956714817177,1.354627795024311,0.051199279725551605,0.8906525373458862,0.020357713103294373
SDSS17,TabPFN-v2.6,52035,26018,3,0.03427212247479182,0.06968588872173156,0.0013026230735704303,0.97901451587677,0.06399741908535361
anneal,TabPFN-v2.6,598,300,5,0.006422169076724572,0.2306149821456944,0.0029457807540893555,0.996666669845581,0.009912132984027267
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06832455674088286,0.1748563801925613,0.0020723342895507812,0.9648985862731934,0.007606188068166375
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18814868331125262,0.929415634806714,0.034195393323898315,0.8786982297897339,0.006657308898866177
splice,TabPFN-v2.6,2126,1064,3,0.03560100487930879,0.07689004838964196,0.012235933914780617,0.9765037298202515,0.007752637844532728
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3138485286356521,0.5971806705292912,0.02761923521757126,0.7762711644172668,0.009570077061653137
website_phishing,TabPFN-v2.6,902,451,3,0.11021744858723584,0.3330019417836432,0.022680044174194336,0.9312638640403748,0.006771822925657034
MIC,TabICLv2,1132,567,8,0.18670662472919142,1.3640114089192428,0.04562072828412056,0.8888888955116272,0.017754511907696724
SDSS17,TabICLv2,52035,26018,3,0.03542893210459995,0.07350110314683464,0.0009201478096656501,0.9782074093818665,0.06168376887217164
anneal,TabICLv2,598,300,5,0.014408953764569219,0.2430639733103499,0.009303808212280273,0.9900000095367432,0.010236749891191721
hiva_agnostic,TabICLv2,2563,1282,3,0.06830640792544318,0.1759458013445463,0.0041956305503845215,0.9648985862731934,0.007723150076344609
maternal_health_risk,TabICLv2,676,338,3,0.17872296851228958,1.2849239098882672,0.042195092886686325,0.8875739574432373,0.007099827053025365
splice,TabICLv2,2126,1064,3,0.03375914589848571,0.07340365369759162,0.010672389529645443,0.981203019618988,0.008124863030388951
